LOCALNEWSNgayon,7/14/2017,23:55:0,bodies recovered from marawi to be identified using dna  read via gma news,'Philippines',12.7503486,122.7312101,en,0.025394,0.117364,0.232717,0.519251,0.271577,fear,0.519251
ricaflorabelxx,7/14/2017,23:43:0,various things happened in the ph and some are still happening like war in marawi anuena pilipinas humihinga pa ba you,'Cabadbaran City',9.1181922,125.5373069,en,0.142652,0.024448,0.087823,0.083375,0.039658,anger,0.142652
inquirer_libre,7/14/2017,23:25:0,noted architect offers help in reconstruction of marawi,'Philippines',12.7503486,122.7312101,en,0.027646,0.183353,0.102437,0.040573,0.029685,joy,0.183353
projectak47,7/14/2017,23:15:0,childsoldiers are being exploited right now in the philippines glimpse into one childs experience in marawi,"'US', ' Philippines', ' Burma', ' Mexico'",39.7837304,-100.4458825,en,0.275261,0.198215,0.162998,0.081156,0.063308,anger,0.275261
meu11,7/14/2017,23:13:0,rebellion raps filed against more than 50 people in marawi via gmanews,'philippines',12.7503486,122.7312101,en,0.130878,0.018115,0.323582,0.223732,0.636585,disgust,0.636585
RVonqh,7/14/2017,23:7:0,letters for marawi people,"'City of Mati', ' Davao Region'",6.9614917,126.2147922,en,0.135095,0.101021,0.534362,0.189064,0.220534,sadness,0.534362
benji0ben,7/14/2017,22:57:0,muslim good samaritans in wartorn marawi  via catholicstand,'Manila',14.5906216,120.9799696,en,0.02155,0.686716,0.057243,0.069401,0.233763,joy,0.686716
PHLNewsOnline,7/14/2017,22:53:0,gma news duterte doffs hat to us china for aid in marawi siege,'Philippines',12.7503486,122.7312101,en,0.235661,0.084407,0.42309,0.308186,0.176985,sadness,0.42309
gmanews,7/14/2017,22:53:0,duterte doffs hat to us china for aid in marawi siege,'Philippines',12.7503486,122.7312101,en,0.2825,0.107437,0.334952,0.273843,0.13327,sadness,0.334952
PHLNewsOnline,7/14/2017,22:46:0,news5 military uncertain about liberating marawi before sona 2017,'Philippines',12.7503486,122.7312101,en,0.08686,0.176192,0.151545,0.093654,0.072945,joy,0.176192
AksyonTV,7/14/2017,22:45:0,military uncertain about liberating marawi before sona 2017  breakingnews,"'TV5', ' Philippines'",47.8967217,106.887564062,en,0.08686,0.176192,0.151545,0.093654,0.072945,joy,0.176192
inquirer_libre,7/14/2017,22:18:0,duterte welcomes us china help vs militants in marawi,'Philippines',12.7503486,122.7312101,en,0.026603,0.708979,0.074258,0.06474,0.007302,joy,0.708979
philmonitor,7/14/2017,22:17:0,800 diapers distributed to marawi mothers  via philmonitor,'Republic of the Philippines',12.7503486,122.7312101,en,0.199261,0.208439,0.331261,0.142894,0.207082,sadness,0.331261
LOCALNEWSNgayon,7/14/2017,22:10:0,duterte doffs hat to us china for aid in marawi siege  read via gma news,'Philippines',12.7503486,122.7312101,en,0.103478,0.129017,0.389026,0.382246,0.258337,sadness,0.389026
PHLNewsOnline,7/14/2017,22:8:0,news5 watch  marawi crisis soldiers pledge to finish the job liberate marawi,'Philippines',12.7503486,122.7312101,en,0.11725,0.125763,0.323391,0.468192,0.195672,fear,0.468192
gmanews,7/14/2017,22:8:0,rebellion raps filed against more than 50 people in marawi u,'Philippines',12.7503486,122.7312101,en,0.248599,0.011977,0.2955,0.148764,0.607863,disgust,0.607863
AksyonTV,7/14/2017,22:6:0,watch  marawi crisis soldiers pledge to finish the job liberate marawi ,"'TV5', ' Philippines'",47.8967217,106.887564062,en,0.11725,0.125763,0.323391,0.468192,0.195672,fear,0.468192
MindanaoExamine,7/14/2017,21:48:0,800 diapers distributed to marawi mothers,'Southern Philippines',17.4097041,121.4382768,en,0.291464,0.158499,0.282249,0.076022,0.143754,anger,0.291464
salwawee,7/14/2017,21:37:0,met up with some hs friends tonight huhuu marawi,'PH',12.44249325,122.160395164,en,0.061982,0.638795,0.1659,0.084607,0.027514,joy,0.638795
chinogaston,7/14/2017,21:33:0,latest marawi pictures from civilians purportedly show damaged mosque near pilot elementary school 8,'Philippines',12.7503486,122.7312101,en,0.138199,0.128231,0.230873,0.238457,0.136836,fear,0.238457
LOCALNEWSNgayon,7/14/2017,21:25:0,rebellion raps filed against more than 50 people in marawi  read via gma news,'Philippines',12.7503486,122.7312101,en,0.088671,0.025499,0.350438,0.251264,0.626704,disgust,0.626704
rapplerdotcom,7/14/2017,21:23:0,dbm to release p5 billion for marawi rehab in 2017 full story,'Philippines',12.7503486,122.7312101,en,0.066319,0.456701,0.334109,0.09145,0.064327,joy,0.456701
