username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IHateStupidiots;2017-08-23 07:51;0;0;"Tungkol kay kian ang Tanong, nakarating sa Marawi at kay parojinog ang sagot. At alam na alam ang sistema ng pagbabagsak ng drugs sa dagat.";;;;"900143517854449664";https://twitter.com/IHateStupidiots/status/900143517854449664
PinoyTambayanan;2017-08-23 07:51;0;0;"Writer from Marawi bags top prize in EU essay contest http://bit.ly/2wwHPLd # pinoy # tambayan # pinoytvpic.twitter.com/sS36bzlv5D";;;# # #;"900143407238197249";https://twitter.com/PinoyTambayanan/status/900143407238197249
PinoyTambayanKo;2017-08-23 07:51;0;0;"Writer from Marawi bags top prize in EU essay contest http://www.pinoytambayan.org.ph/2017/08/writer-from-marawi-bags-top-prize-in-eu.html …pic.twitter.com/MysUWNgcJX";;;;"900143377789878273";https://twitter.com/PinoyTambayanKo/status/900143377789878273
ALiv7tETFis;2017-08-23 07:42;0;0;"م @ Mm_80k @ marawi_q8 @Om_Seham2 @Farah_f80 @luxu2016 @ Klood9012 مساء العسسسسسل يا قمر";;@ @ @Om_Seham2 @Farah_f80 @luxu2016 @;;"900141042049200128";https://twitter.com/ALiv7tETFis/status/900141042049200128
yehbling;2017-08-23 07:41;0;0;"Muska na padng marawi?";;;;"900141001682989057";https://twitter.com/yehbling/status/900141001682989057
Syriasonline;2017-08-23 07:40;0;0;"Retweeted Lizzie Phelan ( @ LizziePhelan): # Marawi clashes around Grand Mosque where ISIS inspired fighters are... http://fb.me/1BHxGbZGv";;@;#;"900140701312327680";https://twitter.com/Syriasonline/status/900140701312327680
LizziePhelan;2017-08-23 07:40;7;7;"# Marawi clashes around Grand Mosque where ISIS inspired fighters are keeping some of the… https://www.instagram.com/p/BYHWVHUniQd/";;;#;"900140538489425925";https://twitter.com/LizziePhelan/status/900140538489425925
nerry_ph;2017-08-23 07:39;0;0;"Tatay Digong Ipadala mo na lang kaya si mocha sa Marawi? # FireMocha";;;#;"900140522919968768";https://twitter.com/nerry_ph/status/900140522919968768
yehbling;2017-08-23 07:39;0;0;"Oh yang. Bntog btaw mahal daw plete n kay wala namay halos musaka marawi. D na mapuno ang jeep";;;;"900140421526863872";https://twitter.com/yehbling/status/900140421526863872
dzIQ990;2017-08-23 07:31;0;0;"100 babaeng pulis at sundalo, idedeploy sa Marawi City | @ chonayu1";;@;;"900138313339633664";https://twitter.com/dzIQ990/status/900138313339633664
