username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
iLG8RWuRISMDWlM;2017-06-25 07:59;0;0;"pic.twitter.com/yOWsKKmcQS";;;;"878764625038376961";https://twitter.com/iLG8RWuRISMDWlM/status/878764625038376961
ANCALERTS;2017-06-25 07:59;2;9;"Now on ANC: AFP Spokesperson B/Gen. Restituto Padilla on humanitarian pause in Marawi City pic.twitter.com/lPYJyLkpFN";;;;"878764469773455360";https://twitter.com/ANCALERTS/status/878764469773455360
Herbalna;2017-06-25 07:58;0;0;"http://goo.gl/P8QqEz  Pengungsi Marawi Rayakan Idul Fitri dengan Sederhana";;;;"878764219201662977";https://twitter.com/Herbalna/status/878764219201662977
putlupit;2017-06-25 07:56;0;0;"Jelang Idul Fitri, Kota Marawi Dihujani Bom https://goo.gl/fb/X7GEWS";;;;"878763814195535872";https://twitter.com/putlupit/status/878763814195535872
angga_herlam;2017-06-25 07:56;0;0;"Jelang Idul Fitri, Kota Marawi Dihujani Bom https://goo.gl/fb/sG6PEM # PojokSatu";;;#;"878763691105234944";https://twitter.com/angga_herlam/status/878763691105234944
marawi_q8;2017-06-25 07:55;0;0;"وانتي بالف خير";;;;"878763630367526912";https://twitter.com/marawi_q8/status/878763630367526912
JalanPudu;2017-06-25 07:55;0;0;"Australia to send two surveillance aircraft to Marawi http://www.manilatimes.net/australia-sending-spy-planes-marawi/334543/ … 軍もミンダナオ島のISに対抗すべく派遣へ。でのIS拠点化は東南アジアのみならず広く、周辺国にも脅威となっている為。https://twitter.com/jalanpudu/status/877774981408604160 …";;;;"878763542610034688";https://twitter.com/JalanPudu/status/878763542610034688
tiawury;2017-06-25 07:55;0;0;"Jelang Idul Fitri, Kota Marawi Dihujani Bom https://goo.gl/fb/HxqG5K";;;;"878763532808052736";https://twitter.com/tiawury/status/878763532808052736
AsmaAdibah;2017-06-25 07:55;0;0;"Jelang Idul Fitri, Kota Marawi Dihujani Bom https://goo.gl/fb/7HQY6x # PojokSatu";;;#;"878763483495583744";https://twitter.com/AsmaAdibah/status/878763483495583744
afifasar;2017-06-25 07:54;0;0;"Jelang Idul Fitri, Kota Marawi Dihujani Bom https://goo.gl/fb/zSHB7k # PojokSatu";;;#;"878763408262410240";https://twitter.com/afifasar/status/878763408262410240
AsmirandaZia;2017-06-25 07:54;0;0;"Jelang Idul Fitri, Kota Marawi Dihujani Bom https://goo.gl/fb/5GtxUP # PojokSatu";;;#;"878763388842717184";https://twitter.com/AsmirandaZia/status/878763388842717184
shafiraswat;2017-06-25 07:54;0;0;"Jelang Idul Fitri, Kota Marawi Dihujani Bom https://goo.gl/fb/rUqd3T # PojokSatu";;;#;"878763301710286848";https://twitter.com/shafiraswat/status/878763301710286848
vilazzzar;2017-06-25 07:53;0;0;"Jelang Idul Fitri, Kota Marawi Dihujani Bom https://goo.gl/fb/jeLAH7 # PojokSatu";;;#;"878763091374297088";https://twitter.com/vilazzzar/status/878763091374297088
AnisaRidwansah;2017-06-25 07:53;0;0;"Jelang Idul Fitri, Kota Marawi Dihujani Bom https://goo.gl/fb/aRpQxF # PojokSatu";;;#;"878762980921544705";https://twitter.com/AnisaRidwansah/status/878762980921544705
afiqa_silmi;2017-06-25 07:53;0;0;"Jelang Idul Fitri, Kota Marawi Dihujani Bom https://goo.gl/fb/3jxj9v";;;;"878762979415773184";https://twitter.com/afiqa_silmi/status/878762979415773184
