username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jovicyeeINQ;2017-08-21 07:36;3;3;"Former Sen. Heherson Alvarez, soldiers fighting for Marawi lead commemoration of # NinoyAquino34pic.twitter.com/mgZuhObdYD";;;#;"899414949767905281";https://twitter.com/jovicyeeINQ/status/899414949767905281
jovicyeeINQ;2017-08-21 07:57;1;0;"The Medal of Valor to be given later to Evasco, Carmen Pedrosa, Fr. Ben Beltran, Obet Verzola and soldiers fighting in Marawi # NinoyAquino34pic.twitter.com/tZcySLUcnr";;;#;"899420126075736064";https://twitter.com/jovicyeeINQ/status/899420126075736064
LilyT32;2017-08-21 07:56;0;0;"Philippines: ACTED completes assessment of Cash Transfer Programme in Marawi crisis # humanitarian # newzealand # aucklandpic.twitter.com/XY1QsGxW9t";;;# # #;"899419953455149058";https://twitter.com/LilyT32/status/899419953455149058
pinoymag15;2017-08-21 07:56;0;0;"BREAKING NEWS! Mga reinforcement ng Maute Group sa Marawi nakasagupa ng mga AFP! https://goo.gl/9CUYAy  http://fb.me/419SpbEt6";;;;"899419822257209344";https://twitter.com/pinoymag15/status/899419822257209344
mirasga;2017-08-21 07:56;0;0;"Atty. Cañete's post refers to the Marawi conflict.";;;;"899419802048974848";https://twitter.com/mirasga/status/899419802048974848
digitalfolklore;2017-08-21 07:54;0;0;"# Marawi - "Inside the Khalifah 3" # Philippines same content, different location. destroying churches, ripping up pics of Pope, lootingpic.twitter.com/9sam97sIma";;;# #;"899419455763042304";https://twitter.com/digitalfolklore/status/899419455763042304
QLdOB1oQ3foOkVA;2017-08-21 07:53;0;0;"روعةحبي";;;;"899419114820730881";https://twitter.com/QLdOB1oQ3foOkVA/status/899419114820730881
ng0tkul4;2017-08-21 07:45;0;0;"@ talk2GLOBE @ enjoyGLOBE do you have an update on this issue? sent the same question via DM. # marawi # ninoyaquinoday # JusticeForKian";;@ @;# # #;"899417129224503296";https://twitter.com/ng0tkul4/status/899417129224503296
GoranManev1;2017-08-21 07:42;0;0;"Battle For Marawi. Civillians suffer while army battles ISIS militants in Philippines http://fb.me/1TejSodFQ";;;;"899416341492494337";https://twitter.com/GoranManev1/status/899416341492494337
jovicyeeINQ;2017-08-21 07:36;3;3;"Former Sen. Heherson Alvarez, soldiers fighting for Marawi lead commemoration of # NinoyAquino34pic.twitter.com/mgZuhObdYD";;;#;"899414949767905281";https://twitter.com/jovicyeeINQ/status/899414949767905281
yadzgandako;2017-08-21 07:35;3;7;"Watching DIKA PASISIIL last night a live war actions in Marawi City and suddenly I realize a city that full of joy is now a ghost town.";;;;"899414568841035776";https://twitter.com/yadzgandako/status/899414568841035776
saino36;2017-08-21 07:22;0;0;"GOOD MORNING MARAWI CITY! http://fb.me/3oKhzcNYw";;;;"899411223573184512";https://twitter.com/saino36/status/899411223573184512
VNoveras;2017-08-21 07:16;0;0;"Sikad Para sa Marawi 2017 | 081917 pic.twitter.com/gGQy2ICTSR";;;;"899409759819907073";https://twitter.com/VNoveras/status/899409759819907073
JaimeHHHHH;2017-08-21 07:06;0;1;"This is where CHR comes in. Hindi sa Marawi.";;;;"899407270525542400";https://twitter.com/JaimeHHHHH/status/899407270525542400
samGTweet;2017-08-21 06:53;0;1;"Kudos women judges, we urge all cause oriented women to join the cause for uplifting victims of the Marawi crisis in assisting their claims https://twitter.com/AJEnglish/status/898696095450095617 …";;;;"899403990990966784";https://twitter.com/samGTweet/status/899403990990966784
ANCALERTS;2017-08-21 06:48;0;3;"# ANCEarlyEdition Alvarez: World Bank and other multilateral aid partners are helping is with the plan to rebuild Marawi.";;;#;"899402773862563840";https://twitter.com/ANCALERTS/status/899402773862563840
marawi_22;2017-08-21 06:47;0;0;"انا عنـدي معجم خاص فيني،ماعندّي لهجه معيّنه اي كلمه تعجبنـي وتدش خاطري اضيفها بالمعجم.";;;;"899402442911215616";https://twitter.com/marawi_22/status/899402442911215616
marawi_22;2017-08-21 06:43;0;0;"ملاچ سأل ابو البنت البنت موافقه؟ الأبو:انت شكلك من زمن الطيّبين شنو موافقه؟ هي اللي جايبته أصلًا المفروض تسألني أنا يمكن جابريني عليه؟";;;;"899401576267251712";https://twitter.com/marawi_22/status/899401576267251712
MyLifeIn24Hrs;2017-08-21 06:42;1;0;"UNHCR restores hope among Marawi victims amid ongoing conflict via @ rapplerdotcomhttp://s.rplr.co/4goKDfX";;@;;"899401375590752256";https://twitter.com/MyLifeIn24Hrs/status/899401375590752256
Itsmeeeee10;2017-08-21 06:38;0;0;"Hindi ko talaga makalikutan hanggang sa natulog ako kagabi yung kwento sa marawi yung nga bayaning sundalo";;;;"899400157849976833";https://twitter.com/Itsmeeeee10/status/899400157849976833
samGTweet;2017-08-21 06:37;0;1;"To all my friends in the world, we in Marawi are ok, we pray for Barcelona and all victims. https://twitter.com/UN/status/899255951714275329 …";;;;"899400110227857408";https://twitter.com/samGTweet/status/899400110227857408
Duterte24x7;2017-08-21 06:20;0;0;"Ex-mayor of Marawi removed from list of persons to be arrested for rebellion | http://bit.ly/2x3UvpN # ProtectPPRD";;;#;"899395716413390848";https://twitter.com/Duterte24x7/status/899395716413390848
05346385301hasa;2017-08-21 06:01;0;0;"ممكن تعرف أحبك ورود";;;;"899390851666903040";https://twitter.com/05346385301hasa/status/899390851666903040
PIADesk;2017-08-21 06:00;3;0;"# Marawi rehabilitation needs comprehensive plan, multilateral coordination http://bit.ly/2veoclI # BangonMarawi # MindanaoHourpic.twitter.com/CQvh59GFn2";;;# # #;"899390592890699776";https://twitter.com/PIADesk/status/899390592890699776
