username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Tiver_A;2017-08-25 07:59;0;1;"Edi wow ... you mean they are still fighting in Marawi after all this time! What incompetence is this Mr President? https://twitter.com/RexCNNPH/status/900869365528051712 …";;;;"900870271225036800";https://twitter.com/Tiver_A/status/900870271225036800
KingLemuj;2017-08-25 07:54;0;0;"Sundalong nadestino sa Marawi na naghihintay ng sasakyan, napatay ng mga pulis sa Zamboanga https://shar.es/1SG8VQ  via @ gmanews";;@;;"900868942104739840";https://twitter.com/KingLemuj/status/900868942104739840
kimbatoon;2017-08-25 07:54;0;0;""pupunta ba tayong marawi" mygahd";;;;"900868886874120192";https://twitter.com/kimbatoon/status/900868886874120192
MargieGenobisa1;2017-08-25 07:48;0;0;"Mhay Ghad Akoy nahadlokGod bless our President PRRD. God bless the Philippines. Bangon Marawi. Keep on... http://fb.me/DYjUOHy7";;;;"900867409476808705";https://twitter.com/MargieGenobisa1/status/900867409476808705
breaking_news_4;2017-08-25 07:44;0;0;"Duterte visits Marawi after Filipino troops recapture mosque http://ift.tt/2xhdihC";;;;"900866351488696322";https://twitter.com/breaking_news_4/status/900866351488696322
dzrhnews;2017-08-25 07:38;0;2;"LOOK: SAP Sec. Bong also in full battle gear during their visits of PRRD in Marawi yesterday ASEC Mocha Uson | RH7 @ KaHenryDZRHpic.twitter.com/ZPXov2NIHx";;@;;"900864975102595074";https://twitter.com/dzrhnews/status/900864975102595074
RealtorJairo;2017-08-25 07:36;0;0;"Duterte visits Marawi after Filipino troops recapture mosque http://fb.me/35mvgjr1Z";;;;"900864430459637761";https://twitter.com/RealtorJairo/status/900864430459637761
newsaction_;2017-08-25 07:36;0;0;"RT inews2day "Duterte visits Marawi after Filipino troops recapture mosque # news http://ift.tt/2xhdihC  http://goo.gl/Nsw8eN "";;;#;"900864378836316160";https://twitter.com/newsaction_/status/900864378836316160
MangTurning;2017-08-25 07:34;0;1;"DU30 is the master planner of all that is happening in Marawi and with NPA. Pinagugulo at punagsasabong nya ang mga Pilipino!";;;;"900863888035414016";https://twitter.com/MangTurning/status/900863888035414016
dzrhnews;2017-08-25 07:33;0;1;"Pang. Duterte, naka-full battle gear na dumalaw muli sa Marawi City. # PangunahingBalita";;;#;"900863783739940864";https://twitter.com/dzrhnews/status/900863783739940864
