manilabulletin,2017-08-17 23:55,1,2,"‘Awit sa Marawi’ exceeds goal, thanks to Joel Cruz - Read: BeFullyInformed","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,#,898211579623333892,https://twitter.com/manilabulletin/status/898211579623333892,en
ADOBOToday,2017-08-17 23:47,0,1,Actor and Duterte supporter Robin Padilla donated P5 million for the children of Marawi.… 988,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,898209638616883201,https://twitter.com/ADOBOToday/status/898209638616883201,en
ndame1112,2017-08-17 23:41,1,0,More evacuees died from disease while in evac centers than īn actual Marawi battles. And she gave relief goods to Kabayan faster than Marawi,,,,898208092873121793,https://twitter.com/ndame1112/status/898208092873121793,en
PIA_LanaoNorte,2017-08-17 23:33,0,0,"Clearing operations vs Maute to continue, says Task Force Marawi spox",,,,898206182967586816,https://twitter.com/PIA_LanaoNorte/status/898206182967586816,en
coolkidYAN,2017-08-17 23:30,0,4,TAGA UP PALA SI KAR GALANG? Ps. Pls support my friends in their fund raising event for Marawi.,,@_gertieee,,898205414168207360,https://twitter.com/coolkidYAN/status/898205414168207360,en
SupremeCourtPHL,2017-08-17 23:05,0,0,Muslim clerics call for end to airstrikes in Marawi -,"(['Manila'], Location((14.5906216, 120.9799696, 0.0)))",,,898199080593174528,https://twitter.com/SupremeCourtPHL/status/898199080593174528,en
LanOfTheFirefly,2017-08-17 23:02,5,34,TASSEL EARRINGS ENDORSED BY DILIMAN'S KAT GALANG! visit our booth!! proceeds of the earrings will go to our women and children in marawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,898198352407347204,https://twitter.com/LanOfTheFirefly/status/898198352407347204,en
coleensyr,2017-08-17 23:00,0,0,"I mean, prayer for Marawi","(['Greece'], Location((38.9953683, 21.9877132, 0.0)))",,,898197892594253825,https://twitter.com/coleensyr/status/898197892594253825,en
ANCALERTS,2017-08-17 23:00,6,30,Japan donates $800k for UNICEF programs in Marawi MarawiClashhttp://,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,898197739825180672,https://twitter.com/ANCALERTS/status/898197739825180672,en
sheng09shiella,2017-08-17 22:56,0,0,Concert to marawi,"(['quezon city'], Location((14.6509905, 121.0486155, 0.0)))",,,898196827991752704,https://twitter.com/sheng09shiella/status/898196827991752704,en
disasters_ph,2017-08-17 22:51,0,0,Duterte finalizes plans for Marawi rehab - Malaya,,,,898195615103975424,https://twitter.com/disasters_ph/status/898195615103975424,en
marcopolaw_,2017-08-17 22:44,0,0,Off to marawi,"(['Isabela'], Location((17.0, 122.0, 0.0)))",,,898193728363405314,https://twitter.com/marcopolaw_/status/898193728363405314,en
disasters_ph,2017-08-17 22:43,0,0,Volunteers help repack food bound for Marawi - Manila Bulletin,,,,898193581575471104,https://twitter.com/disasters_ph/status/898193581575471104,en
RHF_M8,2017-08-17 22:31,5,9,thanks so much,,,,898190584724287488,https://twitter.com/RHF_M8/status/898190584724287488,en
EINTeaPartyNews,2017-08-17 22:30,0,0,"PHL Embassy, Filipino community hold fundraising, letter writing for Marawi","(['Washington', ' D.C.'], Location((38.8949549, -77.0366456, 0.0)))",,,898190222097354752,https://twitter.com/EINTeaPartyNews/status/898190222097354752,en
yellowberrycafe,2017-08-17 22:25,0,0,Solon pushes 3-yr debt moratorium for Marawi residents,,,,898189144710463489,https://twitter.com/yellowberrycafe/status/898189144710463489,en
1M__000,2017-08-17 22:23,17,11,FOLLOW_ ┊┊┏╮┊┊┊┊ ┊┊┃┃┊┊┊┊ ▉━╯┗━╮┊┊ ▉┈┈┈┈┫┊┊ ▉┈┈┈┈┫┊┊ ▉╮┈┈┈┫┊┊ ┊╰━━━╯┊┊ ┊ VIP ╭ღ╮ ╰ღ╯ ╭ღ╮ ╰ღ╯ .,,,# #,898188532086435840,https://twitter.com/1M__000/status/898188532086435840,en
iamjajaramirez,2017-08-17 22:17,0,0,Goldilocks’ Cares for the Marawi Evacuees D,"(['makati', 'philippines'], Location((14.55459465, 121.021407905, 0.0)))",,,898187126738739204,https://twitter.com/iamjajaramirez/status/898187126738739204,en
pinoynewsonline,2017-08-17 22:16,0,0,"PHILIPPINE NEWS BREAK - AUGUST 5, 2017 ► DUTERTE SECRETLY VISITS MARAWI TODAY More on...","(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,898186788489109504,https://twitter.com/pinoynewsonline/status/898186788489109504,en
Milatrud11,2017-08-17 22:15,0,0,"ISIS in East Asia listed as terrorist group by Australia. Adding it to a list of 23 terror orgs Australien,Marawi,IS",,,,898186519386750976,https://twitter.com/Milatrud11/status/898186519386750976,en
Politiko_Ph,2017-08-17 22:14,2,2,Big wallet and big heart: Robin Padilla donates P5M to help Marawi kids,,,,898186251349643269,https://twitter.com/Politiko_Ph/status/898186251349643269,en
PatrickValisno,2017-08-17 21:51,0,0,Pernia: Massive reconstruction in Marawi to become stimulus for economic growth in Mindanao. (via ANCALERTS) OnlyInThePhilippines,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,#,898180490007527424,https://twitter.com/PatrickValisno/status/898180490007527424,en
