pebblesthetorbi,2017-08-05 23:55,so many lost cats from baguio to manila to marawi  its hard to just trust that they have survival instincts,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.113197,0.026503,0.744403,0.249927,0.084811,"['sadness', 0.744403]"
Duterte24x7,2017-08-05 23:47,duterte visits marawi anew  http,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.01012,0.069561,0.116083,0.081786,0.809886,"['disgust', 0.809886]"
defsoul_effect,2017-08-05 23:33,my experience today made me think about people i marawi  being in the middle of a war zone i cant even the panic the trauma,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.156987,0.019748,0.297619,0.757459,0.038128,"['fear', 0.757459]"
AminullahLucman,2017-08-05 23:25,if this is scenery i see as abnormally and as often,"(['Marawi City', ' Philippines'], Location((8.0034938, 124.286626, 0.0)))",en,0.040552,0.129607,0.156401,0.079321,0.027082,"['sadness', 0.156401]"
gmanews,2017-08-05 23:16,authorities find rizal cops ids,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.096267,0.124296,0.284207,0.24111,0.241736,"['sadness', 0.284207]"
PHLNewsOnline,2017-08-05 23:06,gma news authorities find rizal cops ids,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.087043,0.103756,0.371643,0.272201,0.325741,"['sadness', 0.371643]"
KawalPH,2017-08-05 23:02,coke joins companies helping marawi troops http,"(['Manila', 'Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.022348,0.375256,0.169924,0.125057,0.17639,"['joy', 0.375256]"
jomsgab,2017-08-05 22:57,capitalizing on the marawi crisis to oil the us global antiterror and counterinsurgency war machine http versweaponsphairforceamidmarawicrisis ,"(['Manila', ' PH'], Location((14.5906216, 120.9799696, 0.0)))",en,0.102397,0.016093,0.240158,0.387906,0.573814,"['disgust', 0.573814]"
EagleNewsPH,2017-08-05 21:33,news in photo duterte checks condition of wounded soldiers during 2nd visit to marawi  http,"(['Quezon City', 'Philippines'], Location((14.6509905, 121.0486155, 0.0)))",en,0.031724,0.060909,0.346989,0.11594,0.660461,"['disgust', 0.660461]"
inquirer_libre,2017-08-05 21:30,troops intensify attacks in marawi after duterte visit http,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.058931,0.019185,0.108074,0.416492,0.667997,"['disgust', 0.667997]"
mca_music,2017-08-05 21:30,watch out for the performance of lyca gairanod for marawi  tickets here https 8 74 ,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.014109,0.218273,0.07003,0.050531,0.56269,"['disgust', 0.56269]"
EagleNewsPH,2017-08-05 21:25,news in photo soldiers in marawi city excitedly take selfies with president duterte  http ,"(['Quezon City', 'Philippines'], Location((14.6509905, 121.0486155, 0.0)))",en,0.033235,0.133865,0.13967,0.062571,0.784974,"['disgust', 0.784974]"
DuterteHolic,2017-08-05 21:18,troops intensify attacks in marawi after duterte visit http 9,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.058931,0.019185,0.108074,0.416492,0.667997,"['disgust', 0.667997]"
PH_NewsGazette,2017-08-05 19:47,govt agencies to hold forum on marawi rehab aug 4 http,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.061529,0.02307,0.566196,0.097281,0.376606,"['sadness', 0.566196]"
PH_NewsDigest,2017-08-05 19:28,ieds preventing safe return of civilians in marawi city  afp http,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.078631,0.081111,0.165046,0.144341,0.344777,"['disgust', 0.344777]"
ABSCBNNews,2017-08-05 19:10,more intense firefights as marawi siege nears end ao http,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.098985,0.04729,0.210441,0.138832,0.32883,"['disgust', 0.32883]"
PH_NewsDigest,2017-08-05 18:57,taguiwalo thanks asean,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.004316,0.5801,0.000261,0.000904,0.002405,"['joy', 0.5801]"
PhilippineStar,2017-08-05 18:40,ilocos accommodates marawi students http,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.052811,0.08276,0.199924,0.066056,0.736859,"['disgust', 0.736859]"
PhilDefNews,2017-08-05 18:15,some of our philippine marine corps soldiers in action in marawi  reravideos10213711830377891 ,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.087126,0.099338,0.110022,0.192282,0.143704,"['fear', 0.192282]"
PhilDefNews,2017-08-05 18:15,the philippines open to fresh perspectives from adf in fight against is in marawi  2 0170803philippinesopenfreshperspectivesadffightagainstmarawi ,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.075134,0.72265,0.138694,0.068851,0.025048,"['joy', 0.72265]"
PhilDefNews,2017-08-05 18:14,singapore will be sending over a batch of relief goods for marawi via their c130 next week  1457531911006730 ,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.010391,0.615168,0.04337,0.1986,0.014951,"['joy', 0.615168]"
ANCALERTS,2017-08-05 17:45,more intense firefights as marawi siege nears end ao http c,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.098985,0.04729,0.210441,0.138832,0.32883,"['disgust', 0.32883]"
phoenixgold0224,2017-08-05 17:29,afp to help educate children as it rebuilds marawi city http,"(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",en,0.029511,0.169575,0.163567,0.034519,0.601383,"['disgust', 0.601383]"
fiestasaquiapo,2017-08-05 17:24,nearly half a million displaced by marawi siege major health concerns raised  manila bulletin http,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.034136,0.16573,0.218352,0.403073,0.394913,"['fear', 0.403073]"
PHLNewsOnline,2017-08-05 17:20,gma news duterte tells troops in marawi  relax,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.076214,0.672184,0.1114,0.053494,0.047814,"['joy', 0.672184]"
dzbb,2017-08-05 16:28,pnp,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.0,0.0,0.0,0.0,0.0,"['anger', 0.0]"
PIADesk,2017-08-05 16:00,displaced young adults given respite http,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.086573,0.121311,0.24475,0.100751,0.618071,"['disgust', 0.618071]"
sunstarcebu,2017-08-05 15:18, prrd visited marawi city again amid the continuing clashes between govt forces and the maute group http,"(['Cebu', ' Philippines'], Location((10.45, 123.84, 0.0)))",en,0.110805,0.018361,0.692406,0.086711,0.334815,"['sadness', 0.692406]"
getrichpinoy,2017-08-05 15:08,wow gov imee marcos extends financial assistance to soldiers http 2,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.007439,0.079486,0.19727,0.069069,0.692436,"['disgust', 0.692436]"
dzrhnews,2017-08-05 14:55,icymi pres duterte visits marawi anew http isitsmarawianew ,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.025895,0.049171,0.36795,0.184802,0.605613,"['disgust', 0.605613]"
