AlterUserP,2017-08-02 23:57,0,0,Depende sa marawi ba to hahaha,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,,892776305187368960,https://twitter.com/AlterUserP/status/892776305187368960,fil
iammickeymark,2017-08-02 23:52,0,1,Had soooo much FUN earlier sa Shoot namin for Marawi soldiers!,"(['Manila Philippines', 'Pasay City'], Location((14.5906216, 120.9799696, 0.0)))",,,892775006396071936,https://twitter.com/iammickeymark/status/892775006396071936,fil
stateofdnation,2017-08-02 23:32,0,1,"VIDEO: Lalaking 67 araw naipit sa bakbakan sa Marawi, matinding gutom ang dinanas","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,892770118849015808,https://twitter.com/stateofdnation/status/892770118849015808,fil
iambakseey,2017-08-02 23:14,0,0,sarap mong ipatapon sa marawi,"(['seoul', 'south korea'], Location((37.5666791, 126.9782914, 0.0)))",,,892765592842895360,https://twitter.com/iambakseey/status/892765592842895360,fil
LampreaDaeniel,2017-08-02 23:14,0,0,HAHAHAHAAH ohh!! Iba! Sino yan? Papatapon na ba natin sa Marawi?,,,,892765448076263424,https://twitter.com/LampreaDaeniel/status/892765448076263424,fil
myukinot,2017-08-02 23:11,0,0,pampakilig? hindi ba pwede mag portray ng isang soldier against Marawi terrorist? Or a young lawyer against judicial corruption?,"(['Bogo City', ' Philippines'], Location((11.0530536, 124.0110354, 0.0)))",,,892764890724671493,https://twitter.com/myukinot/status/892764890724671493,fil
sihayabee,2017-08-02 23:08,0,0,Parang kahapon lang nasa Marawi ako. Yung sinabi ko pa kay nish na mag food trip ako pagkatapos ng exam kasi malapit na yung Ramadhan.,"(['Quezon City'], Location((14.6509905, 121.0486155, 0.0)))",,,892764074177478660,https://twitter.com/sihayabee/status/892764074177478660,fil
sihayabee,2017-08-02 23:07,0,0,Marawi.,"(['Quezon City'], Location((14.6509905, 121.0486155, 0.0)))",,,892763750880624640,https://twitter.com/sihayabee/status/892763750880624640,fil
hashimguiam1,2017-08-02 23:01,0,0,Malapit na mag 3months ang gera sa marawi pala ng palala :(,,,,892762161574952960,https://twitter.com/hashimguiam1/status/892762161574952960,fil
Akoni0609,2017-08-02 23:00,0,1,Marawi Rehabilitation?! Kauto o t'bo. Tsss!!!,,,,892762136841146368,https://twitter.com/Akoni0609/status/892762136841146368,fil
RubenLumalessi1,2017-08-02 23:00,0,0,Jin nya kabur ke Marawi terus di bom sama pasukan Filipina pimpinan Presiden Duterte,"(['Bekasi', ' Indonesia'], Location((-6.2349858, 106.9945444, 0.0)))",,,892761972420128768,https://twitter.com/RubenLumalessi1/status/892761972420128768,id
danteabayoniray,2017-08-02 22:59,0,0,ilove esang...sana makabangun angating mga kababayansa marawi..,,,,892761866111528960,https://twitter.com/danteabayoniray/status/892761866111528960,fil
juicyProch,2017-08-02 22:58,0,0,abi nakog naa ra sa marawi ang pinusilay,"(['Cebu City', ' Central Visayas'], Location((10.3090298, 123.8930839, 0.0)))",,,892761545993732096,https://twitter.com/juicyProch/status/892761545993732096,ceb
gamaoantoniette,2017-08-02 22:55,0,0,"true! san ang kredibilidad? e namumulot ng balita sa basurahan! sayang un bayad sa kanya, itulong na lang sa marawi! ALDUBKampanteLang",,,#,892760715429199872,https://twitter.com/gamaoantoniette/status/892760715429199872,fil
TintinCynch,2017-08-02 22:54,0,0,"Pero db nkkhiya n nangyayari yung issue sa china,marawi tapos yung sa educ free tution puro pangako.",,,,892760526098358272,https://twitter.com/TintinCynch/status/892760526098358272,fil
