egdsgn,2017-08-24 23:58,0,0,PNP headquarters sa Marawi City,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,,,fil
lynwardmay,2017-08-24 23:53,2,0,Ayoko ng dudu itapon na yan sa marawi para pagpistahan ng isis.,,,#PushAwardsMayWards,900747791701430272,https://twitter.com/lynwardmay/status/900747791701430272,fil
longlostjupiter,2017-08-24 23:52,0,2,Sya nagappoint sayo di malamang di sya pabor i-fire ka. Nasa marawi tas yan talaga tinanong mo. Balik mo na nga lang tax ng mga magulang ko.,,,,900747612151726080,https://twitter.com/longlostjupiter/status/900747612151726080,fil
Maria86439147,2017-08-24 23:51,0,0,RT: RT ofckuyaEdward: Alert! Trending na ang DUDU. First spot sa tailored trend. Location: Marawi !,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PushAwardsMayWards,900747359851827200,https://twitter.com/Maria86439147/status/900747359851827200,fil
260ampheres,2017-08-24 23:51,0,0,Solofdalbino: RT aemonp141: ilovemw06Solo: RT ofckuyaEdward: Alert! Trending na ang DUDU. First spot sa tailored trend. Location: Marawi ! …,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900747358069248001,https://twitter.com/260ampheres/status/900747358069248001,fil
kawaiinejenjen,2017-08-24 23:50,0,0,he survived the war in Marawi pero pagbalik papatayin din pala siya ng pulis https:// /900745874728296448 …,,,,900747181522526208,https://twitter.com/kawaiinejenjen/status/900747181522526208,fil
longlostjupiter,2017-08-24 23:49,1,16,tama yan,,,,,,fil
260ampheres,2017-08-24 23:48,0,0,ilovemw06Solo: ofckuyaEdward Ang layo narating ng dudu s marawi pa hahaha,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PushAwardsMayWards,900746678600421377,https://twitter.com/260ampheres/status/900746678600421377,fil
ilovemw06,2017-08-24 23:47,19,1,Ang layo narating ng dudu s marawi pa hahaha,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PushAwardsMayWards,900746508814868482,https://twitter.com/ilovemw06/status/900746508814868482,fil
260ampheres,2017-08-24 23:46,2,0,ilovemw06Solo: RT ofckuyaEdward: Alert! Trending na ang DUDU. First spot sa tailored trend. Location: Marawi !,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PushAwardsMayWards,900746158137643008,https://twitter.com/260ampheres/status/900746158137643008,fil
gmanews,2017-08-24 23:45,35,57,Hindi naniniwala ang misis ng napatay na sundalong galing Marawi na nanlaban ito kaya binaril ng mga pulis. http://,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900745874728296448,https://twitter.com/gmanews/status/900745874728296448,fil
Maria86439147,2017-08-24 23:43,0,0,stone: RT ofckuyaEdward: Alert! Trending na ang DUDU. First spot sa tailored trend. Location: Marawi !,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PushAwardsMayWards,900745509463359488,https://twitter.com/Maria86439147/status/900745509463359488,fil
bandila,2017-08-24 23:41,0,0,Pangulong Duterte. muling binisita ang tropa ng gobyerno sa main battle area sa Marawi,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,900744850756083712,https://twitter.com/bandila/status/900744850756083712,fil
bandila,2017-08-24 23:41,2,2,Grand Mosque sa Marawi City na kinubkob ng Maute,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
SophieCruz0215,2017-08-24 23:40,0,0,: RT ofckuyaEdward: Alert! Trending na ang DUDU. First spot sa tailored trend. Location: Marawi !,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PushAwardsMayWards,900744605846712320,https://twitter.com/SophieCruz0215/status/900744605846712320,fil
maramagutlapig,2017-08-24 23:38,0,1,First time may dinukot na pulis at sa EDSA pa. Ang timing naman na may pinatay silang sundalo na galing marawi . E diba tapang kuno ng PNP,,,,900744138378813440,https://twitter.com/maramagutlapig/status/900744138378813440,fil
Deybjori,2017-08-24 23:36,0,0,Reyes to Maam Cha: Maam bat di na lang gawing sundalo yung mga adik tas ipadala sa Marawi,"(['Manila City'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
ofckuyaEdward,2017-08-24 23:34,264,49,Alert! Trending na ang DUDU. First spot sa tailored trend. Location: Marawi !,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PushAwardsMayWards,900743174104137728,https://twitter.com/ofckuyaEdward/status/900743174104137728,fil
Chabhe_MOSH,2017-08-24 23:33,0,0,QT BKE: RT HPrettyFaith: Hala nag trending ang 'Dudu' sa tailored trends Location Marawi ! Joke! K bye! I'll be gud na MAYWARD MoviePromo…,,,,900742854628298753,https://twitter.com/Chabhe_MOSH/status/900742854628298753,fil
maxangelo987,2017-08-24 23:29,0,0,http:// 2 Sundalong galing Marawi na napatay ng mga pulis,,,,,,fil
def_filipino,2017-08-24 23:28,0,0,Dumaan umano sa matinding panganib ang pinagsanib na puwersa ng pulis at sundalo marating lang ang Marawi City... http://,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900741658794377218,https://twitter.com/def_filipino/status/900741658794377218,fil
jatf0416,2017-08-24 23:27,0,0,TIGNAN: Sa unang pagkakataon bumisita si Pangulong Rody Duterte sa Main Battle Zone sa pinakasentro ng Marawi ... http:// c,,,,900741245898596352,https://twitter.com/jatf0416/status/900741245898596352,fil
beaafranciscoo,2017-08-24 23:26,0,6,PNP accidentally killed a soldier na naka-survive sa Marawi .... KINGINA ANO NA,"(['Antipolo City'], Location((7.0391789, 125.5109696, 0.0)))",,,900741186314420225,https://twitter.com/beaafranciscoo/status/900741186314420225,fil
Pulitika2010,2017-08-24 23:23,0,0,Bravo ulit pulis! Sundalong nadestino sa Marawi na naghihintay ng sasakyan,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
JerzyLance,2017-08-24 23:21,0,3,SHOUTOUT DUN SA RIDING-IN-TANDEM DITO SA CAVITE,"(['Imus', ' Cavite Philippines'], Location((14.4021133, 120.932366655, 0.0)))",,,,,zh
SamOUmaga,2017-08-24 23:20,0,1,Ikaw ano naaccomplish mo? Nakapunta ka ba ng marawi ... o puro dada ka lang sa twitter ... feeling maganda ang puta eh muka ka naman tae,,,,900739722707849216,https://twitter.com/SamOUmaga/status/900739722707849216,fil
__Ompeng,2017-08-24 23:20,0,1,May pauwing sundalo galing marawi,,,,,,fil
LuntiangLumot,2017-08-24 23:19,0,0,Srsly!? Out of topic ka.. nasa marawi ka ate gurl pero tungkol sayo pa din?,,,#firemocha #FireMochaUson,900739445959172100,https://twitter.com/LuntiangLumot/status/900739445959172100,fil
3mhRahef,2017-08-24 23:19,0,0,نهاد افتحي الخاص الضروري,,,,900739236567166977,https://twitter.com/3mhRahef/status/900739236567166977,ar
beigegurl_,2017-08-24 23:17,0,4,sakit kaayo na huot akong heart,"(['Dvo\xc2\xa0\xf0\x9f\x87\xa8\xf0\x9f\x87\xbf'], Location((51.9948305, 5.66616532284, 0.0)))",,,,,fil
ianstvs,2017-08-24 23:15,1,1,Hahhaah marawi,"(['\xc2\xa0\xf0\x9f\x93\x8d Riverdale'], Location((41.5444778, -90.4581879, 0.0)))",,,900738279426867201,https://twitter.com/ianstvs/status/900738279426867201,hmn
saksi,2017-08-24 23:12,0,2,Hindi na nakauwi sa kanyang mag-ina ang isang sundalong galing sa bakbakan sa Marawi matapos mapatay ng mga pulis.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900737491895844867,https://twitter.com/saksi/status/900737491895844867,fil
JRomwell,2017-08-24 23:10,0,0,Sayang ang ginastos sa yo ng gobyerno papuntang Marawi e magsusumbong ka kang pala https:// tatus/900719888209108992 …,,,#FireMocha,900737197396996096,https://twitter.com/JRomwell/status/900737197396996096,fil
JhayrzJhanzM,2017-08-24 23:10,0,0,KAKAPASOK LANG NA BALITA NGAYONG GABI - AUGUST 24,,,,,,fil
DDSWolverine,2017-08-24 23:10,1,9,Miss Mocha Uson kasama ang ating mga sundalo sa Marawi (c)MOCHAUSONBLOG ps:ang ganda naman nya dito,,@MochaUson,,900737007034408961,https://twitter.com/DDSWolverine/status/900737007034408961,fil
0hanin0,2017-08-24 23:04,26,42,أبي قلب يبادلني غرام يذهل العشاق وأبي حب تموت أجيال ما توصل مواصيله,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",,,900735576500047872,https://twitter.com/0hanin0/status/900735576500047872,ar
daevieroseqls,2017-08-24 23:04,1,1,Marawi -gulo Dito-tngina,,,,900735488385888256,https://twitter.com/daevieroseqls/status/900735488385888256,fil
DDSWolverine,2017-08-24 23:04,0,4,ang ating Pangulong Duterte nag iiikot sa area ng Marawi (c)MOCHAUSONBLOG,,,,900735481134039040,https://twitter.com/DDSWolverine/status/900735481134039040,fil
soso_wwert5435,2017-08-24 23:03,2,5,واياك يارب,"(['Kingdom of Saudi Arabia'], Location((-6.8638235, 39.2551949, 0.0)))",,,900735295221628930,https://twitter.com/soso_wwert5435/status/900735295221628930,ar
0hanin0,2017-08-24 23:01,1,1,مساج ابتسامه ف سعااااده يااااارب,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",,,900734843042111488,https://twitter.com/0hanin0/status/900734843042111488,ar
HPrettyFaith,2017-08-24 22:55,162,25,Hala nag trending ang 'Dudu' sa tailored trends Location Marawi ! Joke! K bye! I'll be gud na MAYWARD MoviePromoSOON,"(['Dubai', ' United Arab Emirates'], Location((2.9470179, 30.961206, 0.0)))",,#PushAwardsMayWards,900733319045943296,https://twitter.com/HPrettyFaith/status/900733319045943296,fil
Teacher41391287,2017-08-24 22:55,0,0,,"(['ksa', '', '', '', 'Riyadh'], Location((4.13617025, 9.55242794813, 0.0)))",,,900733202360393729,https://twitter.com/Teacher41391287/status/900733202360393729,#VALUE!
AaladarrR,2017-08-24 22:54,0,0,Bay sa marawi pa,"(['Calabarzon'], Location((14.16441485, 121.353652374, 0.0)))",,,,,fil
gmanewsfacebook,2017-08-24 22:53,0,0,Hindi naniniwala ang misis ng napatay na sundalo na galing sa Marawi City at pauwi na sa kaniyang pamilya sa... http://,,,,900732694698442752,https://twitter.com/gmanewsfacebook/status/900732694698442752,fil
soso_wwert5435,2017-08-24 22:51,1,3,مساء الورد ياقلبي وحشتني وقسم,"(['Kingdom of Saudi Arabia'], Location((-6.8638235, 39.2551949, 0.0)))",,,900732219458760706,https://twitter.com/soso_wwert5435/status/900732219458760706,ar
roli_manio,2017-08-24 22:50,0,1,Kung si Pnoy yan,,,,,,fil
0hanin0,2017-08-24 22:50,2,1,صصصح نبضج يالسميه,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",,,900732031994351616,https://twitter.com/0hanin0/status/900732031994351616,ar
PHLNewsOnline,2017-08-24 22:50,0,0,[GMA News] Sundalong galing Marawi na napatay ng mga pulis,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
soso_wwert5435,2017-08-24 22:49,2,3,منوره وربي يالسميه صح بوحك,"(['Kingdom of Saudi Arabia'], Location((-6.8638235, 39.2551949, 0.0)))",,,900731841921126400,https://twitter.com/soso_wwert5435/status/900731841921126400,ar
emediamo,2017-08-24 22:48,0,0,TIENE PA ASEGUN ESTIMAO 40 MAGA MIEMBRO DEL MAUTE TERRORIST GROUP EL PRESENTE NA MARAWI CITY,"(['RBB Building', ' Villa Teresa', ' ZC'], Location((52.342398, 14.5520171, 0.0)))",,,,,es
emediamo,2017-08-24 22:45,0,0,NU PUEDE PA ASEGUN HABLA EL MILITAR SI CUANTO O TIENE BA MAGA FOREIGN TERRORISTS EL PRESENTE NA MARAWI CITY QUE... http://,"(['RBB Building', ' Villa Teresa', ' ZC'], Location((52.342398, 14.5520171, 0.0)))",,,900730693289996288,https://twitter.com/emediamo/status/900730693289996288,es
xShTitA,2017-08-24 22:42,0,0,"I liked a video http:// Perfect"" by Sam Mangubat |Awit Para Sa Marawi""","(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@YouTube,,900730127885234180,https://twitter.com/xShTitA/status/900730127885234180,fil
jdesignz,2017-08-24 22:42,0,0,Sundalong galing Marawi na napatay ng mga pulis,,,,,,fil
unhory,2017-08-24 22:41,0,0,Watching Di Ka Pasisiil,,,,,,jv
kimcolambot1,2017-08-24 22:37,0,0,Di nga namatay sa Marawi namatay naman sa kamay ng mga kapwa pulis dahil lang sa punyetang hinala.,"(['Qc'], Location((52.4760892, -71.8258668, 0.0)))",,,900728808831016960,https://twitter.com/kimcolambot1/status/900728808831016960,fil
meu11,2017-08-24 22:36,0,0,Sundalong nadestino sa Marawi na naghihintay ng sasakyan,"(['philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
