Tiver_A,2017-08-25 7:59,0,1,Edi wow ... you mean they are still fighting in Marawi after all this time! What incompetence is this Mr President? https:// twitter.com/RexCNNPH/statu s/900869365528051712 …,"(['Adelaide', ' South Australia'], Location((-34.9274284, 138.599899, 0.0)))",,,900870271225036800,https://twitter.com/Tiver_A/status/900870271225036800
KingLemuj,2017-08-25 7:54,0,0,Sundalong nadestino sa Marawi na naghihintay ng sasakyan,"(['Naga City', ' Bicol Region'], Location((13.6232024, 123.1857873, 0.0)))",,,,
kimbatoon,2017-08-25 7:54,0,0,"pupunta ba tayong marawi "" mygahd""",,,,900868886874120192,https://twitter.com/kimbatoon/status/900868886874120192
MargieGenobisa1,2017-08-25 7:48,0,0,Mhay Ghad Akoy nahadlok God bless our President PRRD. God bless the Philippines. Bangon Marawi . Keep on... http:// fb.me/DYjUOHy7,,,,900867409476808705,https://twitter.com/MargieGenobisa1/status/900867409476808705
breaking_news_4,2017-08-25 7:44,0,0,Duterte visits Marawi after Filipino troops recapture mosque http:// ift.tt/2xhdihC,,,,900866351488696322,https://twitter.com/breaking_news_4/status/900866351488696322
hamassenger,2017-08-25 7:43,0,0,Duterte visits Marawi after Filipino troops recapture mosque http:// hamassenger.com/2017/08/dutert e-visits-marawi-after-filipino-troops-recapture-mosque/ …,"(['The Netherlands'], Location((36.2992331, -89.751194, 0.0)))",,,900866143090552833,https://twitter.com/hamassenger/status/900866143090552833
dzrhnews,2017-08-25 7:38,0,2,LOOK: SAP Sec. Bong also in full battle gear during their visits of PRRD in Marawi yesterday ASEC Mocha Uson | RH7 @KaHenryDZRH pic.twitter.com/ZPXov2NIHx,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",@KaHenryDZRH,,900864975102595074,https://twitter.com/dzrhnews/status/900864975102595074
RealtorJairo,2017-08-25 7:36,0,0,Duterte visits Marawi after Filipino troops recapture mosque http:// fb.me/35mvgjr1Z,"(['Houston', 'TX'], Location((29.7589382, -95.3676974, 0.0)))",,,900864430459637761,https://twitter.com/RealtorJairo/status/900864430459637761
newsaction_,2017-08-25 7:36,0,0,"RT inews2day Duterte visits Marawi after Filipino troops recapture mosque #news http:// ift.tt/2xhdihC http:// goo.gl/Nsw8eN """"","(['#World'], Location((32.8548259, -117.2041575, 0.0)))",,#news,900864378836316160,https://twitter.com/newsaction_/status/900864378836316160
MangTurning,2017-08-25 7:34,0,1,DU30 is the master planner of all that is happening in Marawi and with NPA. Pinagugulo at punagsasabong nya ang mga Pilipino!,,,,900863888035414016,https://twitter.com/MangTurning/status/900863888035414016
dzrhnews,2017-08-25 7:33,0,1,Pang. Duterte,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,
andreasharsono,2017-08-25 7:31,44,26,Bagaimana senjata serbu SS1 produksi Pindad Bandung bisa dipakai milisi ISIS di Marawi dan Sultan Kudarat? https:// tir.to/n/cvi3,"(['Jakarta'], Location((-6.1753942, 106.827183, 0.0)))",,,900863101611921409,https://twitter.com/andreasharsono/status/900863101611921409
KaHenryDZRH,2017-08-25 7:29,0,1,Look: SAP Sec Bong also in full battle gear during their visits of PRRD in Marawi yesterday @dzrhnews @dzrh11 ASec Mocha Uson pic.twitter.com/VeMhIZUrXa,"(['National Capital Region'], Location((14.5736108, 121.0329706, 0.0)))",@dzrhnews @dzrh11,,900862717166182400,https://twitter.com/KaHenryDZRH/status/900862717166182400
