GalangJOVINO,2017-07-26 23:58,0,0,"Sundalong nasawi sa Marawi, na-sniper ng Maute sa ari; ikakasal na sana",,,,890240013517991937,https://twitter.com/GalangJOVINO/status/890240013517991937
CdOlaso,2017-07-26 23:58,0,0,Maraming maraming salamat sa pagtulong!!!! # One4MARAWI # Pray4MARAWI @Marawi City https://www.instagram.com/p/BXBADr4jp8a/,,@Marawi,# #,890239819388997634,https://twitter.com/CdOlaso/status/890239819388997634
itsjeca,2017-07-26 23:54,0,0,suko na kayo padala ko kayo sa marawi psh,"(['\xe2\x9d\x9dpals\xe2\x9d\x9e'], Location((41.9709891, 3.1460371, 0.0)))",,,890238867202232323,https://twitter.com/itsjeca/status/890238867202232323
blackalive_,2017-07-26 23:54,0,0,"Philippines President Calls On Separatists, Maoists Militant Groups To Fight ISIS In Marawi http://ref.gl/fMwtn8Bn","(['Detroit', ' MI'], Location((42.3486635, -83.0567375, 0.0)))",,,890238785748844544,https://twitter.com/blackalive_/status/890238785748844544
toptensg_com,2017-07-26 23:53,0,0,Duterte makes surprise visit to war-torn Marawi - https://ggmobiletech.com/apple-singapore/duterte-makes-surprise-visit-to-war-torn-marawi/ …,"(['Worldwide'], Location((53.4573434, -2.22698994022, 0.0)))",,,890238669176676352,https://twitter.com/toptensg_com/status/890238669176676352
dra_oraa,2017-07-26 23:53,13,24,Ipahagis nga daw po sa Marawi!!! https://twitter.com/julietjavier90/status/890237412336558080 …,,,,890238575853228032,https://twitter.com/dra_oraa/status/890238575853228032
hapilayf,2017-07-26 23:49,2,1,Ihagis sa Marawi yan.,,,,890237726481567745,https://twitter.com/hapilayf/status/890237726481567745
AKIRANTSLIFE,2017-07-26 23:49,0,0,"The hell is empty, the devils are here."" # PrayForMarawi""",,,#,890237542653542404,https://twitter.com/AKIRANTSLIFE/status/890237542653542404
halfbaaad,2017-07-26 23:47,0,0,Marawi. Maybe I was discriminated by their excuse about me being not qualified for any positions based on my resume and performance.,"(['PH'], Location((12.44249325, 122.160395164, 0.0)))",,,890237167263285248,https://twitter.com/halfbaaad/status/890237167263285248
Jetskie095,2017-07-26 23:46,0,0,# FPJAPUbusan Dapat si cardo yung pinapadala sa marawi eh hindi namatay eh,"(['Quezon City'], Location((14.6509905, 121.0486155, 0.0)))",,#,890236841726623744,https://twitter.com/Jetskie095/status/890236841726623744
harley_JSJ,2017-07-26 23:45,0,0,Parang pumasok sa Marawi na suntukan lang alam,,,,890236535479468033,https://twitter.com/harley_JSJ/status/890236535479468033
ajfrncsc_,2017-07-26 23:43,0,0,Aray. Sige hahaha ingat ka dun baka di ka tumagal. Nag-tatago mga pepe ng marawi e,"(['Rizal', ' Calabarzon'], Location((14.65, 121.25, 0.0)))",,,890236041839263745,https://twitter.com/ajfrncsc_/status/890236041839263745
ClarenzChrstian,2017-07-26 23:42,0,0,Hahaa next week marami ako lakad pupunta pa ko sa marawi,"(['Rizal', ' Calabarzon'], Location((14.65, 121.25, 0.0)))",,,890235874687856640,https://twitter.com/ClarenzChrstian/status/890235874687856640
sofyani100,2017-07-26 23:39,0,0,ياررررب,,,,890235106287333376,https://twitter.com/sofyani100/status/890235106287333376
sofyani100,2017-07-26 23:37,0,0,يسعدقلبك,,,,890234593785376770,https://twitter.com/sofyani100/status/890234593785376770
himari_chan_,2017-07-26 23:37,0,0,qiqil niya si acouh papatawag ko yung mga marawi para salakayin siya,,,,890234545328357376,https://twitter.com/himari_chan_/status/890234545328357376
moyekayente,2017-07-26 23:33,0,0,Why don't you move to Marawi instead. This will decongest Luzon Island.,,,,890233569150353408,https://twitter.com/moyekayente/status/890233569150353408
PhilippineStar,2017-07-26 23:30,0,3,Duterte suspends military operations in Marawi http://bit.ly/2uVq72R pic.twitter.com/om5UtR9Qqp,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,890232745149972480,https://twitter.com/PhilippineStar/status/890232745149972480
juztpost,2017-07-26 23:26,0,0,# juztpost 2 months later: A bridge in Marawi http://juztpost.com/2017/07/26/2-months-later-bridge-marawi/ …pic.twitter.com/t4fS8ZEQoT,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,890231923485921280,https://twitter.com/juztpost/status/890231923485921280
0ryuge,2017-07-26 23:26,1,1,Duterte halts military operations in Marawi http://www.rantburg.com/poparticle.php?D=07/26/2017&SO=&HC=1&ID=493607 … # Rantburg # WarOnTerror # ryuge # 26July2017,"(['Arizona'], Location((34.395342, -111.7632755, 0.0)))",,# # # #,890231787250606081,https://twitter.com/0ryuge/status/890231787250606081
saksi,2017-07-26 23:25,0,0,Sumiklab ang sunog sa ilang bahay sa Raya Madaya sa Marawi kaninang hapon.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,890231538163503104,https://twitter.com/saksi/status/890231538163503104
PAPI_ORLAN,2017-07-26 23:25,0,0,Wla pong pasok sa marawi.,,,,890231517133234176,https://twitter.com/PAPI_ORLAN/status/890231517133234176
angel_osmil29,2017-07-26 23:23,0,0,Ganahan kag gubat dae? Adto ta sa marawi na,,,,890231187419021312,https://twitter.com/angel_osmil29/status/890231187419021312
liexlore,2017-07-26 23:23,0,0,Next contestant word:martial law sagot:ito ay pinatupad sa bansang marawi.. HAHAHA puta! Kulang na lang sabihin ang capital nito ay mauti!,,,,890231094699712512,https://twitter.com/liexlore/status/890231094699712512
changemakers_ph,2017-07-26 23:22,0,0,*~ KALAYO for MARAWI ~* <3 http://fb.me/1wJgxwrRk,"(['The Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,890230967608242178,https://twitter.com/changemakers_ph/status/890230967608242178
KimXianATGInc,2017-07-26 23:21,23,36,Let's campaign and support @ XianLimm & @ OneMusicPH 's campaign for Marawi https://twitter.com/xianlimm/status/890229660075925504 …,,@ @,,890230520369471488,https://twitter.com/KimXianATGInc/status/890230520369471488
begailbee,2017-07-26 23:19,7,10,"To survive in peace and harmony, united and strong, we must have 1 people, 1 nation, 1 flag. # PrayForPH # PrayForMarawi # PrayForPeace","(['error'], Location((51.242037, -0.1939401, 0.0)))",,# # #,890230029346496513,https://twitter.com/begailbee/status/890230029346496513
cheyndriaford,2017-07-26 23:18,0,0,"Im super busy right now but my friend asked me to edit a bookmark for Marawi, who am I to reject the opportunity? pic.twitter.com/P2AQuFInwI","(['hogwarts'], Location((-1.24139975, 36.784112734, 0.0)))",,,890229849150824448,https://twitter.com/cheyndriaford/status/890229849150824448
ab90o,2017-07-26 23:12,0,0,الله يسعدك ربي,"(['\xd8\xa7\xd9\x84\xd8\xb1\xd9\x8a\xd8\xa7\xd8\xb6', ' \xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((24.6319692, 46.7150648, 0.0)))",,,890228237162467329,https://twitter.com/ab90o/status/890228237162467329
