AnthonyATruther,2017-07-15 23:59,christians are given hijabs by muslims in marawi to help them escape isis militants via yahoonews,,en,0.25011,0.266303,0.230469,0.092778,0.321704,"['disgust', 0.321704]"
ohitsmiko,2017-07-15 23:58,watching iwitness and my bleeds to see marawi in a war state very different to the lively marawi i used to know,,en,0.160234,0.140539,0.416537,0.178173,0.166534,"['sadness', 0.416537]"
DelrMiguel,2017-07-15 23:57,plus all the generals marvin marcos ejk and who knows whats the truth behind marawi,,en,0.19829,0.165176,0.365339,0.195049,0.134101,"['sadness', 0.365339]"
ndame1112,2017-07-15 23:54,women warriors female snipers and gunners in marawi airing right now on gma 7 report by sandra aguinaldo,,en,0.042609,0.147972,0.124603,0.060553,0.265594,"['disgust', 0.265594]"
itsjoymoretz,2017-07-15 23:38,women warriors iwitness marawi,,en,0.097855,0.210064,0.171217,0.078852,0.365402,"['disgust', 0.365402]"
myca_tacauan813,2017-07-15 23:32,iwitnessgma im on goosebumps salute to womenwarriors  to the entire troupe that fights for marawi may god shield u all,,en,0.250259,0.217607,0.296173,0.253645,0.102332,"['sadness', 0.296173]"
SecLiling,2017-07-15 23:20,this foto was taken n dumaguete when i visited marawi children n the nir region,,en,0.052748,0.119817,0.073273,0.081546,0.174634,"['disgust', 0.174634]"
akahnnyc,2017-07-15 23:17,puppet du30 thanks americans for marawi help,,en,0.015191,0.290383,0.042962,0.016991,0.053573,"['joy', 0.290383]"
iwantoherman,2017-07-15 23:17,please immediately for small teams save the refuge and assistance of marawi city filipina,,en,0.136548,0.110945,0.0547,0.023953,0.022283,"['anger', 0.136548]"
iwantoherman,2017-07-15 23:16,un please immediately for small teams save the refuge and assistance of marawi city filipina,,en,0.188748,0.071884,0.069255,0.02898,0.047439,"['anger', 0.188748]"
iwantoherman,2017-07-15 23:16,unfoundation please immediately for small teams save the refuge and assistance of marawi city filipina,,en,0.144969,0.178687,0.065437,0.021683,0.026991,"['joy', 0.178687]"
iwantoherman,2017-07-15 23:14,un please immediately for small team save the refugee of marawi city filipina,,en,0.447538,0.123352,0.309826,0.101356,0.221942,"['anger', 0.447538]"
Ideal_Views,2017-07-15 22:54,duterte thanks us russia china for aid in marawi antiterror ops via manilabulletin,"(['Worldwide'], Location((53.4573434, -2.22698994022, 0.0)))",en,0.014848,0.455093,0.090834,0.226822,0.040824,"['joy', 0.455093]"
tulipsmg,2017-07-15 22:52,1 rape of australian nun 2 rape by troops during marawi conflict 3 now this,"(['40.7864 N', ' 73.9514 W'], Location((51.19953485, 6.80291028753, 0.0)))",en,0.291513,0.025403,0.208075,0.084894,0.68442,"['disgust', 0.68442]"
FilY0,2017-07-15 22:50,exactly duterte even challenged them last december if only he could walk all his talk marawi problem could have been prevented,,en,0.092548,0.107295,0.586194,0.399401,0.030446,"['sadness', 0.586194]"
LaconicHenry,2017-07-15 22:47,they had intel before attack happened and didnt act on it marawi was just a convenient excuse to declare ml,"([""Hell's Gate""], Location((-17.4545323, 138.3556553, 0.0)))",en,0.198715,0.020007,0.168846,0.416268,0.20072,"['fear', 0.416268]"
enjoyparaglider,2017-07-15 22:42,the dangerous implications of isis holding on to marawi in the philipines,"(['Hokkaido', ' Japan'], Location((43.4519831, 142.8197834, 0.0)))",en,0.251762,0.027626,0.297258,0.516412,0.140102,"['fear', 0.516412]"
itsBumpkin11_jd,2017-07-15 22:34,fr marawi city but now im in iligan city jadineliveinboholhttps,,en,0.062067,0.201928,0.168746,0.071994,0.056145,"['joy', 0.201928]"
Ibajay,2017-07-15 22:31,duterte thanks us russia china for aid in marawi antiterror ops,,en,0.02125,0.407365,0.074375,0.162798,0.026687,"['joy', 0.407365]"
CRbuildpeace,2017-07-15 22:30,winning the peace in marawi  article from hyrodomado via newmandala ,"(['London', ' UK'], Location((51.5073219, -0.1276474, 0.0)))",en,0.013107,0.874626,0.050327,0.053679,0.017765,"['joy', 0.874626]"
FilY0,2017-07-15 22:09,that is unfair it is harder to achieve their goal because marawis target is a cowardhehe,,en,0.247191,0.085858,0.621257,0.069108,0.050553,"['sadness', 0.621257]"
Terror_Monitor,2017-07-15 22:04,philippines islamicstate claims killing 7 soldiers in an ongoing clashes in marawi,"(['Worldwide'], Location((53.4573434, -2.22698994022, 0.0)))",en,0.306561,0.010815,0.496904,0.205168,0.148188,"['sadness', 0.496904]"
alysserenity,2017-07-15 22:02,randomthoughts whoevers gonna hold the rehabilitation fund in marawi wag nyo sana bulsahan ha,,en,0.157003,0.284283,0.032799,0.091518,0.09028,"['joy', 0.284283]"
shahbaqar2,2017-07-15 21:40,i liked a youtube video marawi like an action movie,"(['Pakistan'], Location((30.3308401, 71.247499, 0.0)))",en,0.092296,0.385427,0.087131,0.033342,0.117918,"['joy', 0.385427]"
pnp_sigmacapiz,2017-07-15 21:35,22nd police community relations month pers sigma mps led by psinsp efren b yuing oic conducted humanitarian assistance marawi victims,,en,0.069594,0.044138,0.189584,0.011561,0.38903,"['disgust', 0.38903]"
Zarathoustra96,2017-07-15 21:17,they are still holding giving some time for jihadists to reorganize attacks outside marawi,"(['Where I am'], Location((6.0566231, -10.0032896, 0.0)))",en,0.271397,0.053528,0.310809,0.45257,0.125352,"['fear', 0.45257]"
DomPozo,2017-07-15 21:15,bringing investment restoring peace  order in marawi building infrastructure capable leader and so many other things,,en,0.034122,0.58481,0.03088,0.025742,0.021943,"['joy', 0.58481]"
JihadiInfo,2017-07-15 21:13,marawi maute group philippines islamic state of iraq and the levant abu sayyaf lanao del sur armed forces ,"(['Milwaukee', ' WI'], Location((43.0349931, -87.922497, 0.0)))",en,0.123674,0.049397,0.222882,0.540741,0.256047,"['fear', 0.540741]"
rxnnjymln,2017-07-15 21:03,offering my violin recital tomorrow for the marawi ppl,"(['JMK'], Location((38.261106, -5.6763667, 0.0)))",en,0.095435,0.229024,0.259258,0.10522,0.098413,"['sadness', 0.259258]"
cyberdean07,2017-07-15 21:01,became seed money for marawi they wouldnt have been emboldened in lanao if they didnt have funds to take up arms vs the govt,"(['Cyberspace'], Location((52.59425525, -2.12879795154, 0.0)))",en,0.141391,0.334935,0.305442,0.126036,0.121684,"['joy', 0.334935]"
YAborka,2017-07-15 20:49,rshsvioneformarawi pray for marawi,,en,0.033806,0.026312,0.415428,0.589497,0.154411,"['fear', 0.589497]"
YAborka,2017-07-15 20:44,hi sayanistas heres the prayer for marawi passthehat update in behalf of the ssg thank you everyone who contributed for marawi,,en,0.037522,0.6711,0.213449,0.038967,0.003428,"['joy', 0.6711]"
Zarathoustra96,2017-07-15 20:36,you should create a map of marawi with the help of petolucem,"(['Where I am'], Location((6.0566231, -10.0032896, 0.0)))",en,0.018221,0.496976,0.095591,0.029544,0.00537,"['joy', 0.496976]"
SaladinAlDronni,2017-07-15 20:30,is reports about 7 afp soldiers killed by snipers in marawi today leyoud and marinot neighborhoods phillipines,,en,0.230751,0.019376,0.382616,0.385559,0.117313,"['fear', 0.385559]"
chrisapilado,2017-07-15 20:13,if someone would ask me whats the saddest thing i always have in mind it will always be the marawi independence day ,,en,0.070533,0.103693,0.73428,0.182447,0.103221,"['sadness', 0.73428]"
juttsulit,2017-07-15 20:03,for flag for country for marawi,"(['Pilipinas'], Location((12.7503486, 122.7312101, 0.0)))",en,0.043813,0.095139,0.156195,0.069256,0.579471,"['disgust', 0.579471]"
thePHcatalog,2017-07-15 20:01,mpe2017 update the event started with a prayer for marawi for the countrys leaders and for the event proper,,en,0.102908,0.259581,0.456085,0.151327,0.032713,"['sadness', 0.456085]"
northbound_ph,2017-07-15 19:52,slain mautes now at 399 as fighting in marawi reaches 53rd day via northboundph,,en,0.028347,0.217506,0.230373,0.089147,0.094534,"['sadness', 0.230373]"
islaminthenews7,2017-07-15 19:43,marawi siege to go beyond 60 days  inquirer news newssuite,,en,0.109313,0.260101,0.330484,0.228986,0.248409,"['sadness', 0.330484]"
josuelabila,2017-07-15 19:27,paper does not save people people save people marawi safety,,en,0.162541,0.089219,0.229225,0.096685,0.255423,"['disgust', 0.255423]"
JohnLester,2017-07-15 19:24,day 54 of the marawi siege,,en,0.0724,0.41432,0.226818,0.093069,0.04893,"['joy', 0.41432]"
eTurboNews,2017-07-15 19:17,marawis death toll537,,en,0.110795,0.002958,0.816,0.233466,0.105136,"['sadness', 0.816]"
DwightLavallee1,2017-07-15 19:15,22 marawi following blueonblue incident,"(['Winnipeg', ' Manitoba'], Location((49.884017, -97.168579, 0.0)))",en,0.192255,0.074221,0.180435,0.095012,0.163032,"['anger', 0.192255]"
NastaBarashkova,2017-07-15 19:07,600 buildings still need to be cleared in marawi philstarnewshttps,,en,0.039775,0.147738,0.127538,0.156042,0.098632,"['fear', 0.156042]"
hamina_adiong,2017-07-15 19:07,islamic city of marawi,"(['his place\xc2\xa0\xf0\x9f\x92\x95'], Location((49.4613782, 6.5107534, 0.0)))",en,0.070159,0.086764,0.218625,0.247368,0.14888,"['fear', 0.247368]"
Qatar_Update,2017-07-15 19:07,marawis death toll 537 news,"(['Qatar'], Location((25.22803095, 55.1733279309, 0.0)))",en,0.10697,0.023514,0.693195,0.215312,0.151613,"['sadness', 0.693195]"
__lovelytaetae,2017-07-15 19:02,they are here because they are also affected by the marawi incident,,en,0.157397,0.014384,0.358441,0.171631,0.191961,"['sadness', 0.358441]"
injelingg,2017-07-15 18:54,life here is incomparable to the life i used to live marawi,,en,0.031581,0.693088,0.203011,0.02864,0.039215,"['joy', 0.693088]"
MiguelGeroche,2017-07-15 18:47,give dignity kits to marawi women senator tells govt dignitykitshttp,"(['Pilipinas'], Location((12.7503486, 122.7312101, 0.0)))",en,0.195418,0.078426,0.57116,0.049058,0.186388,"['sadness', 0.57116]"
cnnphilippines,2017-07-15 18:31,insidemarawi afp 55 bodies recovered in marawi city,,en,0.039661,0.054691,0.075888,0.387163,0.131659,"['fear', 0.387163]"
cnnphilippines,2017-07-15 18:31,insidemarawi afp spokesperson restituto padilla gives updates on the marawi crisis  newsroomweekend,,en,0.163943,0.041215,0.273382,0.326894,0.158358,"['fear', 0.326894]"
pined_mark,2017-07-15 18:29,marawi city,,en,0.051394,0.216157,0.175201,0.061141,0.050338,"['joy', 0.216157]"
cnnphilippines,2017-07-15 18:26,insidemarawi young marawi evacuees get letters of hope  newsroomweekend live,,en,0.035484,0.315534,0.411307,0.287699,0.028786,"['sadness', 0.411307]"
marcboni,2017-07-15 18:15,filipinos are poor and lost about 30 have died from friendly fire in marawi  thats worse than mamasapano cnni,"(['Earth'], Location((34.2331373, -102.4107493, 0.0)))",en,0.186336,0.005775,0.763027,0.258174,0.100367,"['sadness', 0.763027]"
Zarathoustra96,2017-07-15 18:15,seems several teenagers are fighting alongside isis in marawi philippines,"(['Where I am'], Location((6.0566231, -10.0032896, 0.0)))",en,0.190413,0.019535,0.573641,0.1532,0.344154,"['sadness', 0.573641]"
Marawi_D,2017-07-15 18:11,so when your child dont get straight as or bs doesnt mean they,"(['Al Ahmady', ' Kuwait'], Location((25.2918201, 55.4971918, 0.0)))",en,0.120324,0.167061,0.170745,0.093654,0.072945,"['sadness', 0.170745]"
cnnphilippines,2017-07-15 18:09,afp no military clearance for evacuees to return to marawi  newsroomweekend live,,en,0.062373,0.571359,0.186322,0.039404,0.040497,"['joy', 0.571359]"
PCSOLotteryDraw,2017-07-15 18:07,marawi update l july 15 2017 via youtube,,en,0.038767,0.156301,0.261308,0.13857,0.046355,"['sadness', 0.261308]"
PCSOLotteryDraw,2017-07-15 18:07,i added a video to a youtube playlist marawi update l july 15 2017,,en,0.157924,0.435629,0.112039,0.031731,0.015365,"['joy', 0.435629]"
cnnphilippines,2017-07-15 18:05,on the phone afp spokesperson restituto padilla gives updates on the marawi crisis  newsroomweekend live,,en,0.155708,0.05651,0.335307,0.358613,0.128309,"['fear', 0.358613]"
cnnphilippines,2017-07-15 18:03,insidemarawi gergcahiles reports on 55 bodies recovered in marawi city  newsroomweekend live,,en,0.035113,0.046631,0.092622,0.327348,0.111516,"['fear', 0.327348]"
OneMusicPH,2017-07-15 18:00, dyfendersofc get to watch jasonjamesdy on one music live presents awit para sa marawi this august 6 at 6pm u,,en,0.022936,0.563255,0.258696,0.111779,0.047552,"['joy', 0.563255]"
openomroep,2017-07-15 17:59,death toll marawi death toll now at 537 afp  gma news gma news marawi death toll now at 537 afp gma news one,"(['EUROPA'], Location((51.0, 10.0, 0.0)))",en,0.111548,0.023714,0.698903,0.220076,0.145899,"['sadness', 0.698903]"
junmeromi,2017-07-15 17:57,in few days we shall know whether there is a final solution to marawi siege or is it a prolonged battle,"(['Dinaig'], Location((7.1919886, 124.183124419, 0.0)))",en,0.081594,0.579685,0.15951,0.120303,0.006096,"['joy', 0.579685]"
KRTpro_News,2017-07-15 17:45,marawi marawi siege to go beyond 60 days krtpro news,"(['London'], Location((51.5073219, -0.1276474, 0.0)))",en,0.109313,0.260101,0.330484,0.228986,0.248409,"['sadness', 0.330484]"
disasters_ph,2017-07-15 17:32,78 evac centers shelter 3982 displaced families from marawi  philippine information agency,,en,0.075115,0.228331,0.294253,0.119546,0.029057,"['sadness', 0.294253]"
PTVisMin,2017-07-15 17:18,the fantastic four of 6th sr posed for photo after their very close encounter with the maute terrorists in marawi  via eunice samonte,,en,0.072394,0.509012,0.218071,0.213167,0.093031,"['joy', 0.509012]"
