TheManilaTimes,2017-07-29 23:56,govt troops in marawi welcome unexpected visitor,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.029482,0.396586,0.245182,0.027693,0.028819,"['joy', 0.396586]"
Wenchie318,2017-07-29 23:47,us donates more counterterror weapons for marawi troops,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.163793,0.191765,0.313692,0.302438,0.052405,"['sadness', 0.313692]"
PHLNewsOnline,2017-07-29 23:45,rappler opium of the people in marawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.262262,0.076053,0.342178,0.031284,0.573661,"['disgust', 0.573661]"
Visayanbizpost,2017-07-29 23:29,pacquiao visits troops in marawi  rappler,"(['Ormoc', ' Philippines'], Location((11.0094099, 124.6075767, 0.0)))",en,0.042829,0.211526,0.083472,0.081948,0.098586,"['joy', 0.211526]"
madctarroza,2017-07-29 23:24,may benefit gig for marawi sa checkpoint rock bar sa bf idk until what time details on their ig teamcheckpoint events southsnippets,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.0135,0.414459,0.373707,0.083122,0.109356,"['joy', 0.414459]"
nppaimages,2017-07-29 23:20,senator emmanuel paquiao the first among the incumbent senators to visit the marawi war zone lifts the spirits,"(['Makati City', ' Philippines'], Location((14.5591272, 121.0202094, 0.0)))",en,0.03941,0.549149,0.212827,0.208197,0.013241,"['joy', 0.549149]"
ArtSamLee,2017-07-29 23:13,rideph ridephtvwithjaytaruc club200 riders marawi soldiers,"(['paranaque', ' philippines'], Location((14.5007016, 120.9915488, 0.0)))",en,0.081297,0.108216,0.209548,0.314187,0.112287,"['fear', 0.314187]"
jaysonregla,2017-07-29 23:02,if given a chance would you do a song and use your inspiring voice for the marawi victims and the trops askcoachlea,"(['naval', 'biliran philippines'], Location((42.1947793, 0.1518008, 0.0)))",en,0.039337,0.592667,0.307682,0.037163,0.032323,"['joy', 0.592667]"
RapplerSports,2017-07-29 23:01,pacquiao sought to boost the morale of battleweary government troops when he paid them a visit in marawi city,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.070971,0.56716,0.073262,0.040596,0.19113,"['joy', 0.56716]"
BieberManila,2017-07-29 22:41,support support support 100 of the proceeds will be given to super cj  the victims of marawi bbphxpurposetourshirthttps,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.288941,0.070646,0.209443,0.014626,0.295927,"['disgust', 0.295927]"
gmanews,2017-07-29 22:41,kobe paras in every game we pray for soldiers in marawi city d,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.074334,0.07552,0.385062,0.436959,0.23822,"['fear', 0.436959]"
GuyTolentino,2017-07-29 22:25,heres a take by an independent writer inside marawi itself,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.215621,0.190438,0.219157,0.038812,0.068523,"['sadness', 0.219157]"
msnph,2017-07-29 22:18,us delivers weapons for paf amid marawi siege,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.254211,0.102971,0.450462,0.198029,0.041405,"['sadness', 0.450462]"
bugsybites,2017-07-29 22:05,one year 1300 ejks over 50pesos to 1 usd war in marawi china in west philippines seas trolls and bots,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.229267,0.063938,0.661006,0.041884,0.18892,"['sadness', 0.661006]"
tjbrowndiver,2017-07-29 22:02,heres a great video on fb a philippine contact posted little searching dreitoledo has real news about marawi,"(['Angeles City', ' Philippines'], Location((7.1221824, 125.6453029, 0.0)))",en,0.058019,0.571629,0.157121,0.139422,0.161066,"['joy', 0.571629]"
PIADesk,2017-07-29 22:00,women in marawi clash difficult times for pregnant mother mindanaohour,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.148092,0.050673,0.649477,0.135047,0.28043,"['sadness', 0.649477]"
cebugovph,2017-07-29 21:53,in photos the cebu provincial governement gives financial assistance to marawi city in behalf of governor u,"(['Cebu', ' Philippines'], Location((10.45, 123.84, 0.0)))",en,0.03461,0.257605,0.116903,0.016037,0.052823,"['joy', 0.257605]"
itsmeviceganda,2017-07-29 21:44,jake zyrus xian lim to perform at marawi benefit concert,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.031063,0.593032,0.037592,0.056564,0.079562,"['joy', 0.593032]"
mpacquiaonews,2017-07-29 21:27,manny pacquiao visits troops in philippine warzone of marawi  the straits times,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.052334,0.276142,0.172405,0.062711,0.148649,"['joy', 0.276142]"
DanSantos8,2017-07-29 21:22,more donations from the usa for marawi munitions and weapons,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.26165,0.101361,0.414325,0.346314,0.077572,"['sadness', 0.414325]"
kneeyah30,2017-07-29 21:20,even my non muslim colleagues and students prefer to stay in marawi than in iligan due to its one of a kind weather,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.324564,0.090708,0.403608,0.088067,0.264291,"['sadness', 0.403608]"
feuywca,2017-07-29 21:14,ywca officers helped to repack goods for marawi victims want to be involved in our activities click this,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.176317,0.204271,0.278571,0.048595,0.265552,"['sadness', 0.278571]"
plong045,2017-07-29 21:13,senator pacquiao visits troops in marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.050033,0.199197,0.113427,0.084658,0.10141,"['joy', 0.199197]"
