ford_global,2017-07-23 23:59,lets unite for marawi  save the date 862017 with ,,en,0.09844,0.258214,0.093693,0.035998,0.137754,"['joy', 0.258214]"
Marawi_01,2017-07-23 23:58,bmott so youu,,en,0.08686,0.174219,0.151545,0.093654,0.072945,"['joy', 0.174219]"
Milatrud11,2017-07-23 23:57,2 ipac report marawi,,en,0.0908,0.021661,0.114979,0.095012,0.075085,"['sadness', 0.114979]"
bdsaguing,2017-07-23 23:56,im from marawi city,"(['Rome', ' Italy'], Location((34.257038, -85.1646726, 0.0)))",en,0.051394,0.216157,0.175201,0.061141,0.050338,"['joy', 0.216157]"
trumpathon,2017-07-23 23:52,breaking news philippines  july 21,,en,0.141393,0.031121,0.63237,0.287221,0.130341,"['sadness', 0.63237]"
tasniembm,2017-07-23 23:49,those ppl who made fun of samira gutocs speech at the congress,"(['CEB'], Location((-20.2455188, 57.4881744222, 0.0)))",en,0.12084,0.656538,0.103467,0.013822,0.189364,"['joy', 0.656538]"
Milatrud11,2017-07-23 23:47,ipac reportrecruitment on telegram,,en,0.08686,0.174219,0.151545,0.093654,0.072945,"['joy', 0.174219]"
jerichorayel,2017-07-23 23:45,cc ml in marawi https tatus889149099450146816 ,"(['Antarctica'], Location((-82.1081822, 34.37824, 0.0)))",en,0.017878,0.020284,0.121097,0.058165,0.285037,"['disgust', 0.285037]"
jerichorayel,2017-07-23 23:45,i pray that this martial law will solve the problem in marawi  pag hindi,"(['Antarctica'], Location((-82.1081822, 34.37824, 0.0)))",en,0.261811,0.160136,0.275798,0.412771,0.100956,"['fear', 0.412771]"
Boyband_PH,2017-07-23 23:43,buy your tickets online now at http witix  proceeds will be for the benefit of those afflicted by the conflict in marawi ,,en,0.031167,0.138953,0.351037,0.061597,0.4022,"['disgust', 0.4022]"
monsplp,2017-07-23 23:38,the star online marawi standoff enters third month,"(['National Capital Region', ' Republic of the Philippines'], Location((14.5736108, 121.0329706, 0.0)))",en,0.042739,0.352111,0.452179,0.116512,0.075454,"['sadness', 0.452179]"
sallypernito,2017-07-23 23:37,so sad with d increasing casualties in marawi and clashes in other parts of the country our prayers to the troops n for that elusive peace,,en,0.026008,0.060588,0.885828,0.124853,0.007507,"['sadness', 0.885828]"
CarmiLu68,2017-07-23 23:34,forget about the mautes,,en,0.213508,0.012002,0.656594,0.286355,0.158525,"['sadness', 0.656594]"
Boyband_PH,2017-07-23 23:33,super fans  bandmates,,en,0.036849,0.595959,0.139232,0.005317,0.272642,"['joy', 0.595959]"
AkoSiAys,2017-07-23 23:32,harrowing images of marawi  https status88936794183548929 ,"(['Bonn', ' Germany'], Location((50.735851, 7.10066, 0.0)))",en,0.015541,0.056808,0.12797,0.066784,0.857969,"['disgust', 0.857969]"
Pulitika2010,2017-07-23 23:27,these are the people most affected by the clashes in marawi and martial law and yet,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.228302,0.027518,0.556212,0.172141,0.171856,"['sadness', 0.556212]"
JhoannaLynnCruz,2017-07-23 23:25,best reason to watch dunkirk to find out what an airstrike does in marawi ,"(['Davao City', ' Philippines'], Location((7.22650725, 125.454887691, 0.0)))",en,0.020301,0.87941,0.035929,0.056628,0.009123,"['joy', 0.87941]"
Moore_Alex01,2017-07-23 23:23,under discussed aspect of abusayeff insurgency in marawi  broader philippines driving usduterte closer together through ct cooperation,"(['Washington', ' DC'], Location((38.8949549, -77.0366456, 0.0)))",en,0.09683,0.122995,0.04089,0.048188,0.072164,"['joy', 0.122995]"
