newspaperphcom,2017-07-27 23:47,0,0,GRABEH : KAKAPASOK NA BALITA BAGYONG GORIO LALONG LUMAKAS | MARAWI BINAHA DIN- PANOORIN,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,890599552310325248,https://twitter.com/newspaperphcom/status/890599552310325248
meu11,2017-07-27 23:46,0,0,&lsquo;UN 17-star-general&rsquo; nabbed at Marawi City checkpoint via gmanews,"(['philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,,890599313314676736,https://twitter.com/meu11/status/890599313314676736
eastwestEU,2017-07-27 23:43,1,2,"Filippine, l’assedio di Marawi ingrassa ISIS fabio_polesepic","(['Italia'], Location((42.6384261, 12.674297, 0.0)))",@,# # #,890598426966208512,https://twitter.com/eastwestEU/status/890598426966208512
BrilleBarrosa,2017-07-27 23:42,0,1,Magtigil ka may putushut pa tayo sa marawi,"(['Las Pinas City'], Location((-1.0917672, -80.8977939, 0.0)))",,,890598243951824897,https://twitter.com/BrilleBarrosa/status/890598243951824897
LatestOPM,2017-07-27 23:37,5,11,Awit Sa Marawi - Esang De Torres (Official Lyric Video) | AwitSaMarawi marawicity,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,# #,890597031944699904,https://twitter.com/LatestOPM/status/890597031944699904
Boyband_PH,2017-07-27 23:34,10,21,Buy your tickets online now at Proceeds will be for the benefit of those afflicted by the conflict in Marawi.,,,,890596314253213701,https://twitter.com/Boyband_PH/status/890596314253213701
losanezgill,2017-07-27 23:34,0,2,:suggest kayo kung san pwede me: basta ako g lang anywhere kahit sa marawi,"(['ph'], Location((12.44249325, 122.160395164, 0.0)))",,,890596175824396288,https://twitter.com/losanezgill/status/890596175824396288
iiCHOCOisMoi,2017-07-27 23:29,0,4,Watching a drone vid of Marawi. I can't believe what im seeing MarawiSiege PrayForMarawi BangonMarawi,,,# # #,890594952060612608,https://twitter.com/iiCHOCOisMoi/status/890594952060612608
BridgetxCathrne,2017-07-27 23:28,0,3,Ang dami na talagang malalandi ngayon e. Sarap niyong ipatapon sa marawi,"(['Tolentino'], Location((43.2087546, 13.2844096, 0.0)))",,,890594858716483584,https://twitter.com/BridgetxCathrne/status/890594858716483584
saksi,2017-07-27 23:28,0,2,Isang lalaking nagpakilalang 17-star general ang inaresto sa checkpoint sa Marawi.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,890594759214903297,https://twitter.com/saksi/status/890594759214903297
jovelyn_n,2017-07-27 23:27,0,0,"Serye ng sunog sa mga 'cleared' na bahay sa Marawi, iimbestigahan",,,,890594599433064449,https://twitter.com/jovelyn_n/status/890594599433064449
mayiiilsssss,2017-07-27 23:27,0,0,Punta ka marawi. Reklamo ka doon,"(['General Santos City'], Location((6.1265778, 125.1985022, 0.0)))",,,890594431383986176,https://twitter.com/mayiiilsssss/status/890594431383986176
keiicons,2017-07-27 23:26,0,1,take me back to the good old marawi,"(['New York', ' USA'], Location((40.7306458, -73.9866136, 0.0)))",,,890594184683323394,https://twitter.com/keiicons/status/890594184683323394
haiyanaire,2017-07-27 23:25,0,0,SILA NG NAGBUWIS NG BUHAY SILA PA ANG NAGPASALAMAT | SUNDALO SA MARAWI |... via YouTube,"(['Cebu City'], Location((10.3090298, 123.8930839, 0.0)))",@,,890594054420914176,https://twitter.com/haiyanaire/status/890594054420914176
ZaldyDizonXXX,2017-07-27 23:22,0,1,weh kaayo ni si auntie thus nang-block man lagi ka nako adtung martial law ug marawi clash para di mahimantayan imo mga post?,"(['Cebu City'], Location((10.3090298, 123.8930839, 0.0)))",,,890593364462125056,https://twitter.com/ZaldyDizonXXX/status/890593364462125056
ErikaFaithPark,2017-07-27 23:22,0,0,Pray for Marawi and Manila,"(['General santos city'], Location((6.1265778, 125.1985022, 0.0)))",,,890593211797749761,https://twitter.com/ErikaFaithPark/status/890593211797749761
gmanews,2017-07-27 23:21,9,19,‘UN 17-star-general’ nabbed at Marawi City checkpoint,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,890592868108308480,https://twitter.com/gmanews/status/890592868108308480
MtmfA6fwwSFbexF,2017-07-27 23:20,0,0,مش غيره ياقلبى .. انا اقصد التغير فى الحياه,,,,890592818816856064,https://twitter.com/MtmfA6fwwSFbexF/status/890592818816856064
pinoymag15,2017-07-27 23:20,0,0,"grabe, kahit nasugatan na ang ating mga sundalo, gusto pa rin nilang bumalik sa Marawi para makipagbakbakan sa...",,,,890592804438761472,https://twitter.com/pinoymag15/status/890592804438761472
micoojmr,2017-07-27 23:19,0,1,pag nag ganto ako baka palipatin ako sa marawi HAHAHAHAHAHAHA,,,,890592489844858883,https://twitter.com/micoojmr/status/890592489844858883
iAmMargaritaA,2017-07-27 23:14,0,0,Peace and Love PrayForMarawi,"(['Manila City', ' National Capital'], Location((14.5906216, 120.9799696, 0.0)))",,#,890591185755979776,https://twitter.com/iAmMargaritaA/status/890591185755979776
