stygianirone,2017-07-13 23:58,0,0,"Good evening, ma'am! Reflection po sa Dispatches from Marawi hehe.",,@DiNaProfMSSyj,,885528895797186560,https://twitter.com/stygianirone/status/885528895797186560,fil
ReportersNBGMA7,2017-07-13 23:53,0,1,Narito ang istura ng Marawi City bago ang bakbakan.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885527562264367104,https://twitter.com/ReportersNBGMA7/status/885527562264367104,fil
ReportersNBGMA7,2017-07-13 23:49,0,1,"Sa ngayon, 4 na lang sa 96 na barangay ng Marawi City ang hindi pa nababawi ng pwersa ng gobyerno. ReportersNotebook","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,885526601852518400,https://twitter.com/ReportersNBGMA7/status/885526601852518400,fil
EgypaB,2017-07-13 23:48,0,1,Pag hindi na ma okay ang marawi na ma no choice na talaga ako. Alangan naman mag stop mag school,"(['Para\xc3\xb1aque', ' PH'], Location((14.5007016, 120.9915488, 0.0)))",,,885526361112104965,https://twitter.com/EgypaB/status/885526361112104965,fil
kaisxz,2017-07-13 23:47,0,1,peace in Marawi na btaw :(,"(['Cebu', ' PH \xc2\xa0\xf0\x9f\x87\xb5\xf0\x9f\x87\xad'], Location((10.45, 123.84, 0.0)))",,,885526062909628420,https://twitter.com/kaisxz/status/885526062909628420,fil
ReportersNBGMA7,2017-07-13 23:44,2,3,Halos dalawang buwan na mula nang magsimula ang bakbakan sa Marawi City. ReportersNotebook,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,885525340784779268,https://twitter.com/ReportersNBGMA7/status/885525340784779268,fil
AppleOreta,2017-07-13 23:44,0,1,Ready to die for Marawi? Auhm... nagpunta na po ba kayo sa Marawi? Di ba laging di natutuloy dahil 'masama ang... 2,,,,885525247151230976,https://twitter.com/AppleOreta/status/885525247151230976,fil
michael_libres,2017-07-13 23:43,0,0,kaylangan na ata aq sa marawi renobait — playing mongiloid,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,885525008625172480,https://twitter.com/michael_libres/status/885525008625172480,fil
KenMorgia,2017-07-13 23:40,0,1,labanan sa marawi = pakals ..hahahahahah,,,,885524442792706048,https://twitter.com/KenMorgia/status/885524442792706048,fil
rocketpantig,2017-07-13 23:39,0,0,Kayu poh maam anung naitulong ninyo sa marawi??,,,,885524089862987776,https://twitter.com/rocketpantig/status/885524089862987776,fil
KenMorgia,2017-07-13 23:37,0,2,labanan sa marawi ugma!!,,,,885523689759850496,https://twitter.com/KenMorgia/status/885523689759850496,fil
lhizzy71,2017-07-13 23:36,0,0,Wag naman! Sayang ang marawi,"(['Glendale', ' CA'], Location((34.142498, -118.248596, 0.0)))",,,885523383525416960,https://twitter.com/lhizzy71/status/885523383525416960,fil
bandila,2017-07-13 23:31,0,3,"Mahigit sa 200 bata mula Marawi, dumadaan ngayon sa isang healing after trauma services"" sa mga public schools sa Maynila""","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,885522034922356737,https://twitter.com/bandila/status/885522034922356737,fil
detakco,2017-07-13 23:27,0,2,"Antisipasi Teroris Marawi, Angkatan Laut RI-AL Filipina Gelar Latihan -","(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,885521136938647554,https://twitter.com/detakco/status/885521136938647554,id
Jrhrmmrqz,2017-07-13 23:27,0,0,Dalawang beses na sumasablay yung air strike sa marawi. Mech failure na naman ba? Kulang sa practice???,,,,885520990309974016,https://twitter.com/Jrhrmmrqz/status/885520990309974016,fil
