SaladinAlDronni,2017-07-18 23:51,7,1,"['amaq', 'claims', 'filipino', 'branch', 'killed', '10', 'soldiers', 'marawi', 'today']",,,,887339120875458562,https://twitter.com/SaladinAlDronni/status/887339120875458562,en
ThisWeekABC,2017-07-18 23:46,1,0,"['philippine', 'pres', 'duterte', 'wants', 'extend', 'martial', 'law', 'end', 'year', 'quell', 'rebellion', 'marawi', 'u']",,,,887337721672466432,https://twitter.com/ThisWeekABC/status/887337721672466432,en
TerrorEvents,2017-07-18 23:41,16,2,"['philippines', 'marawi', 'claims', '10', 'filipino', 'soldiers', 'killed', 'clashes', 'lilod', 'madaya', 'u2']",,,# # #,887336465990070273,https://twitter.com/TerrorEvents/status/887336465990070273,en
PHShowbizNow,2017-07-18 23:35,0,0,"['gerald', 'anderson', 'visits', 'wounded', 'soldiers', 'marawi', 'clashes', 'via', 'push']","(['\xc3\x9cT: 14.5339204', '121.0738461'], Location((47.8892975, -94.2631618, 0.0)))",,,887335086810648577,https://twitter.com/PHShowbizNow/status/887335086810648577,en
kingoftalk,2017-07-18 23:30,1,3,"['gerald', 'anderson', 'visits', 'wounded', 'soldiers', 'marawi', 'clashes']","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,887333703126593536,https://twitter.com/kingoftalk/status/887333703126593536,en
ABCPolitics,2017-07-18 23:29,6,4,"['philippine', 'pres', 'duterte', 'wants', 'extend', 'martial', 'law', 'end', 'year', 'quell', 'rebellion', 'marawi']","(['Washington', ' DC'], Location((38.8949549, -77.0366456, 0.0)))",,,887333601444081665,https://twitter.com/ABCPolitics/status/887333601444081665,en
gmanews,2017-07-18 23:21,6,16,"['film', 'showing', 'marawi', 'devastation', 'drives', 'evacuees', 'tears']","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,887331382418055168,https://twitter.com/gmanews/status/887331382418055168,en
Eastasianewsnet,2017-07-18 23:20,0,0,"['new', 'post', 'duterte', 'seeks', 'extend', 'martial', 'law', 'marawi', 'militants', 'hold', 'ground']","(['\xe6\x97\xa5\xe6\x9c\xac'], Location((36.5748441, 139.2394179, 0.0)))",,,887331146521956352,https://twitter.com/Eastasianewsnet/status/887331146521956352,en
northbound_ph,2017-07-18 23:17,0,0,"['enemy', 'snipers', 'biggest', 'threat', 'marawi', 'city', 'fighting', 'via', 'northboundph']",,@,,887330512351633408,https://twitter.com/northbound_ph/status/887330512351633408,en
johndwoodward,2017-07-18 23:16,1,0,"['duterte', 'asks', 'congress', 'extend', 'martial', 'law', 'mindanao', 'thru', '2017', 'islamic', 'militants', 'entrench', 'city', 'marawi']","(['Boston', ' MA'], Location((42.3604823, -71.0595678, 0.0)))",,#,887330212362547201,https://twitter.com/johndwoodward/status/887330212362547201,en
