roro1199551,2017-07-23 07:59,0,0,صدقتي,"(['Iraq'], Location((33.0955793, 44.1749775, 0.0)))",,,888911510734557184,https://twitter.com/roro1199551/status/888911510734557184
roro1199551,2017-07-23 07:56,0,0,حقك,"(['Iraq'], Location((33.0955793, 44.1749775, 0.0)))",,,888910666463141888,https://twitter.com/roro1199551/status/888910666463141888
animoirving,2017-07-23 07:54,0,1,Good Morning Pilipinas!!! Laban Marawi!!!,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,888910222953074688,https://twitter.com/animoirving/status/888910222953074688
VALSHOOTER72,2017-07-23 07:54,0,0,61 Days after Marawi clash continue. pic.twitter.com/3BfboG5jI9,"(['MANILA'], Location((14.5906216, 120.9799696, 0.0)))",,,888910167714054144,https://twitter.com/VALSHOOTER72/status/888910167714054144
HelloAkoAlej,2017-07-23 07:54,0,0,"Hi marawi pips, paki dakip na to please! # yokona pic.twitter.com/VcxzE0kr9y","(['Navotas City', ' Manila'], Location((14.6569825, 120.9478036, 0.0)))",,#,888910049350828033,https://twitter.com/HelloAkoAlej/status/888910049350828033
IrishManlapaz,2017-07-23 07:52,0,0,Apela ng taga-Marawi sa Kongreso: 'Kumustahin niyo naman kami' http://fb.me/JJXpOkS6,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,888909585653743616,https://twitter.com/IrishManlapaz/status/888909585653743616
inquirerdotnet,2017-07-23 07:50,19,23,"‘I’m from Marawi City, please ask us, what do we feel?’ http://ebx.sh/2uTUHdo pic.twitter.com/JUzxLFBvaz","(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,,888909106223906816,https://twitter.com/inquirerdotnet/status/888909106223906816
VeneeR58,2017-07-23 07:49,0,2,What exactly is the tasks for this female person in Marawi? Why is she almost always w/ Duterte like Bong Go? May gayuma?,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,888908880289218560,https://twitter.com/VeneeR58/status/888908880289218560
Salacnity,2017-07-23 07:48,0,1,Tara marawi,"(['carla'], Location((43.9242649, 2.0429299, 0.0)))",,,888908636927414272,https://twitter.com/Salacnity/status/888908636927414272
DeeDiaz23,2017-07-23 07:48,0,0,Marawi resident makes emotional plea vs martial law abuses http://fb.me/8WKU0AVGT,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,888908586046201858,https://twitter.com/DeeDiaz23/status/888908586046201858
homeboytem,2017-07-23 07:46,1,3,"Tanggapin natin sa sarili natin na di rin natin ipagtatanggol ang Marawi kung tayo tayo lang."" Sobrang bobo naman.""",,,,888908217471741952,https://twitter.com/homeboytem/status/888908217471741952
PhilDefNews,2017-07-23 07:40,1,1,Cebu Pacific now airlifting WIA troops from CdO and also carrying Relief Goods for Marawi residents for free. http://www.pna.gov.ph/articles/1002232 …,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,888906737184423941,https://twitter.com/PhilDefNews/status/888906737184423941
bubbly929,2017-07-23 07:40,0,0,Meron na nman kayong binayaran na taga marawi kuno! Halatang halata ang galawan nyo mga wlang kwenatng senador!,,,,888906704083050496,https://twitter.com/bubbly929/status/888906704083050496
EmongAirhead,2017-07-23 07:40,0,0,Philippines honors slain troops in Marawi on Independence Day https://www.youtube.com/watch?v=r-TVTfv8o9g&feature=share …,"(['Antipolo City', ' Philippines'], Location((14.5870262, 121.1758611, 0.0)))",,,888906680477433857,https://twitter.com/EmongAirhead/status/888906680477433857
rvdarkhorse93,2017-07-23 07:40,0,2,"Been to cities nearby Marawi City recently, people there feel safe when there is ML. Lots of Violent"" Muslims are afraid of soldiers""","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,888906604107649026,https://twitter.com/rvdarkhorse93/status/888906604107649026
