IanOxfam,2017-06-01 23:59,0,0,"OPhilippines: since 23 May but up to 90% of the 201,000 residents of Marawi are estimated to have fled","(['Oxford', ' UK'], Location((51.7520131, -1.2578499, 0.0)))",,#container,870308876234747904,https://twitter.com/IanOxfam/status/870308876234747904,en
GlobalCtr,2017-06-01 23:58,1,0,FTFs fighting w/ ISIS linked militants against govt security forces in Marawi Philippines: tom_allard reutershttp://,,@ @,# # # #,870308658885820416,https://twitter.com/GlobalCtr/status/870308658885820416,en
antonbaylon,2017-06-01 23:58,0,0,"gmanews Double negative: Marawi City still not unsafe for civilians"" ""","(['Tokyo', ' Japan'], Location((34.6968642, 139.4049033, 0.0)))",@,,870308636458758144,https://twitter.com/antonbaylon/status/870308636458758144,en
ilovephilippin3,2017-06-01 23:57,0,0,Marawi City still not unsafe for civilians,,,,870308232660635648,https://twitter.com/ilovephilippin3/status/870308232660635648,en
itscarlosmcoy,2017-06-01 23:56,0,0,Marawi documentary by Reporter's Notebook,,,,870308088363876356,https://twitter.com/itscarlosmcoy/status/870308088363876356,en
prpnews,2017-06-01 23:55,0,0,Philippines: Hundreds of civilians threatened by fighting in Marawi City,,,,870307718623510529,https://twitter.com/prpnews/status/870307718623510529,en
OccupySchagen,2017-06-01 23:54,0,0,Philippines' Troops Push against ISIL in Marawi City,"(['Schagen The Netherlands'], Location((52.784346, 4.78914914517, 0.0)))",,,870307609647165441,https://twitter.com/OccupySchagen/status/870307609647165441,en
griaaa,2017-06-01 23:53,0,0,"Wonder Woman, the character, was great; the movie was boring. Tho I watched it after Ang Araw sa Likod Mo & amidst the war in Marawi.",,,,870307201557987328,https://twitter.com/griaaa/status/870307201557987328,en
MlaysiaUpdate,2017-06-01 23:52,0,0,Identities of three Malaysians killed in Marawi still unconfirmed,"(['Kuala Lumpur City'], Location((7.0385065, 125.5072204, 0.0)))",,,870307110340448257,https://twitter.com/MlaysiaUpdate/status/870307110340448257,en
latestnigerian,2017-06-01 23:52,0,0,Philippines soldiers killed in 'friendly fire' air strike in Marawi,,,,870306962423951360,https://twitter.com/latestnigerian/status/870306962423951360,en
ViaSabuero,2017-06-01 23:52,1,0,PRAY FOR MARAWI,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,870306957894197252,https://twitter.com/ViaSabuero/status/870306957894197252,en
brianblack_,2017-06-01 23:51,0,1,don't bomb cities :( StandWithMarawi PrayForMarawi,,,# #,870306755007324160,https://twitter.com/brianblack_/status/870306755007324160,en
cebudailynews,2017-06-01 23:50,0,2,DSWD delivers relief supplies to Marawi,"(['NRA', ' Cebu City', ' Philippines'], Location((39.369933, -120.233522, 0.0)))",,,870306506557841409,https://twitter.com/cebudailynews/status/870306506557841409,en
zenszei,2017-06-01 23:49,9,21,Calling MartialLawInMindanao as cowardly while you're comfortably hiding in London is a direct insult to our troops especially in Marawi.,,,#,870306395052163074,https://twitter.com/zenszei/status/870306395052163074,en
dougcarl88181,2017-06-01 23:49,0,0,Philippines: Foreign Fighters Among 500 Militants in Marawi Siege via thedailybeast,"(['Phoenix', ' AZ'], Location((33.4485866, -112.0773456, 0.0)))",@,,870306365968744448,https://twitter.com/dougcarl88181/status/870306365968744448,en
nickeebutlangan,2017-06-01 23:49,0,0,"Attack helicopters fire rockets into parts of Marawi, a Muslim city in the south of the mainly Catholic... U",,,,870306212327415808,https://twitter.com/nickeebutlangan/status/870306212327415808,en
MsGjhie,2017-06-01 23:48,0,0,Psalms 91. PrayForMarawi PrayforIligan 0,"(['Iligan', ' Philippines'], Location((8.2281556, 124.2411508, 0.0)))",,# # #,870306162847002624,https://twitter.com/MsGjhie/status/870306162847002624,en
melanquejos,2017-06-01 23:48,0,2,"Clearly, the VP demands accountability but despise being accountable. Asking donations for Marawi IDPs looks like she's looking for work.","(['Cagayan de Oro City'], Location((8.42980265, 124.682410212, 0.0)))",,,870306036200034308,https://twitter.com/melanquejos/status/870306036200034308,en
alexnbeltran,2017-06-01 23:47,0,0,Watch the Reporter's Notebook for more about Marawi City,,,,870305877307281410,https://twitter.com/alexnbeltran/status/870305877307281410,en
LateNightWatch,2017-06-01 23:46,1,0,"Christians Shot to Death in Attack on Marawi, Philippines |",,,,870305665872482304,https://twitter.com/LateNightWatch/status/870305665872482304,en
ASabarat,2017-06-01 23:46,0,0,Friday Bukas in sha Allah PrayForMarawi,"(['Cebu City', ' Central Visayas'], Location((10.3090298, 123.8930839, 0.0)))",,#,870305502160441345,https://twitter.com/ASabarat/status/870305502160441345,en
IndraGabriel888,2017-06-01 23:46,0,3,"HEROES OF MARAWI Condolences to the families of SSgt Villanueva, Sgt Apao, Sgt Throlen Recto Lago and Pfc...","(['Davao Region', ' Republic of the Philippines'], Location((7.0645241, 125.6084143, 0.0)))",,,870305476277403648,https://twitter.com/IndraGabriel888/status/870305476277403648,en
SiAnsherina,2017-06-01 23:44,0,0,"More than 200,000 displaced including older persons,children, and persons with disabilities. Help our relief mission. ACCORD_Inc marawi","(['Metro Manila'], Location((14.5736108, 121.0329706, 0.0)))",@,#,870305165026271232,https://twitter.com/SiAnsherina/status/870305165026271232,en
MIMerstweet,2017-06-01 23:44,0,0,Soldiers killed in military air strike in Marawi,"(['Jakarta Capital Region'], Location((-6.1753942, 106.827183, 0.0)))",,,870304952576495616,https://twitter.com/MIMerstweet/status/870304952576495616,en
faithalghamdi,2017-06-01 23:43,0,1,Let us Pray! for Marawi & the whole Philippines,"(['kingdom of saudi arabia'], Location((-6.8638235, 39.2551949, 0.0)))",,# # #,870304856262811648,https://twitter.com/faithalghamdi/status/870304856262811648,en
lorylynduterte,2017-06-01 23:42,0,2,Condolences to the bereaved families of those victims of the friendly fire in Marawi. May you all rest in peace.,"(['PHILIPPINES'], Location((12.7503486, 122.7312101, 0.0)))",,,870304654533443584,https://twitter.com/lorylynduterte/status/870304654533443584,en
therussophile,2017-06-01 23:42,0,0,Philippine Air Force Mistakenly Bombed Government Troops In Marawi. 11 Killed -,"(['Moscow'], Location((46.7323875, -117.0001651, 0.0)))",,,870304540662394882,https://twitter.com/therussophile/status/870304540662394882,en
S_M_Hunter,2017-06-01 23:42,3,1,"Check out GCR2P's latest for more on crisis in Marawi & what MartialLaw could mean for drug war."" ""","(['New York', ' NY'], Location((40.7306458, -73.9866136, 0.0)))",@,# # #,870304499323338752,https://twitter.com/S_M_Hunter/status/870304499323338752,en
janezamar,2017-06-01 23:40,0,2,"My heart is breaking watching news about Marawi, losing the lives of these soldiers because of war.","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,870304164923940864,https://twitter.com/janezamar/status/870304164923940864,en
violetagloria,2017-06-01 23:40,0,0,"64 Tagakolu tribe members trapped in Marawi await return to Malita, Davao Occidental via mindanews2010",,@,,870304021029847045,https://twitter.com/violetagloria/status/870304021029847045,en
PhilippineStar,2017-06-01 23:40,1,2,3 Hapilon aides killed in Marawi encounter U,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,870303929325826048,https://twitter.com/PhilippineStar/status/870303929325826048,en
cebudailynews,2017-06-01 23:39,3,2,More Marawi City refugees arrive in Cebu City today,"(['NRA', ' Cebu City', ' Philippines'], Location((39.369933, -120.233522, 0.0)))",,,870303784081207296,https://twitter.com/cebudailynews/status/870303784081207296,en
mrPepsiLLas,2017-06-01 23:39,1,2,onces a friendly fire is not FRIENDLY PrayersForTheSoldiers PrayForMarawi,,,# #,870303762031583233,https://twitter.com/mrPepsiLLas/status/870303762031583233,en
violetagloria,2017-06-01 23:39,0,0,"Bakwits from Marawi: 140,155 residents or nearly 70% of total population via mindanews2010",,@,,870303713419599872,https://twitter.com/violetagloria/status/870303713419599872,en
teddyboylocsin,2017-06-01 23:38,0,1,Exactly because I already told of my meeting with UN counter terror experts before Marawi even happened. ISIS are those who act like ISIS.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,870303513863213057,https://twitter.com/teddyboylocsin/status/870303513863213057,en
coco_rinne,2017-06-01 23:37,0,0,Has anyone wondered if the Americans were still here to help our PH military... Would Marawi have suffered this much? PrayForMarawi,,,#,870303292739289089,https://twitter.com/coco_rinne/status/870303292739289089,en
violetagloria,2017-06-01 23:36,0,0,"19 civilians killed on record as of May 30.""| Death toll in Marawi clashes: 128 as of May 30 via mindanews2010""",,@,,870303081669328896,https://twitter.com/violetagloria/status/870303081669328896,en
hunnyjodi31,2017-06-01 23:36,0,0,inquirerdotnet Historic Marawi ravaged,,@,,870303002543890432,https://twitter.com/hunnyjodi31/status/870303002543890432,en
rugliabeoulve2,2017-06-01 23:36,0,0,"This just came in, ISIS have reinforced their forces at Marawi City with 400 strong troops.",,,,870302940635865089,https://twitter.com/rugliabeoulve2/status/870302940635865089,en
SyLicoNgaAko,2017-06-01 23:35,0,10,"Just in: Duterte now claims that it was no longer Maute, It was ISIS responsible for the Marawi siege. Now, we have to expect the worst!",,,,870302886567198721,https://twitter.com/SyLicoNgaAko/status/870302886567198721,en
jedqcepe,2017-06-01 23:34,0,0,It's more likely tht Maute fighters in Marawi have been reinforced by other Muslim militant rebel groups. Du30 can't win this kind of game.,,,,870302624611827712,https://twitter.com/jedqcepe/status/870302624611827712,en
davidcambay,2017-06-01 23:34,3,0,SC: Marawi courts to hold temporary office in Iligan City ALDUB98thWeeksary MLFTSHugotNiSteffi SHWooHee,"(['San Pedro', ' Calabarzon'], Location((-24.1602794, -56.713749623, 0.0)))",,# # #,870302573630152704,https://twitter.com/davidcambay/status/870302573630152704,en
davidcambay,2017-06-01 23:34,3,0,"Military airstrikes were killed 11 soldiers in Marawi City, official says ALDUB98thWeeksary MLFTSHugotNiSteffi SHWooHee","(['San Pedro', ' Calabarzon'], Location((-24.1602794, -56.713749623, 0.0)))",,# # #,870302458584498176,https://twitter.com/davidcambay/status/870302458584498176,en
armybangx,2017-06-01 23:33,0,0,11 armies just passed away by friendly fire in Marawi. Omyghad. Please bless their souls.,"(['BTS'], Location((3.0716592, 101.7110437, 0.0)))",,,870302344998641664,https://twitter.com/armybangx/status/870302344998641664,en
