PandaBJVIP,2017-06-06 23:59,0,0,Thank you po. # PrayforMarawi :) https://twitter.com/jericteng/status/872120090090586112 …,,,#,872120725091385345,https://twitter.com/PandaBJVIP/status/872120725091385345
jericteng,2017-06-06 23:56,31,155,Just saw some photos of the current situation in Marawi. Devastating! Hope the fight ends soon # PrayForMarawi,,,#,872120090090586112,https://twitter.com/jericteng/status/872120090090586112
estevann14,2017-06-06 23:56,0,1,marawi for the win.,"(['National Capital Region'], Location((14.5736108, 121.0329706, 0.0)))",,,872120075951775745,https://twitter.com/estevann14/status/872120075951775745
GeneralSurJOHN,2017-06-06 23:56,0,0,- Bangkok - New York - Manchester - Marawi - Manila (Resort's World) - London and now this?! what's happenin' in... http://fb.me/2AAJfJ3ea,"(['Taguig City', ' Philippines'], Location((14.5266254, 121.074403, 0.0)))",,,872120024055656448,https://twitter.com/GeneralSurJOHN/status/872120024055656448
KimIndar,2017-06-06 23:56,1,2,# PrayForMarawi https://twitter.com/raffytima/status/872118411853127680 …,"(['Greenhills', ' San Juan', ' PH'], Location((39.268113, -84.5229999, 0.0)))",,#,872120011724214272,https://twitter.com/KimIndar/status/872120011724214272
gmanewsfacebook,2017-06-06 23:55,0,0,Marawi. Day 15 of the fight to drive out the ISIS-backed Maute Group from the only Islamic city in the country. |... http://fb.me/CQ3jVQKT,,,,872119765753405440,https://twitter.com/gmanewsfacebook/status/872119765753405440
Spiritual_Rise,2017-06-06 23:54,4,1,PHILIPPINES: AP Video of most wanted Islamic terrorist plotting attack on Marawi http://www.barenakedislam.com/2017/06/06/philippines-ap-video-of-most-wanted-islamic-terrorist-plotting-attack-on-marawi/ …,"(['Worldwide'], Location((53.4573434, -2.22698994022, 0.0)))",,,872119587256643584,https://twitter.com/Spiritual_Rise/status/872119587256643584
cnnphilippines,2017-06-06 23:53,8,4,New timetable for clearing operations in Marawi http://www.cnn.ph pic.twitter.com/LGHZ8hFBne,,,,872119275191914497,https://twitter.com/cnnphilippines/status/872119275191914497
JoyJoyclar,2017-06-06 23:53,0,3,I am sure that marawi's 79M money trail will also lead to d5. Damn that woman! So clever even while incarcerated!,,,,872119267763736576,https://twitter.com/JoyJoyclar/status/872119267763736576
ellie_uehara,2017-06-06 23:53,0,0,Sana may matira pa sa marawi,"(['Manila City'], Location((14.5906216, 120.9799696, 0.0)))",,,872119247639429120,https://twitter.com/ellie_uehara/status/872119247639429120
chariz_williams,2017-06-06 23:52,0,0,These two must be sent to Marawi,,,,872118990797230080,https://twitter.com/chariz_williams/status/872118990797230080
irishtresor,2017-06-06 23:52,0,1,ISIS thugs in the Philippines TORCH a Catholic Church in Marawi http://dailym.ai/2rIYzeQ  via @ MailOnline,,@,,872118958866018304,https://twitter.com/irishtresor/status/872118958866018304
lyrangm,2017-06-06 23:52,0,1,;___; # PrayForMarawi https://twitter.com/raffytima/status/872118411853127680 …,,,#,872118901026541568,https://twitter.com/lyrangm/status/872118901026541568
irishtresor,2017-06-06 23:51,0,1,ISIS thugs in the Philippines TORCH a Catholic Church in Marawi?? http://dailym.ai/2rIYzeQ  via @ MailOnline,,@,,872118882026258434,https://twitter.com/irishtresor/status/872118882026258434
gmanews,2017-06-06 23:51,8,21,Marawi. Day 15 of the fight to drive out the ISIS-backed Maute Group from the only Islamic city in the country. # PrayForMarawi | @ raffytimahttps://twitter.com/raffytima/status/872118411853127680 …,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,#,872118818692243456,https://twitter.com/gmanews/status/872118818692243456
FranMontgomery1,2017-06-06 23:51,0,0,PHILIPPINES: AP Video of most wanted Islamic terrorist plotting attack on Marawi http://www.barenakedislam.com/2017/06/06/philippines-ap-video-of-most-wanted-islamic-terrorist-plotting-attack-on-marawi/ … via @ barenakedislam,"(['Georgia', ' Magnolia Midlands!'], Location((32.3293809, -83.1137366, 0.0)))",@,,872118788128419840,https://twitter.com/FranMontgomery1/status/872118788128419840
DefeatSharia,2017-06-06 23:50,1,0,PHILIPPINES: AP Video of most wanted Islamic terrorist plotting attack on Marawi http://www.barenakedislam.com/2017/06/06/philippines-ap-video-of-most-wanted-islamic-terrorist-plotting-attack-on-marawi/ … via @ barenakedislam,"(['GLOBAL'], Location((43.7283874, -79.3491487932, 0.0)))",@,,872118556099522563,https://twitter.com/DefeatSharia/status/872118556099522563
NewsBossIndia,2017-06-06 23:50,0,0,Philippines: Militants in Marawi dug in for long siege.. http://indianexpress.com/article/world/philippines-militants-in-marawi-dug-in-for-long-siege-4690561/ …,,,,872118425128099840,https://twitter.com/NewsBossIndia/status/872118425128099840
raffytima,2017-06-06 23:50,55,66,Marawi. Day 15 of the fight to drive out the ISIS-backed Maute Group from the only Islamic city in the country. # PrayForMarawi pic.twitter.com/YOXk0d6O0U,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,#,872118411853127680,https://twitter.com/raffytima/status/872118411853127680
mannenNETbe,2017-06-06 23:50,0,0,Foto´s tonen ravage Marawi door IS ... gelezen via http://dlvr.it/PKCPyJ,"(['Antwerpen'], Location((51.2211097, 4.3997081, 0.0)))",,,872118407541305344,https://twitter.com/mannenNETbe/status/872118407541305344
Cyasanza,2017-06-06 23:48,0,0,dont me . i will gonna patapon you to marawi so that ISIS will bang bang you,"(['Iriga City', ' Bicol Region'], Location((14.6247436, 120.9961434, 0.0)))",,,872118127806488576,https://twitter.com/Cyasanza/status/872118127806488576
bloomer30,2017-06-06 23:47,0,1,Hahahha honey moon ni alejana at ni anthonette bes maka google nga saan sila mag honeymoons. Medyo magulo sa marawi ma dsiturbo sila,,,,872117722934530048,https://twitter.com/bloomer30/status/872117722934530048
sycipft,2017-06-06 23:47,0,0,At least 100 Maute members remain in Marawi&rsquo;s commercial district &ndash; AFP chief http://www.gmanetwork.com/news/news/nation/613466/at-least-100-maute-members-remain-in-marawi-s-commercial-district-afp-chief/story#sthash.T9tLI78a.uxfs … via @ gmanews,,@,#sthash,872117650436096006,https://twitter.com/sycipft/status/872117650436096006
sycipft,2017-06-06 23:46,0,0,At least 100 Maute members remain in Marawi&rsquo;s commercial district &ndash; AFP chief https://shar.es/1RiqdB  via @ gmanews,,@,,872117549244317697,https://twitter.com/sycipft/status/872117549244317697
JohnLester,2017-06-06 23:46,0,0,Philippines: Militants in Marawi dug in for long siege | The Indian Express https://pureheartsinternational.wordpress.com/2017/06/06/philippines-militants-in-marawi-dug-in-for-long-siege-the-indian-express/ …,,,,872117532689387521,https://twitter.com/JohnLester/status/872117532689387521
hindurupot,2017-06-06 23:46,0,0,"Checks recovered in # Marawi, issued by municipal govts, allegedly pay to cash, raises a lot of questions. LGUs funding Maute?","(['dulong silangan'], Location((14.71662985, 121.118403603, 0.0)))",,#,872117528251715584,https://twitter.com/hindurupot/status/872117528251715584
