diplomasicoffee,2017-06-22 23:58,0,0,Fahri Hamzah Ingatkan TNI Tidak Gegabah Langsung Gempur ISIS di Marawi lewat tribunmedan,,@,,877918809515999233,https://twitter.com/diplomasicoffee/status/877918809515999233
sm30212000,2017-06-22 23:58,0,0,"If you want to help us Rise for Marawi, join us in a meal packaging event on June 27, 2017 at the Taft Ballroom of","(['Fort Worth', ' TX'], Location((32.753177, -97.3327459, 0.0)))",,,877918796253614081,https://twitter.com/sm30212000/status/877918796253614081
bajuke27,2017-06-22 23:54,0,1,kaya ba sa marawi? kaso blanket daw gagamitin para ubos agad..lazy tactics! brainless..haha,"(['San francisco', ' California', ' usa'], Location((8.444585, 125.951249185, 0.0)))",,,877917661438427136,https://twitter.com/bajuke27/status/877917661438427136
CRobertRoxas,2017-06-22 23:54,0,1,"There are already a total number of 51,651 evacuees in 6 evacuation centers since the seige started in Marawi City. ReportersNotebook","(['Albay', ' Bicol', ' Philippines'], Location((13.216667, 123.55, 0.0)))",,#,877917633500205056,https://twitter.com/CRobertRoxas/status/877917633500205056
pinoynewsonline,2017-06-22 23:53,0,0,Maute send children to Marawi war More info: 2,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,877917411856588800,https://twitter.com/pinoynewsonline/status/877917411856588800
rapplerdotcom,2017-06-22 23:52,7,23,The Filipino soldiers in Marawi City had fun doodling on the wooden planks. MarawiClashhttp://,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,877917096172150784,https://twitter.com/rapplerdotcom/status/877917096172150784
makassar_tv,2017-06-22 23:51,0,0,Komitmen Indonesia Bantu Selesaikan Konflik di Marawi,"(['Makassar'], Location((-5.1342962, 119.4124282, 0.0)))",,,877917051431534592,https://twitter.com/makassar_tv/status/877917051431534592
Lyooname,2017-06-22 23:51,0,2,What to do to help Marawi victims // Study hard today and give justice to them someday,"(['Janiuay', ' Western Visayas'], Location((10.9491519, 122.5019543, 0.0)))",,,877917033676984320,https://twitter.com/Lyooname/status/877917033676984320
acn_int_es,2017-06-22 23:51,7,1,Oramos por la liberación del P. Chito Suganob y otros 15 cristianos secuestrados en Marawi Filipinas PrayForMarawi,"(['K\xc3\xb6nigstein im Taunus', ' Alemania'], Location((50.1818833, 8.465271, 0.0)))",,# #,877917015054446592,https://twitter.com/acn_int_es/status/877917015054446592
jdesignz,2017-06-22 23:51,0,0,"60-year-old crawls for over a day, crosses river to flee Marawi conflict zone",,,,877916948679360512,https://twitter.com/jdesignz/status/877916948679360512
CRobertRoxas,2017-06-22 23:50,0,1,"Kwento ng mga sibilyan, rescuers at sundalo sa IsangBuwangBakbakan sa Marawi. Tutok na sa ReportersNotebook","(['Albay', ' Bicol', ' Philippines'], Location((13.216667, 123.55, 0.0)))",,# #,877916636421832705,https://twitter.com/CRobertRoxas/status/877916636421832705
gmanews,2017-06-22 23:50,6,21,"60-year-old crawls for over a day, crosses river to flee Marawi conflict zone","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,877916590884347905,https://twitter.com/gmanews/status/877916590884347905
gmanewsfacebook,2017-06-22 23:49,0,0,"A 60-year-old man was able to escape the conflict zone"" in Marawi City after he crawled out from his hiding... 18""",,,,877916569967378432,https://twitter.com/gmanewsfacebook/status/877916569967378432
videoztrending,2017-06-22 23:47,0,0,"WATCH | Indonesian Pres. Joko Widodo, handang tumulong sa pagresolba ng karahasan sa Marawi City D",,,,877916051027218432,https://twitter.com/videoztrending/status/877916051027218432
PHLNewsOnline,2017-06-22 23:47,0,0,"[GMA News] 60-year-old crawls for over a day, crosses river to flee Marawi conflict zone","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,877915867761303552,https://twitter.com/PHLNewsOnline/status/877915867761303552
forevervanj,2017-06-22 23:46,0,0,"Sa mga lalaking mapanakit, sarap nyong padala sa marawi","(['Lungsod ng Olongapo', ' Rehiyon n'], Location((14.4326893, 121.0330268, 0.0)))",,,877915783086489600,https://twitter.com/forevervanj/status/877915783086489600
angkathy,2017-06-22 23:46,0,0,Stop Aerial Strikes and Carpet Bombings in Marawi City! WalkForMindanao LiftMartialLaw,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,# #,877915658209460224,https://twitter.com/angkathy/status/877915658209460224
annafelicia_,2017-06-22 23:44,0,0,"60-year-old crawls for over a day, crosses river to flee Marawi conflict zone via gmanews","(['Quezon City', ' National Capital Region'], Location((14.6509905, 121.0486155, 0.0)))",@,#sthash,877915277723226112,https://twitter.com/annafelicia_/status/877915277723226112
angkathy,2017-06-22 23:44,0,0,Stop Aerial Strikes and Carpet Bombings in Marawi City! WalkForMindanao LiftMartialLaw,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,# #,877915203958124548,https://twitter.com/angkathy/status/877915203958124548
ReportersNBGMA7,2017-06-22 23:43,0,0,Halos isang buwan na ang nakalipas mula nang magsimula ang bakbakan sa pagitan ng militar at ng Maute sa Marawi City. IsangBuwangBakbakan,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,877914922277109761,https://twitter.com/ReportersNBGMA7/status/877914922277109761
LOCALNEWSNgayon,2017-06-22 23:42,0,0,"60-year-old crawls for over a day, crosses river to flee Marawi conflict zone | Read: via GMA News","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,877914687265841153,https://twitter.com/LOCALNEWSNgayon/status/877914687265841153
_lxsnhj,2017-06-22 23:42,0,0,isang buwan na din pala simula nung umpisa ng gulo sa Marawi...,"(['Imus | PH'], Location((14.4021133, 120.932366655, 0.0)))",,,877914669612240897,https://twitter.com/_lxsnhj/status/877914669612240897
teddyboylocsin,2017-06-22 23:40,8,115,We need you in MARAWI.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,877914185480282112,https://twitter.com/teddyboylocsin/status/877914185480282112
DZMMTeleFeed,2017-06-22 23:40,0,0,CMC: 500 sibilyan pa ang naiipit sa conflict area sa Marawi,,,,877914074415280128,https://twitter.com/DZMMTeleFeed/status/877914074415280128
sketsanewscom,2017-06-22 23:37,1,1,Fahri Hamzah Ingatkan TNI Tidak Gegabah Langsung Gempur ISIS di Marawi,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,877913374922854402,https://twitter.com/sketsanewscom/status/877913374922854402
updatesmanila,2017-06-22 23:33,0,0,"41 Marawi evacuees crammed in a garage, sleeping in old trucks",,,,877912541447335936,https://twitter.com/updatesmanila/status/877912541447335936
dm_reads,2017-06-22 23:33,0,3,"Sa sobrang miss ko sa Marawi, feeling ko pati basura ng Marawi ay nami-miss ko! Haaaay.","(['MSU', ' Marawi City', ' Philippines'], Location((45.6639448, -111.076470877, 0.0)))",,,877912508660555776,https://twitter.com/dm_reads/status/877912508660555776
meriyennn1,2017-06-22 23:31,0,1,Thank you Globe for providing free calls and texts for our soldiers and residents in Marawi City. Huhu touchhearts,"(['Manila City', ' National Capital'], Location((14.5906216, 120.9799696, 0.0)))",,#,877911848011431936,https://twitter.com/meriyennn1/status/877911848011431936
juliaramora,2017-06-22 23:30,0,1,hearing and watching the news about the old citizens in marawi being rescued is breaking my heart :----(,,,,877911707888230400,https://twitter.com/juliaramora/status/877911707888230400
DZMMTeleFeed,2017-06-22 23:30,0,0,"NGCP, nagpaabot ng tulong sa mga bakwit sa Marawi",,,,877911559762317313,https://twitter.com/DZMMTeleFeed/status/877911559762317313
ANCALERTS,2017-06-22 23:30,4,1,Mission finds Marawi women scared of rape by soldiers; military questions report MarawiClashhttp://0,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,877911559472676865,https://twitter.com/ANCALERTS/status/877911559472676865
SuperNhelaaa,2017-06-22 23:28,0,1,Let's pray for them. Pray for Marawi.,"(['batangas | philippines'], Location((13.916453, 121.0864884, 0.0)))",,,877911154823053312,https://twitter.com/SuperNhelaaa/status/877911154823053312
thysz,2017-06-22 23:28,0,4,Pwede kayong mag hangout sa Marawi donation drive booth namin :),"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,877911081431126017,https://twitter.com/thysz/status/877911081431126017
KompasTV,2017-06-22 23:28,1,9,Komitmen Indonesia Bantu Selesaikan Konflik di Marawi cd,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,877911065979310080,https://twitter.com/KompasTV/status/877911065979310080
yshawesomeness,2017-06-22 23:27,0,0,Jusko nakakaawa naman yung mga matatandang naiipit sa gulo sa Marawi,"(['Hermosa', ' Central Luzon'], Location((41.928643, -87.7345019, 0.0)))",,,877911005820366848,https://twitter.com/yshawesomeness/status/877911005820366848
ilovephilippin3,2017-06-22 23:27,0,0,"41 Marawi evacuees crammed in a garage, sleeping in old trucks",,,,877910949415444480,https://twitter.com/ilovephilippin3/status/877910949415444480
sinsuatcasey,2017-06-22 23:27,0,5,kaawa msyado yung 2 senior citizens na nakuha from warzone Alhamdulillah pa rin mrmi pa sanang ma-save na people na naiwan pa sa marawi,"(['hk'], Location((22.350627, 114.1849161, 0.0)))",,,877910846764072962,https://twitter.com/sinsuatcasey/status/877910846764072962
blahblahbeb,2017-06-22 23:26,0,0,Busy pa interview bes ug pang daot unya ga giyera didtos Marawi ug luoy kaayo ang mga evacuess. Useless senator.,,,,877910730678218752,https://twitter.com/blahblahbeb/status/877910730678218752
dm_reads,2017-06-22 23:25,2,1,"This was my tweet last year. Little did I know, my heart would be breaking and I'd be crying for my own city after a year. PrayForMarawi","(['MSU', ' Marawi City', ' Philippines'], Location((45.6639448, -111.076470877, 0.0)))",,#,877910512490528770,https://twitter.com/dm_reads/status/877910512490528770
istanistics,2017-06-22 23:25,0,1,Please keep praying for our people in Marawi,"(['Quezon City'], Location((14.6509905, 121.0486155, 0.0)))",,,877910468479733762,https://twitter.com/istanistics/status/877910468479733762
erf_da,2017-06-22 23:25,0,1,"Watching d senior citizens hu were rescued in Marawi is making me cry now.They were trapped there 4 almost a month,they're hungry & tired.","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,877910319720308736,https://twitter.com/erf_da/status/877910319720308736
