JohnLester,2017-06-15 07:59,0,1,Day 24 of the Marawi Siege  https://pureheartsinternational.wordpress.com/2017/06/14/day-24-of-the-marawi-siege/ …,,,,875140750522146818,https://twitter.com/JohnLester/status/875140750522146818
makassar_tv,2017-06-15 07:59,0,0,"Maute, Pimpinan Penyerangan Marawi Pernah Tinggal di Kabupaten Bekasi http://megapolitan.kompas.com/read/2017/06/15/05444731/maute.pimpinan ……","(['Makassar'], Location((-5.1342962, 119.4124282, 0.0)))",,,875140731811373057,https://twitter.com/makassar_tv/status/875140731811373057
annaz_anas,2017-06-15 07:59,0,0,"belajar dr Marawi philipina, lawan radikalisme dan intoleransi yang mengatasnamakan agama, sebelum porak poranda,","(['DKI Jakarta', ' Indonesia'], Location((-6.2011483, 106.9508267, 0.0)))",,,875140561702756352,https://twitter.com/annaz_anas/status/875140561702756352
SuperficialGZT,2017-06-15 07:58,24,65,To Senator Naano + other # MartialLaw supporters who use this abysmally stupid argument: http://fb.me/2bbVkrtrR # SuperficialGazette # Marawi pic.twitter.com/u09fppUZgC,,,# # #,875140447676399616,https://twitter.com/SuperficialGZT/status/875140447676399616
nolybig,2017-06-15 07:58,0,0,"UNTVNewsRescue: RT .TeamAFP , tiniyak na di nila bobombahin ang mga mosque sa Marawi City … pic.twitter.com/YvWCp6X3Om",,,,875140348552544257,https://twitter.com/nolybig/status/875140348552544257
TataOjie,2017-06-15 07:57,0,0,SOJ Wiguire be like: Ooops! yan lg? Here hold my beer. i got this fam! D5 to blame in RW Bam to blame in Marawi terror attacks,"(['Singapore'], Location((1.2904753, 103.8520359, 0.0)))",,,875140143484518400,https://twitter.com/TataOjie/status/875140143484518400
somayya,2017-06-15 07:57,0,3,"Bat parang sa balita malapit na matapos giyera sa Marawi? Pero sa totoong buhay, patulog parin mga airstrikes.","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,875140109951090688,https://twitter.com/somayya/status/875140109951090688
lightoflunaris,2017-06-15 07:56,0,0,Mourning our fallen soldiers in Marawi today. https://www.instagram.com/p/BVVtXmrlefapEORUn36TV8mDKMFt4qOWF_5C9c0/ …,,,,875139984805814277,https://twitter.com/lightoflunaris/status/875139984805814277
AnnMG51,2017-06-15 07:56,0,2,Marawi is their test case. Everything was under their control to fit the scenario they want for ML.,,,,875139815024476161,https://twitter.com/AnnMG51/status/875139815024476161
ShrieynxMT,2017-06-15 07:55,0,0,"Scrolling feeds and reading posts updates in marawi and other incidents or stories happened with my co-Meranao, I... http://fb.me/9DHFL1Pa0","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,875139780660543488,https://twitter.com/ShrieynxMT/status/875139780660543488
