LizquenM,5/23/2017 23:57,8c,,en
KarloGP,5/23/2017 23:49, the1987constitutionoftherepublicofthephilippinesthe1987constitutionoftherepublicofthephilippinesarticlevii ,,en
spenzer_sg,5/23/2017 23:40, 56485news56485html ,,en
omar_mamadra22,5/23/2017 23:37,23may,,en
ChldshDrmr,5/23/2017 23:36, ews20170523dutertedeclaresmartiallawmindanao543524 ,,en
699trbl,5/23/2017 23:28, rnf6ufeatureshare ,,en
dyzryy,5/23/2017 23:15,8dc,,en
rizrags,5/23/2017 23:13, wimarhoumposts1531304610226526 ,,en
flowerchildkth,5/23/2017 23:11,8d,,en
jeelibee,5/23/2017 23:05,0c,,en
emilyenrightt,5/23/2017 22:57, aphilippinesisisgunmensoldiersarmymarawicitystreetbattleterroristjihadia7751406html ,,en
watermelonhobi,5/23/2017 22:48, swhatweknowsofarabouttheongoingcrisisinmarawicitya00520170523 ,,en
senExc,5/23/2017 22:48,  eb1cqwtusfjuipq7pnk4e8xd2k0 ,,en
ineffable888,5/23/2017 22:27,1killed 8wounded,,en
celmatesakiller,5/23/2017 21:56,d8c,,en
jaerice07,5/23/2017 21:52,22may,,en
armydawnie,5/23/2017 21:51, yulwaanmpbn7wnm2lk4k0mki80 ,,en
jiwolf_,5/23/2017 21:19,c19,,en
jude_ann10,5/23/2017 20:39,c11,,en
rosejisoorose,5/23/2017 20:34, videos193324338691551pnrefstory ,,en
d_munich,5/23/2017 20:25,14h24,,en
blasterplaster_,5/23/2017 20:12,1st,,en
iluvmyash,5/23/2017 20:11,2k16,,en
ambotweets,5/23/2017 20:08, videos193324338691551 ,,en
Amancay____,5/23/2017 20:06, 231702840troopsmautegroupclashmarawicity ,,en
BlazerBeLiftin,5/23/2017 19:15, localnews20170523governmenttroopsmautegroupclashmarawicity543446 ,,en
YellowPadawan,5/23/2017 18:05, ons611834mautegrouptakesovermarawihospitalsoldierhurtinfirefightstoryjustin ,,en
