voaindonesia,5/31/2017 23:59,0,0,Militan di Marawi Kirim Rekaman Video Pastor yang Disandera http:// twib.in/l/5BL6eXBrEKkB pic.twitter.com/QMDbS3aLNE,"(['Washington', ' DC'], Location((38.8949549, -77.0366456, 0.0)))",,,8.69946E+17,https://twitter.com/voaindonesia/status/869946475467464704
imax111,5/31/2017 23:59,0,0,In pictures: ISIS attacks Philippine Army convoy in Marawi ,"(['everywhere'], Location((41.7776533, -72.6740756, 0.0)))",,,,
jamesgreid,5/31/2017 23:59,0,0,NPA can be deployed in Marawi to help gov't troops,"(['Canada'], Location((61.0666922, -107.9917071, 0.0)))",,,,
huggablejayline,5/31/2017 23:59,0,0,mau man! Makalagot lang gyud magbasa sa ilang posts ba! Mura jug yanut! Kalami gyud ipaDeploy sa Marawi .,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,8.69946E+17,https://twitter.com/huggablejayline/status/869946374766305280
F_GR01,5/31/2017 23:59,0,0,NPA can be deployed in Marawi to help gov't troops,,,,,
nickeebutlangan,5/31/2017 23:59,0,0,CRISIS IN Marawi City ICRC http:// fb.me/3BiH7cmFQ,,,,8.69946E+17,https://twitter.com/nickeebutlangan/status/869946329635721216
sofiadulo_,5/31/2017 23:58,0,1,IPATAPON SA MARAWI YAN HAHAHAHAHAHAHHAA,,,,8.69946E+17,https://twitter.com/sofiadulo_/status/869946227298770944
Utmanzval,5/31/2017 23:58,0,1,RT: ICRC: Since fighting broke out in Marawi ,"(['Islamabad', ' Pakistan'], Location((33.6917297, 73.0685119, 0.0)))",,,,
ehten,5/31/2017 23:57,0,0,I hope that chaos in Marawi will end.,,,,8.69946E+17,https://twitter.com/ehten/status/869945909789900800
manilainformer,5/31/2017 23:56,0,0,NPA can be deployed in Marawi to help gov't troops,"(['Manila'], Location((14.5906216, 120.9799696, 0.0)))",,,,
LOCALNEWSNgayon,5/31/2017 23:56,0,0,NPA can be deployed in Marawi to help gov't troops,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,
AviBarbour,5/31/2017 23:55,0,0,@RRD_Davao #Marawi tap WHO for resupply of meds for IDP seniors.,"(['Orange', ' CA'], Location((33.7500378, -117.8704931, 0.0)))",@RRD_Davao,#Marawi,8.69945E+17,https://twitter.com/AviBarbour/status/869945445576921088
Dolly0811,5/31/2017 23:55,1,1,Terror in Marawi Continues: 100+ Slaughtered by ISIS for Lack of Muslim Faith http:// punchingbagpost.com/terror-in-mara wi-continues-100+-slaughtered-by-isis-for-lack-of-muslim-faith … @elgatoweebee,"(['PR', ' USA'], Location((50.0596288, 14.4464592733, 0.0)))",@elgatoweebee,,8.69945E+17,https://twitter.com/Dolly0811/status/869945425377284096
