triwul82,2017-05-26 21:34,57,30,"11 WNI Terlibat ISIS di Marawi Filipina, Ini Data-data Mereka lewat gerilyapolitik",,@,,868097981328670720,https://twitter.com/triwul82/status/868097981328670720,id
bongparanoid,2017-05-26 23:59,0,0,Basahin kung paano nakapasok ang Maute Group sa Marawi at paano ito nabuo,,,,868134555441659905,https://twitter.com/bongparanoid/status/868134555441659905,fil
jaynicolas20,2017-05-26 23:59,0,0,Ipa angkin kaya natin ang Marawi sa mapang akin na si Paredes. Total inangkin nya na Edsa sa kanya na rin marawi.,"(['Pasay City', ' National Capital R'], Location((14.5437592, 120.9954657, 0.0)))",,,868134543881928704,https://twitter.com/jaynicolas20/status/868134543881928704,fil
PEPSIPALOMA_,2017-05-26 23:59,7,10,multo man marunong din ako mag pray PrayForMarawi PrayForEgypt PrayForJakarta PrayForMancester PrayForBangkook PrayForWorld,"(['Olongapo City', ' Central Luzon'], Location((14.8314675, 120.2835205, 0.0)))",,# # # # # #,868134501620228098,https://twitter.com/PEPSIPALOMA_/status/868134501620228098,fil
MuzacMag509,2017-05-26 23:59,0,0,Philippines: les habitants de Marawi fuient les combats,"(['Port-au-Prince', ' Haiti'], Location((18.547327, -72.3395928, 0.0)))",,,868134471534608384,https://twitter.com/MuzacMag509/status/868134471534608384,fr
jovelyn_n,2017-05-26 23:59,0,0,"TV Patrol: Naiwang residente sa Marawi, nagdidildil ng asin",,,,868134458142195713,https://twitter.com/jovelyn_n/status/868134458142195713,fil
pi0_1,2017-05-26 23:59,0,0,"Manchester,marawi,melayu...mo nambah lagi makasar Pak_JK ,sprtinya anda harus turun dari jabatan wapres dg statement sprti ini","(['Worlwide'], Location((14.4913339, 120.9921611, 0.0)))",@,,868134396787736576,https://twitter.com/pi0_1/status/868134396787736576,id
CireLSD,2017-05-26 23:58,0,1,Manchester Marawi Bangkok Jakarta Egypt,"(['Olongapo | Manila'], Location((14.4326893, 121.0330268, 0.0)))",,,868134375929430016,https://twitter.com/CireLSD/status/868134375929430016,id
flamemanuel794,2017-05-26 23:58,0,1,PrayForMarawi,"(['Ligao', ' Bicol Region'], Location((13.2411647, 123.5373582, 0.0)))",,#,868134231125499904,https://twitter.com/flamemanuel794/status/868134231125499904,pl
aminperwira,2017-05-26 23:57,0,0,"Pasca Marawi dan Jakarta, DPR Ingatkan Teroris Tengah Menyasar Asia","(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,868133955769257984,https://twitter.com/aminperwira/status/868133955769257984,id
Uncgrey,2017-05-26 23:57,1,0,"An isis member was asked if when are they going to end the violence at marawi and his answer was Tanging si allah lang ang nakakaalam""""","(['UNC'], Location((35.61576655, -82.5677432415, 0.0)))",,,868133934038515712,https://twitter.com/Uncgrey/status/868133934038515712,fil
egdsgn,2017-05-26 23:57,0,0,NTVL: ARMM Gov. Hataman: 15 bihag ang hawak ng Maute group sa Marawi city,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,868133885003083776,https://twitter.com/egdsgn/status/868133885003083776,fil
marawi_q8,2017-05-26 23:56,0,2,بمناسبة قرب شهر رمضان المبارك اهنئ جميع متابعيني و كل عام ؤآأنتم خير وأعاده الله عليكم بالصحه والسلامه قروب_بنات_العرب,,,#,868133841667407872,https://twitter.com/marawi_q8/status/868133841667407872,ar
egdsgn,2017-05-26 23:56,0,0,"MMDA at NCRPO, tiniyak na walang banta ng terorismo sa Metro Manila sa kabila ng gulo sa Marawi city","(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,868133840732037121,https://twitter.com/egdsgn/status/868133840732037121,fil
GlobalHM,2017-05-26 23:56,1,5,"“Dia (Ketua Abu Sayyaf, Isnilon) masih berada di sini (bandar Marawi). - Jeneral Eduardo Ano ""","(['Kuala Lumpur', ' Malaysia'], Location((0.642715, 122.5909774, 0.0)))",,,868133760922918912,https://twitter.com/GlobalHM/status/868133760922918912,ms
x0ceye,2017-05-26 23:56,0,0,"Milisi Indonesia 'tewas dalam pertempuran' di Marawi, Filipina selatan",,,,868133698985541632,https://twitter.com/x0ceye/status/868133698985541632,id
exobekiyon,2017-05-26 23:56,0,0,"Milisi Indonesia 'tewas dalam pertempuran' di Marawi, Filipina selatan 2",,,,868133697286922240,https://twitter.com/exobekiyon/status/868133697286922240,id
info_RI,2017-05-26 23:56,0,0,"Milisi Indonesia 'tewas dalam pertempuran' di Marawi, Filipina selatan: Milisi asing, antara lain dari… | infoRI","(['Jakarta', ' Indonesia'], Location((-6.1753942, 106.827183, 0.0)))",,#,868133666643255296,https://twitter.com/info_RI/status/868133666643255296,id
xitzs,2017-05-26 23:56,0,0,"Milisi Indonesia 'tewas dalam pertempuran' di Marawi, Filipina selatan D",,,,868133666039382017,https://twitter.com/xitzs/status/868133666039382017,id
amina__mama,2017-05-26 23:55,0,0,Ramadhan Kareem Everyone PrayForMarawi,,,#,868133580777463808,https://twitter.com/amina__mama/status/868133580777463808,ar
Keviiiiin69,2017-05-26 23:54,0,0,Hatid ko kayo sa MARAWI?,,,,868133245166247936,https://twitter.com/Keviiiiin69/status/868133245166247936,fil
Nokerist,2017-05-26 23:54,2,1,Marawi yakınlarında terör örgütü IŞİD'in imha ettiği Filipinler Ordusu'na ait zırhlı araç. war u,"(['Turkey'], Location((38.9597594, 34.9249653, 0.0)))",,# #,868133228678459392,https://twitter.com/Nokerist/status/868133228678459392,tr
Zubiri_islao,2017-05-26 23:54,0,0,Sana safe siya sa marawi.,"(['Otis', ' Paco'], Location((42.1931453, -73.0917715, 0.0)))",,,868133209338298369,https://twitter.com/Zubiri_islao/status/868133209338298369,fil
xluvmybiebsxx,2017-05-26 23:54,0,2,Jeżeli to prawda to nie mam słów.. PrayForEgypt PrayForTheWorld PrayForMarawi PrayForManchester d,"(['California', ' USA'], Location((36.7014631, -118.7559974, 0.0)))",,# # # # #,868133175087837185,https://twitter.com/xluvmybiebsxx/status/868133175087837185,pl
jeremenotjeremy,2017-05-26 23:51,0,0,MARAWI HAHAHAHAHA AY BAD,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,868132602472833024,https://twitter.com/jeremenotjeremy/status/868132602472833024,fil
lilayors,2017-05-26 23:51,0,1,Grabe njud diay ddtos Marawi rn ba,,,,868132425783664642,https://twitter.com/lilayors/status/868132425783664642,ceb
willgalang,2017-05-26 23:50,1,1,"Wala kayong consistency, people. LOL! marawi mamasapano partisan","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,# # #,868132328039604225,https://twitter.com/willgalang/status/868132328039604225,fil
jhoejhuejhue,2017-05-26 23:50,0,0,boring and tired life .... pero mas mahirap kapag nasa marawi diba kaya we are bless here eventhough sometimes...,,,,868132277875728384,https://twitter.com/jhoejhuejhue/status/868132277875728384,fil
xielapepaaah,2017-05-26 23:50,0,1,"mindanao ang may martial law, luzon ang may maraming reklamo! f***! tira kayo dito mga tang ina! para malaman niyo! PrayForMarawi",,,#,868132265162702848,https://twitter.com/xielapepaaah/status/868132265162702848,fil
AndAileen,2017-05-26 23:50,0,0,These people against MartialLaw have you seen the news lately? Nakakaawa ang mga tao sa Marawi MartialLawInMindanao,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,# #,868132153594335232,https://twitter.com/AndAileen/status/868132153594335232,fil
masukbarangtuh,2017-05-26 23:49,0,0,"Mereka ini exist di medsos, seakan sel tidur yg siap dibangunkan utk bangkit menjadi ISIS, spt yg skarang tjadi di Marawi.. info to jokowihttps://",,@,,868132113635131392,https://twitter.com/masukbarangtuh/status/868132113635131392,id
_jlzntanael,2017-05-26 23:49,0,2,otw to marawi na nga ako eh,,,,868132007082991616,https://twitter.com/_jlzntanael/status/868132007082991616,fil
GDmalinog,2017-05-26 23:48,0,0,Basahin kung paano nakapasok ang Maute Group sa Marawi at paano ito nabuo 0,"(['Sarangani', ' Davao Occidental'], Location((5.874722, 125.275278, 0.0)))",,,868131801465843714,https://twitter.com/GDmalinog/status/868131801465843714,fil
