wreeckss,5/28/2017 23:58,0,-1,Balik ta oy,"(['City of Tagum', ' Davao Region'], Location((7.4468904, 125.8095771, 0.0)))",,,,,ar
BhoszDharlyn,5/28/2017 23:56,0,-1,Ka bugo sad nimo nang uy! Adto og Marawi kaw pag care,,,,,,ceb
eneste_s,5/28/2017 23:56,0,-1,Apakah patroli udara di perairan batas kita dg Pilifina Selatan cukup,,,,,,id
BidakBopeng,5/28/2017 23:54,0,-1,Tidak Terlibat ISIS,"(['Pribumi'], Location((-8.61352455, 116.549584726, 0.0)))",,,,,ms
kebenaran_21,5/28/2017 23:53,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi https://,,,,8.69E+17,https://twitter.com/kebenaran_21/status/868857753661583361,id
beverliecious,5/28/2017 23:51,0,-1,putangina niyo rin po. Punta ka nalang Marawi baka makatulong ka pa pang-shield.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@ErikMatti,#BoycottErikMatti #MartialLawInMindanao,8.69E+17,https://twitter.com/beverliecious/status/868857335279525888,fil
Maratt16,5/28/2017 23:50,0,-1,FILIPPINE Due mila civili intrappolati nella città di Marawi dove le forze governative stanno combattendo contro ribelli legati all' isis.,,,,8.69E+17,https://twitter.com/Maratt16/status/868857124587220992,it
vinwethere,5/28/2017 23:50,0,-1,Dili mao ang paraphrase sa words,"(['Tanjay City', ' Central Visayas'], Location((14.6927599, 121.0468179, 0.0)))",,,,,fil
kebenaran_21,5/28/2017 23:49,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi https:// u,,,,8.69E+17,https://twitter.com/kebenaran_21/status/868856862623641604,id
eneste_s,5/28/2017 23:48,1,-1,SUDAH BELASAN ORG DEWASA MUSLIM DI MARAWI YG DIBUNUH ISIS,,,,,,id
dzIQ990,5/28/2017 23:46,0,-1,Death toll sa Marawi siege,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,,,,fil
beverliecious,5/28/2017 23:46,0,-1,sundalo ka naman bat di ka pumunta ng Marawi para tulungan sila lumaban kesa nagkukuda ka ng wala naman sense?,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@TrillanesSonny,#MartialLaw,8.69E+17,https://twitter.com/beverliecious/status/868856110005878788,fil
chaussisfamily,5/28/2017 23:46,0,-1,Des civils piégés par les combats à Marawi . via,,@tdgch,,8.69E+17,https://twitter.com/chaussisfamily/status/868856065559056385,fr
DreyIlumba,5/28/2017 23:46,0,-1,That argument na d daw tayo pde makialam kasi d naman tyo ang nasa marawi z z z z. So d ka rn pwede makialam sa NBA finals kasi d ka taga US,"(['Palo', ' Eastern Visayas'], Location((42.3231958, 0.2440283, 0.0)))",,,8.69E+17,https://twitter.com/DreyIlumba/status/868855983295963137,fil
ClaireJularbal,5/28/2017 23:46,0,-1,Mga kamaganak ko sa marawi http://,"(['Bacoor ', ' Cavite'], Location((14.4594486, 120.9401716, 0.0)))",,,8.69E+17,https://twitter.com/ClaireJularbal/status/868855892153737216,fil
liloo_de,5/28/2017 23:46,0,-1,Philippinen: Zahlreiche Tote im Kampf um die Großstadt Marawi http://,,,#medien #deutschland #on4us,8.69E+17,https://twitter.com/liloo_de/status/868855891302510592,de
DatuakPanduko,5/28/2017 23:45,2,-1,anggota DPR nya baca media,"(['all area'], Location((51.487247, -0.122859, 0.0)))",,,,,id
Staffy_F,5/28/2017 23:45,0,-1,Combats aux Philippines: les corps d’une dizaine de civils retrouvés à Marawi http://,"(['Mulhouse', ' France'], Location((47.7494188, 7.3399355, 0.0)))",,,8.69E+17,https://twitter.com/Staffy_F/status/868855735752544256,fr
imjhngln,5/28/2017 23:44,0,-1,Inaantok na ko pero naha-high blood ako sa kuya! dapat ksi mga katulad nya yung pinapadala sa Marawi e,"(['Cavite', ' Philippines'], Location((14.25, 120.833333, 0.0)))",,,,,fil
beverliecious,5/28/2017 23:43,0,-1,Diba sundalo ka naman? Bat kaya di ka pumunta ng Marawi at tulungan mga subdalo naten kesa kuda ka ng kuda na wala naman sense?,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#martiallaw,8.69E+17,https://twitter.com/beverliecious/status/868855285430968320,fil
danangdk,5/28/2017 23:43,0,-1,Militan ISIS Bunuh 19 Warga Sipil di Marawi http://,,,,8.69E+17,https://twitter.com/danangdk/status/868855261305483264,id
Dbigbalbowski,5/28/2017 23:43,7,-1,Bakit Hindi nyo imbestigahan si Bambina Aquino? Cya ang galing sa MARAWI !,,,,8.69E+17,https://twitter.com/Dbigbalbowski/status/868855236114468864,fil
DatuakPanduko,5/28/2017 23:41,11,-1,ini lagi.. berita ngawur.. Abu Sayyaf bukan di marawi basis nya.. semua media kacau balau.. ga bisa bedain mana isis,"(['all area'], Location((51.487247, -0.122859, 0.0)))",,,,,id
Maratt16,5/28/2017 23:41,0,-1,FILIPPINE città di Marawi - trovati corpi di civili giustiziati dagli insorti legati a isis con colpo alla testa in fossato fuori città,,,,8.69E+17,https://twitter.com/Maratt16/status/868854736572829697,it
traveLinks,5/28/2017 23:41,0,-1,Philippinen: Zahlreiche Tote im Kampf um die Großstadt Marawi : In reply to Der „Dirty Harry“ der Philippinen: Mit… http://,"(['Germany'], Location((51.0834196, 10.4234469, 0.0)))",,,8.69E+17,https://twitter.com/traveLinks/status/868854656906051584,de
Leppard_vk,5/28/2017 23:40,0,-1,El Ejército filipino confirma al menos 19 civiles muertos a manos de los islamistas en el asedio a Marawi . noticia-ejercito-filipino-confirma-menos-19-civiles-muertos-manos-islamistas-asedio-marawi-20170528165419.html …,"(['Valpara\xc3\xadso - Chile'], Location((-33.0458456, -71.6196749, 0.0)))",,,8.69E+17,https://twitter.com/Leppard_vk/status/868854457366401024,es
RSatoquia,5/28/2017 23:39,0,-1,inuubos na kami ng tropa ng gobyerno dito sa Marawi,,,,,,fil
tdgch,5/28/2017 23:39,5,-1,Des civils piégés par les combats à Marawi http://,"(['#Gen\xc3\xa8ve', ' #Suisse'], Location((46.2017559, 6.1466014, 0.0)))",,#Monde,8.69E+17,https://twitter.com/tdgch/status/868854144567615493,fr
banannanne,5/28/2017 23:38,0,-1,TANGINA MO DUN KA SA MARAWI https:// tus/868715636389625856 …,"(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",,,8.69E+17,https://twitter.com/banannanne/status/868854105082535936,fil
awesomeQBt,5/28/2017 23:37,0,-1,Konon Sedang Berdakwah,,,,,,ms
kevsrikokun,5/28/2017 23:36,0,-1,Pumunta kayo sa marawi walang kwenta yan medal Kung di kayo tutulong don shooting team nmn kayo dba,,,,8.69E+17,https://twitter.com/kevsrikokun/status/868853378050277376,fil
SaladinAlDronni,5/28/2017 23:33,0,-1,Zależy. Wewnątrz Marawi powinno być ich jeszcze kilkadziesiąt,,,,,,pl
alfayed_Moh,5/28/2017 23:31,0,-1,Pemerintah Selisik 11 WNI yang Berada di Marawi http://,"(['Ciamis', ' Indonesia'], Location((-4.6667377, 104.7772416, 0.0)))",,#indonesiakini,8.69E+17,https://twitter.com/alfayed_Moh/status/868852180245258240,id
xopasid,5/28/2017 23:30,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http://,,,,8.69E+17,https://twitter.com/xopasid/status/868852024955224064,id
