xtianpalqueza,2017-05-26 23:46,1,2,# PrayForMarawi,,,#,868131189655093248,https://twitter.com/xtianpalqueza/status/868131189655093248
Joshypets,2017-05-26 23:44,0,4,# PrayForMarawi,,,#,868130692059717635,https://twitter.com/Joshypets/status/868130692059717635
ericmarteenn,2017-05-26 23:42,0,1,# PrayForMarawi,"(['Hogwarts'], Location((-1.24139975, 36.784112734, 0.0)))",,#,868130140622016512,https://twitter.com/ericmarteenn/status/868130140622016512
kayceemendes,2017-05-26 23:33,1,1,# prayformarawi,"(['toronto', 'canada'], Location((43.653963, -79.387207, 0.0)))",,#,868128058619731969,https://twitter.com/kayceemendes/status/868128058619731969
GorgNea28,2017-05-26 23:18,0,1,# PrayForMarawi,"(['Angeles City', ' Central Luzon'], Location((7.1221824, 125.6453029, 0.0)))",,#,868124073338994690,https://twitter.com/GorgNea28/status/868124073338994690
aesthetedolan,2017-05-26 23:14,1,0,# PrayForMarawi,"(['2/2'], Location((47.4861536, 19.0054679, 0.0)))",,#,868123080572284928,https://twitter.com/aesthetedolan/status/868123080572284928
SenLeiladeLima,2017-05-26 23:08,17,71,# PrayForMarawi pic.twitter.com/VDGX6LpaYR,,,#,868121743025610752,https://twitter.com/SenLeiladeLima/status/868121743025610752
Harwenggggg,2017-05-26 23:06,0,2,# PrayForMarawi,"(['Paris', ' France'], Location((48.8566101, 2.3514992, 0.0)))",,#,868121167701331970,https://twitter.com/Harwenggggg/status/868121167701331970
ImmaBrox,2017-05-26 22:55,0,0,# PrayForMarawi pic.twitter.com/4BTUfZmc2V,,,#,868118436798279682,https://twitter.com/ImmaBrox/status/868118436798279682
EEmelove,2017-05-26 22:47,0,0,# PrayForMarawi,"(['South West', ' England'], Location((44.9139652, -93.3001503, 0.0)))",,#,868116466347814914,https://twitter.com/EEmelove/status/868116466347814914
iamshaunjmn,2017-05-26 22:44,0,2,# PrayForMarawi,"(['LU', ' PH'], Location((50.976229, 22.7991176, 0.0)))",,#,868115597300649984,https://twitter.com/iamshaunjmn/status/868115597300649984
IamMaryGraceNg,2017-05-26 21:40,0,0,# PrayForMarawi,"(['Pilipinas \xc2\xa0\xf0\x9f\x87\xb5\xf0\x9f\x87\xad'], Location((12.7503486, 122.7312101, 0.0)))",,#,868099554779906048,https://twitter.com/IamMaryGraceNg/status/868099554779906048
Olibyaah20,2017-05-26 21:38,1,0,# PrayForMarawi,"(['Iloilo City', ' Western Visayas'], Location((10.7026718, 122.5686136, 0.0)))",,#,868099080018305025,https://twitter.com/Olibyaah20/status/868099080018305025
McAcezzy,2017-05-26 21:37,1,0,# PrayForMarawi pic.twitter.com/5ztkATeHJL,"(['Marawi City', ' Autonomous Region'], Location((8.0034938, 124.286626, 0.0)))",,#,868098851349053440,https://twitter.com/McAcezzy/status/868098851349053440
Namasitas,2017-05-26 21:34,0,0,# PrayForMarawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,868098028195819521,https://twitter.com/Namasitas/status/868098028195819521
ATTYCNJB,2017-05-26 21:26,0,0,# PrayForMarawi,,,#,868095935141756930,https://twitter.com/ATTYCNJB/status/868095935141756930
litosalapa,2017-05-26 21:09,0,0,# PrayForMarawi,,,#,868091717043404800,https://twitter.com/litosalapa/status/868091717043404800
Mikaaaygonz,2017-05-26 21:09,0,0,# PrayForMarawi,"(['Republic of Korea'], Location((-9.4327997, 159.9605709, 0.0)))",,#,868091627771904005,https://twitter.com/Mikaaaygonz/status/868091627771904005
itsrizzahmae,2017-05-26 21:07,0,1,# PrayForMarawi,"(['Pola', ' Rehiyon ng MIMAROPA'], Location((44.8696242, 13.8455452, 0.0)))",,#,868091187185328128,https://twitter.com/itsrizzahmae/status/868091187185328128
JamesxEspero,2017-05-26 21:01,0,0,# PrayForMarawi,"(['Eternal Life'], Location((41.5017076, -81.6929465, 0.0)))",,#,868089768751398913,https://twitter.com/JamesxEspero/status/868089768751398913
Gabriel74137564,2017-05-26 20:29,0,1,# PrayforMarawi,"(['Bacoor', 'Cavite'], Location((14.4594486, 120.9401716, 0.0)))",,#,868081730627842048,https://twitter.com/Gabriel74137564/status/868081730627842048
kweengummy,2017-05-26 20:23,0,0,# PrayForMarawi,"(['Earth'], Location((34.2331373, -102.4107493, 0.0)))",,#,868080159374557185,https://twitter.com/kweengummy/status/868080159374557185
chaseelijaherin,2017-05-26 20:18,0,0,# PrayForMarawi,,,#,868078817847296001,https://twitter.com/chaseelijaherin/status/868078817847296001
rosegosoIo,2017-05-26 19:56,0,1,# PrayForMarawi,"(['twice'], Location((52.5060444, 6.1016924, 0.0)))",,#,868073277176131584,https://twitter.com/rosegosoIo/status/868073277176131584
CarenDelValle3,2017-05-26 19:54,0,0,# PrayForMarawi,"(['National Capital Region', ' Repub'], Location((14.5736108, 121.0329706, 0.0)))",,#,868072961168650240,https://twitter.com/CarenDelValle3/status/868072961168650240
chairaliwanag,2017-05-26 19:52,0,0,# PRAYFORMARAWI,,,#,868072278562545664,https://twitter.com/chairaliwanag/status/868072278562545664
DonGilem,2017-05-26 19:51,0,0,# PrayForMarawi,"(['Winterfell'], Location((51.5455107, 13.9594132, 0.0)))",,#,868072108634419201,https://twitter.com/DonGilem/status/868072108634419201
ScarletteMarano,2017-05-26 19:48,0,1,# PrayForMarawi,,,#,868071231731486722,https://twitter.com/ScarletteMarano/status/868071231731486722
Shirleywallows,2017-05-26 19:48,0,0,# prayforMarawi,,,#,868071225888604162,https://twitter.com/Shirleywallows/status/868071225888604162
jakesamonteza,2017-05-26 19:39,0,0,# PrayForMarawi,"(['Calatagan', ' Batangas'], Location((13.78480695, 120.630794441, 0.0)))",,#,868069175641620481,https://twitter.com/jakesamonteza/status/868069175641620481
joshxbanaag,2017-05-26 19:39,0,2,# PrayForMarawi,,,#,868069063267819520,https://twitter.com/joshxbanaag/status/868069063267819520
Kevs_0721,2017-05-26 19:25,0,0,# PrayForMarawi,,,#,868065472704421890,https://twitter.com/Kevs_0721/status/868065472704421890
papalvisitph,2017-05-26 19:19,0,1,# PrayForMarawi http://fb.me/3C7EgbqkR,"(['January 15-19', ' 2015'], Location((14.6634686, 121.028295, 0.0)))",,#,868063962461601793,https://twitter.com/papalvisitph/status/868063962461601793
mintsoda,2017-05-26 19:04,0,0,# PrayForMarawi,"(['heck'], Location((48.4748067, 12.6156233, 0.0)))",,#,868060263181725696,https://twitter.com/mintsoda/status/868060263181725696
MeghnaSequeira,2017-05-26 18:56,0,1,# PrayForMarawi,,,#,868058277904601088,https://twitter.com/MeghnaSequeira/status/868058277904601088
janesha13,2017-05-26 18:55,0,0,# PrayForMarawi,"(['Luke 1:37'], Location((37.253721, -85.883111, 0.0)))",,#,868058108068745217,https://twitter.com/janesha13/status/868058108068745217
frvrLoiyaaaaals,2017-05-26 18:55,0,0,# PrayForMarawi pic.twitter.com/rWcze2uS6L,,,#,868058095024447488,https://twitter.com/frvrLoiyaaaaals/status/868058095024447488
iamjoshrichter,2017-05-26 18:53,0,1,# PrayForMarawi,"(['Everywhere'], Location((41.7776533, -72.6740756, 0.0)))",,#,868057509445025792,https://twitter.com/iamjoshrichter/status/868057509445025792
lorenaradasa,2017-05-26 18:52,0,0,# PrayForMarawi,"(['Muntinlupa'], Location((14.3940614, 121.0410436, 0.0)))",,#,868057173506506753,https://twitter.com/lorenaradasa/status/868057173506506753
SaturdayLove04,2017-05-26 18:50,0,0,# PrayForMarawi,"(['Calabarzon', ' Republic of the Ph'], Location((14.16441485, 121.353652374, 0.0)))",,#,868056694135300097,https://twitter.com/SaturdayLove04/status/868056694135300097
dell_agbyn,2017-05-26 18:49,0,0,# PrayForMarawi,,,#,868056375028457472,https://twitter.com/dell_agbyn/status/868056375028457472
