rikkibashan,2017-10-13 23:58,0,2,HAHAHAHAHAHA MARAWI,,,,918868678669512704,https://twitter.com/rikkibashan/status/918868678669512704
bdsaguing,2017-10-13 23:58,0,0,Retweeted Inquirer ( @ inquirerdotnet): Evacuees can’t go home yet even if Marawi conflict ends... http://fb.me/27TH67NQT,"(['Rome', ' Italy'], Location((34.257038, -85.1646726, 0.0)))",@,,918868637854859264,https://twitter.com/bdsaguing/status/918868637854859264
inquirerdotnet,2017-10-13 23:56,3,4,Evacuees can’t go home yet even if Marawi conflict ends http://ebx.sh/2kLcJKL,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,,918868095573348353,https://twitter.com/inquirerdotnet/status/918868095573348353
nexeyyyyyy,2017-10-13 23:48,0,0,Andaming problema ng pilipinas ngayon jusko! Unang una jan yung sa marawi hindi na matapos matapos yung gyera tangna kasi nung mga maute eh.,"(['National Capital Region'], Location((14.5736108, 121.0329706, 0.0)))",,,918866159117598721,https://twitter.com/nexeyyyyyy/status/918866159117598721
yoshi_nagamine,2017-10-13 23:47,0,1,"Very nice interview of Tomoko, the Japanese Head of Office at Marawi, Philippines http://bit.ly/2gBRV3Q pic.twitter.com/hEeoC2I699","(['Geneva', ' Switzerland'], Location((42.8689552, -76.9777436, 0.0)))",,,918865865600364544,https://twitter.com/yoshi_nagamine/status/918865865600364544
joycegonzalesss,2017-10-13 23:43,0,0,Mag patulog po kayo ng mga kapitbahay! Pucha mga dayuhan to. Patapon ko kayo sa marawi,,,,918864823894523904,https://twitter.com/joycegonzalesss/status/918864823894523904
joycegonzalesss,2017-10-13 23:40,0,0,"Kakaiba sila besss, sarap para pin sa marawi HAHAHAHA",,,,918863934907543553,https://twitter.com/joycegonzalesss/status/918863934907543553
saksi,2017-10-13 23:36,0,0,"Tatlong bihag ng Maute-ISIS sa marawi ang nailigtas ng militar sa gitna ng matinding bakbakan. # Saksi si @ MSumangil, EXCLUSIVE!","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,#,918862977909923841,https://twitter.com/saksi/status/918862977909923841
steepfunny24,2017-10-13 23:30,0,1,Marawi relief operation pic.twitter.com/h1s5AGVizh,"(['Davao Region', ' Republic of the'], Location((7.0645241, 125.6084143, 0.0)))",,,918861467968868352,https://twitter.com/steepfunny24/status/918861467968868352
cristelejoyflor,2017-10-13 23:30,0,1,Hindi nasa marawi,,,,918861446896803845,https://twitter.com/cristelejoyflor/status/918861446896803845
NokieVillanueva,2017-10-13 23:27,0,0,"ISIS, our Armed Forces are in control of Marawi, they are able to dance baby shark! @ PhilMarineCorps https://video.fcrk1-1.fna.fbcdn.net/v/t42.1790-2/22458712_2031467243751805_1714240792089853952_n.mp4?efg=eyJybHIiOjcxOCwicmxhIjo2NzIsInZlbmNvZGVfdGFnIjoic3ZlX3NkIn0%3D&_nc_eui2=v1%3AAeE1M6igT7G3pJvSNhXrCqfeypy6hEx1w0Pn9lB98OVOWm_Op6xN2WIjOesCl2u9vz3CGbRGat_eMergs6P8hfOpg5O0r-l54EoYQ9nfeHJ9Wg&oh=fedd36ffffe67193cf7598db9657b099&oe=59E1078F …",,@,,918860749086253056,https://twitter.com/NokieVillanueva/status/918860749086253056
autorenonline,2017-10-13 23:21,0,0,Daring rescue of 3 Maute hostages in Marawi caught on camera http://www.shaira-santiago.com/daring-rescue-of-3-maute-hostages-in-marawi-caught-on-camera-2/ …,,,,918859271055425536,https://twitter.com/autorenonline/status/918859271055425536
rizel_malik,2017-10-13 23:21,0,4,May pagka manyak rin to si Xander Ford eh sarap patapon sa Marawi,"(['Butuan City', ' Caraga'], Location((14.6169132, 121.018525, 0.0)))",,,918859225006084096,https://twitter.com/rizel_malik/status/918859225006084096
Julssvlle,2017-10-13 23:21,0,1,ganito talaga sa marawi,,,,918859173684584448,https://twitter.com/Julssvlle/status/918859173684584448
