gmanews,2017-10-22 23:54,nancy binay urges inclusion of ips idps in marawi rehab planning 8,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.110779,0.369305,0.326912,0.186049,0.02582,"['joy', 0.369305]"
bad0i35,2017-10-22 23:52,time to go home salute to the brave soldiers who fought against the terrorists in marawi,"(['cebu', ' philippines'], Location((10.45, 123.84, 0.0)))",en,0.127564,0.118621,0.313911,0.483254,0.250794,"['fear', 0.483254]"
manilainformer,2017-10-22 23:51,only residents allowed in cleared marawi villages during returnperiod,"(['Manila'], Location((14.5906216, 120.9799696, 0.0)))",en,0.133627,0.219266,0.123465,0.067297,0.341027,"['disgust', 0.341027]"
valentinahoot1,2017-10-22 23:50,ulala filipino troops battling final 30 islinked gunmen in marawi test,,en,0.066142,0.08935,0.40781,0.353297,0.094842,"['sadness', 0.40781]"
manilabulletin,2017-10-22 23:50,doh warns against scammers using marawi to extort money  read befullyinformed,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.49088,0.073642,0.205127,0.221107,0.255993,"['anger', 0.49088]"
mikrofonnews1,2017-10-22 23:49,total victory declared in marawi overterrorists,"(['Ankara', ' T\xc3\xbcrkiye'], Location((39.9215219, 32.8537929, 0.0)))",en,0.114038,0.515912,0.05779,0.022504,0.146685,"['joy', 0.515912]"
MiguelGeroche,2017-10-22 23:48,why it took 5 months to end marawi siege  inquirer news marawi,"(['Pilipinas'], Location((12.7503486, 122.7312101, 0.0)))",en,0.125459,0.152609,0.508895,0.154865,0.144081,"['sadness', 0.508895]"
fmtoday,2017-10-22 23:48,more details emerge on malaysian militant son in marawi ,"(['\xc3\x9cT: 3.099457', '101.681025'], Location((47.8754752, -93.8189718, 0.0)))",en,0.046134,0.155925,0.065524,0.070699,0.048299,"['joy', 0.155925]"
autorenonline,2017-10-22 23:47,govt forces doing everything to end marawi crisis bysunday,,en,0.167285,0.003543,0.640147,0.398492,0.112493,"['sadness', 0.640147]"
enewsall,2017-10-22 23:42,from raqqa to marawi military campaigns against isis take a devastatingtoll,"(['New York', ' USA'], Location((40.7306458, -73.9866136, 0.0)))",en,0.073277,0.009508,0.539078,0.088088,0.417582,"['sadness', 0.539078]"
LOCALNEWSNgayon,2017-10-22 23:41,nancy binay urges inclusion of ips idps in marawi rehab planning  read via gma news,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.052009,0.370446,0.370759,0.26735,0.063113,"['sadness', 0.370759]"
PHLNewsOnline,2017-10-22 23:39,gma news zubiri seeks probe into marawi govt execs who possibly helped maute group,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.046463,0.09561,0.72317,0.095159,0.056773,"['sadness', 0.72317]"
crisetteramos,2017-10-22 23:38,dissecting society marawi flower will bloom again omar whoop,,en,0.061197,0.644049,0.116251,0.024939,0.073872,"['joy', 0.644049]"
livechannelfeed,2017-10-22 23:33,war might still be raging in the ruins of the philippine city of marawi but the cleanup has already begun 8,"(['New York', ' USA'], Location((40.7306458, -73.9866136, 0.0)))",en,0.760981,0.028061,0.211422,0.158311,0.109633,"['anger', 0.760981]"
