mariaressa,2017-10-06 23:42,zamboanga siege veteran is new marawi ground commander  via rapplerdotcomhttp,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.038112,0.458257,0.184516,0.135716,0.187681,"['joy', 0.458257]"
janifahmlc,2017-10-06 23:32,why do rain reminds me of you marawi,"(['Phil'], Location((34.7482178, -79.2139264, 0.0)))",en,0.012107,0.336954,0.307103,0.269798,0.012866,"['joy', 0.336954]"
manilainformer,2017-10-06 23:23,diversionary terror attacks to replicate marawisiege,"(['Manila'], Location((14.5906216, 120.9799696, 0.0)))",en,0.123674,0.001511,0.081476,0.911057,0.07378,"['fear', 0.911057]"
rickrick888,2017-10-06 23:22,military clearing maute tunnels in marawi  cnn philippines cnnphilippines october 6,,en,0.04386,0.204449,0.234351,0.153372,0.098158,"['sadness', 0.234351]"
cnnphilippines,2017-10-06 23:19,military clearing maute tunnels in marawi ,,en,0.071984,0.197209,0.184039,0.207035,0.173406,"['fear', 0.207035]"
ninabellatrlx1,2017-10-06 23:16,it will go to national treasury the money from mighty corp is currently being used in marawi rebuilding of marawi is already starting,,en,0.06468,0.224777,0.302896,0.134034,0.207144,"['sadness', 0.302896]"
terrorism_info,2017-10-06 23:13,sniper fire kills soldier in marawi marawicity manila,,en,0.402061,0.020262,0.39955,0.292271,0.217063,"['anger', 0.402061]"
inquirerdotnet,2017-10-06 23:02,govt troops rescue 17 more hostages in marawi,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",en,0.079742,0.027182,0.626243,0.282378,0.109902,"['sadness', 0.626243]"
DirectorPCRG,2017-10-06 22:54,the police have lost six officers in gunfights in marawi city since may 23 that have also left 61 personnel,"(['Philippine National Police'], Location((6.49843485, 124.836056805, 0.0)))",en,0.26464,0.005624,0.535059,0.375248,0.161972,"['sadness', 0.535059]"
TheICMP,2017-10-06 22:50,philippines unidentified casualties from fighting in marawi buried in massgraves channelnewsasia,"(['The Netherlands'], Location((36.2992331, -89.751194, 0.0)))",en,0.309421,0.030869,0.506801,0.114187,0.191971,"['sadness', 0.506801]"
PTVisMin,2017-10-06 22:45,startups for marawi idps set into motion,,en,0.055413,0.389825,0.148266,0.159535,0.015578,"['joy', 0.389825]"
itsmeaisa21,2017-10-06 22:40,may god bless you maymayentrata07  edward  the rest of ur fmily 4 helping the revival of the city of marawi,"(['Soccsksargen', ' Republic of the'], Location((6.594076, 124.538137405, 0.0)))",en,0.024938,0.754349,0.107821,0.034576,0.006922,"['joy', 0.754349]"
Zjilany1,2017-10-06 22:37,elm tree first project will the revival of marawi may all things work together for good maymayxedwardmalapitna,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.02034,0.808229,0.039931,0.119249,0.015234,"['joy', 0.808229]"
PHINewsNet1,2017-10-06 22:36,marawi ops may be concluded before asean summit says afp via manilabulletin,"(['Manila City', ' National Capital Region'], Location((14.5906216, 120.9799696, 0.0)))",en,0.067311,0.220042,0.236238,0.269061,0.12769,"['fear', 0.269061]"
MayWard1993,2017-10-06 22:35,first project ng elm encorporated sa district 3810  bni phil is the revival of the of marawi so proud of them,,en,0.008005,0.791163,0.1228,0.030172,0.051445,"['joy', 0.791163]"
PWThornhill,2017-10-06 22:32,nice place to start your thinking on how isis ended up in marawi the philippines this year auspolhttps,"(['Melbourne', ' Victoria'], Location((-37.8142176, 144.9631608, 0.0)))",en,0.031211,0.699658,0.187775,0.073153,0.030457,"['joy', 0.699658]"
LoneThinktank,2017-10-06 22:29,a thought  if dut didnt halt the mil exercises in some parts of mindanao upon assuming office could the marawi debacle have been avoided,,en,0.065899,0.087803,0.459851,0.310618,0.044576,"['sadness', 0.459851]"
CJLOVESVYALL,2017-10-06 22:27,i dont care if the tv station is going to spread the news about the lts charitable activities for marawi maymayxedwardmalapitna,,en,0.031723,0.130695,0.40973,0.115542,0.158064,"['sadness', 0.40973]"
shankargallery,2017-10-06 22:26,unidentified bodies salvaged from marawi streets buried in mass graves  channel newsasia,"(['Boulder', 'Colorado.USA.'], Location((40.0149856, -105.2705456, 0.0)))",en,0.205413,0.060652,0.243629,0.053079,0.09746,"['sadness', 0.243629]"
PHINewsNet2,2017-10-06 22:26,marawi mayor sees no need to sue govt in international court,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.138161,0.042054,0.515454,0.12063,0.075166,"['sadness', 0.515454]"
philmonitor,2017-10-06 22:12,40 civilians still being held captive by isislinked terrorists inside marawi city  afp  via philmonitor,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.16272,0.044517,0.531442,0.314584,0.147948,"['sadness', 0.531442]"
lumpy_poof,2017-10-06 22:03,gosh this is for marawi din pala im so ready and excited to help them in anyway maymayxedwardmalapitnahttps,,en,0.03144,0.883692,0.023957,0.062592,0.002865,"['joy', 0.883692]"
MIYAnchkin,2017-10-06 22:03,rotary will partner with elm tree foundation  bni ph to support our ongoing projects for the revival of  of marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.013863,0.42432,0.016883,0.100786,0.027209,"['joy', 0.42432]"
vinchie_cebu,2017-10-06 21:51,philstarnews our fa50 jets take off daily from mactan w smart bombs from america enemies maybe hiding more now in marawi,"(['Cebu', ' Philippines'], Location((10.45, 123.84, 0.0)))",en,0.237586,0.043388,0.412188,0.557168,0.03716,"['fear', 0.557168]"
EdselTupaz,2017-10-06 21:46,representing dpwh legal at the task force bangon marawi subcommittee on reconstruction proceedings bangonmarawi,"(['Manila'], Location((14.5906216, 120.9799696, 0.0)))",en,0.299708,0.102718,0.096335,0.301484,0.075575,"['fear', 0.301484]"
rickrick888,2017-10-06 21:36,korean star rain to headline benefit concert for marawi ngos  newsroom live  cnn philippines cnnphilippines ,,en,0.028892,0.520214,0.142907,0.125092,0.040823,"['joy', 0.520214]"
zyiteblog,2017-10-06 21:30,diversionary terror attacks to replicate marawi siege  the manila times online,,en,0.102741,0.010931,0.134773,0.852248,0.073401,"['fear', 0.852248]"
cnnphilippines,2017-10-06 21:28,korean star rain to headline benefit concert for marawi ngos  newsroom live,,en,0.029147,0.565479,0.121639,0.130176,0.034991,"['joy', 0.565479]"
MariitessManalo,2017-10-06 21:25,afp to charge supporters of marawi rebels,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.142167,0.063017,0.328651,0.037359,0.408848,"['disgust', 0.408848]"
ruthcooke,2017-10-06 21:24,the philippines is destroying the city of marawi to save it from isis,,en,0.548851,0.009691,0.421008,0.141354,0.171462,"['anger', 0.548851]"
cchoksy,2017-10-06 21:18,philippines battle to retake marawi from is group leaves a ghost town,"(['Greenwood', ' Indiana', ' USA'], Location((25.0614787, -77.3111952674, 0.0)))",en,0.101716,0.079233,0.554388,0.44705,0.032912,"['sadness', 0.554388]"
manilabulletin,2017-10-06 21:10,marawi ops may be concluded before asean summit says afp  read befullyinformed,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.091458,0.256059,0.200329,0.21411,0.123556,"['joy', 0.256059]"
shankargallery,2017-10-06 21:06,unidentified bodies salvaged from marawi streets buried in mass graves via channelnewsasia,"(['Boulder', 'Colorado.USA.'], Location((40.0149856, -105.2705456, 0.0)))",en,0.118072,0.099945,0.287551,0.213268,0.124604,"['sadness', 0.287551]"
wdprogram,2017-10-06 21:05,responding to the marawi crisis four months on,"(['United Kingdom'], Location((25.2232283, 55.1594933009, 0.0)))",en,0.140694,0.078442,0.432606,0.34284,0.117532,"['sadness', 0.432606]"
OFGunenc,2017-10-06 20:59,marawi troops proceed in calibrated offensive vs maute  news  gma news online via gmanews,"(['Mardin', ' Turkey'], Location((37.3414854, 40.7476249, 0.0)))",en,0.037157,0.206465,0.326968,0.305083,0.196326,"['sadness', 0.326968]"
starsandstripes,2017-10-06 20:52,us help for philippine troops battling islamic militants in marawi may have been a factor in the thaw,"(['Washington D.C.'], Location((38.8949549, -77.0366456, 0.0)))",en,0.045023,0.086591,0.108384,0.20028,0.014963,"['fear', 0.20028]"
ChristineMCNA,2017-10-06 20:51,3 distressing content here real life unfolding in marawi,"(['The Little Red Dot'], Location((1.3121153, 103.8614649, 0.0)))",en,0.051374,0.560702,0.234852,0.049391,0.031418,"['joy', 0.560702]"
DescReyna,2017-10-06 20:42,tp  mochas travel s taken by miniscule portion of our taxes which by the way will reduce soon this 1 will go to marawi rehab and build3,,en,0.085078,0.131175,0.100475,0.1751,0.09137,"['fear', 0.1751]"
terrorism_info,2017-10-06 20:39,govt troops rescue 17 more hostages in marawi malacaang,,en,0.079742,0.027182,0.626243,0.282378,0.109902,"['sadness', 0.626243]"
ChristineMCNA,2017-10-06 20:38,2 even with president du30 pledging to rebuild and rehabilitate the city  gotta regain control of marawi first ,"(['The Little Red Dot'], Location((1.3121153, 103.8614649, 0.0)))",en,0.130548,0.233862,0.319497,0.140942,0.145242,"['sadness', 0.319497]"
PopeDarth,2017-10-06 20:34,look into marawi isis fighters in philippines were fighting there but the pentagon is keeping it quiet he was a compromised sex pat,"(['NYC'], Location((40.7306458, -73.9866136, 0.0)))",en,0.170536,0.113979,0.168333,0.134188,0.467786,"['disgust', 0.467786]"
Adipraze,2017-10-06 20:33,zamboanga siege veteran is new marawi ground commander,"(['Jakarta Capital Region'], Location((-6.1753942, 106.827183, 0.0)))",en,0.066308,0.433505,0.164767,0.092055,0.14932,"['joy', 0.433505]"
ChristineMCNA,2017-10-06 20:32,1 thread ayalowecna returns to marawi in the philippines to uncover some disturbing and distressing 2,"(['The Little Red Dot'], Location((1.3121153, 103.8614649, 0.0)))",en,0.196216,0.123094,0.372723,0.189199,0.128633,"['sadness', 0.372723]"
MuhalifKurtulur,2017-10-06 20:26,40 more unidentified remains buried in marawi philstarnewshttps,,en,0.142002,0.05026,0.462118,0.034298,0.092151,"['sadness', 0.462118]"
Blazingcatfur,2017-10-06 20:16,icymi the philippines is destroying the city of marawi to save it from isis,"(['Humane Society'], Location((38.9788226, -77.0262373, 0.0)))",en,0.219987,0.010208,0.438773,0.231925,0.45811,"['disgust', 0.45811]"
terrorism_info,2017-10-06 20:09,inquirernet  govt troops rescue 17 more hostages in marawi,,en,0.079742,0.027182,0.626243,0.282378,0.109902,"['sadness', 0.626243]"
TheICMP,2017-10-06 20:05,philippines authorities say they have no clear picture of how many people are missing in marawi channelnewsasia,"(['The Netherlands'], Location((36.2992331, -89.751194, 0.0)))",en,0.071506,0.021896,0.833674,0.185432,0.081397,"['sadness', 0.833674]"
ABSCBNNews,2017-10-06 20:05,sniper fire kills soldier in marawi,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.436917,0.016729,0.369718,0.301489,0.223534,"['anger', 0.436917]"
ANCALERTS,2017-10-06 19:50,sniper fire kills soldier in marawi marawiclash,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.436917,0.016729,0.369718,0.301489,0.223534,"['anger', 0.436917]"
PatrickValisno,2017-10-06 19:33,afp says another soldier killed after he was hit by sniper fire in the continuing battle inside marawi city via manilabulletin,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.346744,0.015635,0.605014,0.211074,0.158199,"['sadness', 0.605014]"
PatrickValisno,2017-10-06 19:33,breakingnewsnowafp says total number of daeshinspired maute group terrorists killed in marawi conflict already 753 via manilabulletin,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.348549,0.007558,0.539202,0.314631,0.162849,"['sadness', 0.539202]"
eurasiamap,2017-10-06 19:27,40 more unidentified remains buried in marawi via,,en,0.059901,0.092194,0.5581,0.106639,0.17346,"['sadness', 0.5581]"
HoiPolloiPinoy,2017-10-06 19:26,the rehabilitation fund for marawis complete,,en,0.167748,0.096535,0.040289,0.025793,0.32875,"['disgust', 0.32875]"
rickrick888,2017-10-06 19:16,korean star rain to headlines benefit concert for marawi ngos  cnnphnewsnight live  cnn philippines cnnphili,,en,0.02615,0.546733,0.13979,0.124747,0.037816,"['joy', 0.546733]"
cnnphilippines,2017-10-06 19:11,korean star rain to headlines benefit concert for marawi ngos  cnnphnewsnight live,,en,0.025957,0.596822,0.117159,0.132733,0.031287,"['joy', 0.596822]"
rickrick888,2017-10-06 19:11,insidemarawi military clearing maute tunnels in marawi  cnnphnewsnight live  cnn philippines cnnphilippines,,en,0.037647,0.212356,0.30329,0.215837,0.142628,"['sadness', 0.30329]"
politikovismin,2017-10-06 19:11,authorities buried 40 cadavers in marawi,,en,0.10081,0.118822,0.477968,0.050066,0.056963,"['sadness', 0.477968]"
cnnphilippines,2017-10-06 19:09,insidemarawi military clearing maute tunnels in marawi  cnnphnewsnight live,,en,0.037993,0.248984,0.285603,0.278806,0.147943,"['sadness', 0.285603]"
