bdsaguing,2017-10-13 23:58,retweeted inquirer  inquirerdotnet evacuees cant go home yet even if marawi conflict ends,"(['Rome', ' Italy'], Location((34.257038, -85.1646726, 0.0)))",en,0.10929,0.172198,0.525029,0.169571,0.070618,"['sadness', 0.525029]"
inquirerdotnet,2017-10-13 23:56,evacuees cant go home yet even if marawi conflict ends,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",en,0.105896,0.162591,0.572357,0.170317,0.068508,"['sadness', 0.572357]"
yoshi_nagamine,2017-10-13 23:47,very nice interview of tomoko the japanese head of office at marawi philippines 99,"(['Geneva', ' Switzerland'], Location((42.8689552, -76.9777436, 0.0)))",en,0.017625,0.723188,0.037941,0.021713,0.007271,"['joy', 0.723188]"
steepfunny24,2017-10-13 23:30,marawi relief operation,"(['Davao Region', ' Republic of the'], Location((7.0645241, 125.6084143, 0.0)))",en,0.020034,0.13797,0.010388,0.226896,0.019693,"['fear', 0.226896]"
NokieVillanueva,2017-10-13 23:27,isis our armed forces are in control of marawi they are able to dance baby shark philmarinecorps,,en,0.051393,0.315215,0.058605,0.52107,0.193695,"['fear', 0.52107]"
autorenonline,2017-10-13 23:21,daring rescue of 3 maute hostages in marawi caught oncamera,,en,0.054115,0.104343,0.23944,0.600852,0.165721,"['fear', 0.600852]"
PHCNetworks,2017-10-13 23:15,hapilon dead or alive fighting in marawi intensifies with scout rangerss final assault vs hapilon  marawi,"(['Vancouver', ' British Columbia'], Location((49.2608724, -123.1139529, 0.0)))",en,0.11657,0.243035,0.341591,0.215149,0.167739,"['sadness', 0.341591]"
autorenonline,2017-10-13 23:12,fighting in marawi intensifies with scout rangerss final assault vshapilon,,en,0.133121,0.070878,0.156369,0.347673,0.521698,"['disgust', 0.521698]"
judithpjacob,2017-10-13 23:10,with promises of diamonds and pearls and palaces im betting whoever drafted the is nasheed on marawi was listening to a lot of beyonce,,en,0.076186,0.502919,0.153785,0.030895,0.296608,"['joy', 0.502919]"
AyaPhilippines,2017-10-13 23:04,marawi siege bound to happen bc among other things many leaders can not distinguish criticism from reccomendation,,en,0.044481,0.431265,0.303919,0.1281,0.0065,"['joy', 0.431265]"
DuyogMarawi,2017-10-13 22:55,the duyog marawi communication advocacy team headed by doro abdul mahid usman conducted an interview in madrasa,,en,0.02477,0.21215,0.131449,0.117297,0.09504,"['joy', 0.21215]"
manilainformer,2017-10-13 22:46,defense chief refuses to set marawi deadline thistime,"(['Manila'], Location((14.5906216, 120.9799696, 0.0)))",en,0.409959,0.003414,0.380334,0.321006,0.282278,"['anger', 0.409959]"
