fiestasaquiapo,2017-10-18 23:51,marawi city rehab could cost up to p150 billion  news  gma news  gma news,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.070502,0.147392,0.59446,0.178753,0.068746,"['sadness', 0.59446]"
DarwinBocalbos,2017-10-18 23:22,they lost to the armed forces of the philippines yesterday in marawi city,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.111835,0.006368,0.517563,0.501788,0.217082,"['sadness', 0.517563]"
AbainzaRalph,2017-10-18 23:20,i think that this is not in marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.181151,0.135387,0.233443,0.279106,0.155214,"['fear', 0.279106]"
kalowrie,2017-10-18 23:11,an evacuation camp in lanao del norte in a serene sunset on the first day since marawis liberation,"(['Metro Manila', ' Philippines'], Location((14.5736108, 121.0329706, 0.0)))",en,0.036918,0.582583,0.160645,0.03877,0.062515,"['joy', 0.582583]"
PTVph,2017-10-18 23:10,crisis unites muslims christians marawi prelate,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.223784,0.032069,0.213047,0.235775,0.617681,"['disgust', 0.617681]"
taxreformPH,2017-10-18 23:06,govt may use portion of mighty pal payments for marawi rehab,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.090045,0.045526,0.234871,0.061428,0.046898,"['sadness', 0.234871]"
RealAbiP,2017-10-18 23:01,so if marawi is free then martial law should be lifted na right way to take advantage of a photo op tbh,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.171059,0.511576,0.160668,0.122629,0.058482,"['joy', 0.511576]"
PTVph,2017-10-18 23:00,muslims in baguio welcome liberation of marawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.149909,0.624437,0.054562,0.023575,0.163655,"['joy', 0.624437]"
teddyboylocsin,2017-10-18 22:58,we jailed them after our troops took back marawi was that an opposition idea retaking marawi did hurt its chances,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.134748,0.026708,0.663139,0.243925,0.245677,"['sadness', 0.663139]"
PTVph,2017-10-18 22:42,china to help in marawis postwar rehab,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.018045,0.167003,0.090172,0.042323,0.01706,"['joy', 0.167003]"
gmanews,2017-10-18 22:31,it might take years before residents could return to homes in marawis main battle area,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.061753,0.134395,0.380121,0.177634,0.061842,"['sadness', 0.380121]"
PHLNewsOnline,2017-10-18 22:25,rappler after marawi terror military heightens alert on phindonesia maritime border,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.047082,0.010219,0.091113,0.8764,0.046938,"['fear', 0.8764]"
simplychadwick,2017-10-18 22:24,bulldoze marawi how utterly detached,"(['Cebu', ' Philippines'], Location((10.45, 123.84, 0.0)))",en,0.066076,0.11647,0.140267,0.048695,0.58742,"['disgust', 0.58742]"
PHINewsNet2,2017-10-18 22:23,military pushes to defeat last marawi fighters,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.078939,0.058266,0.579958,0.378851,0.072322,"['sadness', 0.579958]"
AsecMargauxUson,2017-10-18 22:18,8 and when the scout rangers same team who killed omar maute in marawi killed him you honored him w a state funeral in downtown davao,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.307216,0.015185,0.630886,0.126409,0.224767,"['sadness', 0.630886]"
PhilstarNews,2017-10-18 22:14,andanar says there may be need to bulldoze entire marawi ground zero,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.274299,0.18994,0.388967,0.157533,0.081172,"['sadness', 0.388967]"
PHINewsNet2,2017-10-18 22:12,malaysian terrorist could be new is leader in marawi 9,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.155821,0.132323,0.175716,0.531214,0.299169,"['fear', 0.531214]"
ABSCBNNews,2017-10-18 22:10,ph marine corps to hold marathon for marawi troops,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",en,0.04683,0.064038,0.057174,0.087582,0.039625,"['fear', 0.087582]"
cebudailynews,2017-10-18 22:05,duterte marawi city liberated from terrorists,"(['NRA', ' Cebu City', ' Philippines'], Location((39.369933, -120.233522, 0.0)))",en,0.215091,0.047179,0.356032,0.382353,0.18545,"['fear', 0.382353]"
