drryljstn,2017-10-04 23:52,0,1,"drama mo padala kanamin sa marawi eh, dejoke HAHAHAHA",,,,915605561659371520,https://twitter.com/drryljstn/status/915605561659371520
JehanDobs,2017-10-04 23:39,0,2,"Mocha Uson dami issue sa buhay, di naman nakakabawas ng mahihirap sa Pilipinas kung nagselfie ka sa Marawi at nakaboots ka.",,,,915602398701264896,https://twitter.com/JehanDobs/status/915602398701264896
geloalrs,2017-10-04 23:30,0,0,Mukhang csgo kasi to si jam puta gusto gera. Tara marawi!,"(['Las Pi\xc3\xb1as'], Location((14.4806089, 120.9819099, 0.0)))",,,915600035395416064,https://twitter.com/geloalrs/status/915600035395416064
_zeeyaa,2017-10-04 23:10,0,1,grabe naman pagiging friendly mo kel HAHAHAHAHAHA baka mamaya hanggang sa marawi meron ah,,,,915594925684559872,https://twitter.com/_zeeyaa/status/915594925684559872
dengpagong,2017-10-04 22:38,0,0,Hahaha sige akala ko naman nalipat na yung sa marawi,"(['Outer Space'], Location((52.61713175, -1.10132823869, 0.0)))",,,915586863875756034,https://twitter.com/dengpagong/status/915586863875756034
ravienneclaw,2017-10-04 22:23,0,1,"wag na, wag na tayo magkita. ever. hahahahahaha joke lang, basta kumpleto. kahit sa marawi pa. charot","(['puro kpop', ' tweets ko'], Location((45.197113, 5.7333983, 0.0)))",,,915583072149544960,https://twitter.com/ravienneclaw/status/915583072149544960
MMPM_News,2017-10-04 22:08,0,3,Ipinangako ng Pangulo na muli niyang ibabangon ang Marawi City sa oras na matapos na ang labanan # BangonMarawihttp://mmpm.news/2017/10/inaguration-ng-housing-project-sa-marawi-city-dinaluhan-ng-pangulo/#.WdTrHN3IZiA.twitter …,,,# #,915579318515806214,https://twitter.com/MMPM_News/status/915579318515806214
bjboyy1,2017-10-04 22:08,0,0,dili na sya palaagon bay. ipaadto na syag marawi or davao hays tungod sako huhuhu,"(['Cagayan De Oro City'], Location((8.42980265, 124.682410212, 0.0)))",,,915579289881296897,https://twitter.com/bjboyy1/status/915579289881296897
stateofdnation,2017-10-04 21:49,0,0,"Sa pagpapatuloy ng bakbakan sa Marawi, 17 bihag ng Maute-ISIS ang nailigtas ng mga tropa ng gobyerno.","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,915574545947357184,https://twitter.com/stateofdnation/status/915574545947357184
zyra_magtalas,2017-10-04 21:48,0,0,Dala na din yung bahay sa marawi? hahaha antayin na lang namin umuwi,"(['Bulacan', ' Central Luzon'], Location((14.794871, 120.8777119, 0.0)))",,,915574427248582656,https://twitter.com/zyra_magtalas/status/915574427248582656
exoowel,2017-10-04 21:46,1,0,HALA MARAWI SHOXX AHAHAHA https://twitter.com/chansoowifey/status/915570868679360513 …,,,,915573795900989440,https://twitter.com/exoowel/status/915573795900989440
saruhczr,2017-10-04 21:44,0,2,hiram ka muna sa marawi gel,,,,915573259508228097,https://twitter.com/saruhczr/status/915573259508228097
chanyswifey,2017-10-04 21:43,0,0,marawi ndndjsjsns,,,,915573130990542851,https://twitter.com/chanyswifey/status/915573130990542851
Wltrlim,2017-10-04 21:41,0,1,patapon kita sa marawi eh jk HAHAHAHA,"(['Malabon City', ' National Capital'], Location((14.675215, 120.9573738, 0.0)))",,,915572489677189120,https://twitter.com/Wltrlim/status/915572489677189120
maaarielala,2017-10-04 21:40,0,0,Dapat sa ila ilabay sa marawi,,,,915572426393624577,https://twitter.com/maaarielala/status/915572426393624577
delvallerika,2017-10-04 21:32,0,2,Marawi sa sjc (Room ng ABM H) gerahan na diz,"(['Ph'], Location((12.44249325, 122.160395164, 0.0)))",,,915570330076192773,https://twitter.com/delvallerika/status/915570330076192773
AlternativeEU,2017-10-04 21:26,0,0,Für deutsche Medien existiert dieser islamische Terror in Marawi offenbar nicht. Sollen wir nur nicht beunruhigt... http://fb.me/8D13JtyTZ,,,,915568909947895814,https://twitter.com/AlternativeEU/status/915568909947895814
karlanglo,2017-10-04 21:16,0,0,Army ka ba? Padala ka na sa marawi,"(['Cavite City', ' Calabarzon'], Location((14.3575979, 120.577172493, 0.0)))",,,915566293121732608,https://twitter.com/karlanglo/status/915566293121732608
Sxmdgaf,2017-10-04 21:10,0,0,@MARAWI LUUVSS https://twitter.com/ikennette/status/915564246884159488 …,,@MARAWI,,915564785449574402,https://twitter.com/Sxmdgaf/status/915564785449574402
iamsimmon_,2017-10-04 20:55,0,1,Marawi song,,,,915561044671569920,https://twitter.com/iamsimmon_/status/915561044671569920
alexisarandia03,2017-10-04 20:17,0,0,Pang lalaban ko sa marawi yan,,,,915551568530784256,https://twitter.com/alexisarandia03/status/915551568530784256
PTVph,2017-10-04 20:00,1,5,"# SentroBalita: Pagbangon ng mga residente sa krisis sa Marawi City, tinututukan ng pamahalaan https://www.youtube.com/watch?v=w_wJaataEzQ …","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,915547049625501696,https://twitter.com/PTVph/status/915547049625501696
StrategicNews1,2017-10-04 19:56,1,0,Les forces # AFP ont secouru 17 otages (dont 5 enseignants du College Dansalan ) dans la ville de # Marawi. # Philippines,,,# # #,915546233154031616,https://twitter.com/StrategicNews1/status/915546233154031616
paugalay,2017-10-04 19:56,0,2,patapon sa marawi..,"(['dua'], Location((-1.266667, 109.2, 0.0)))",,,915546064551264256,https://twitter.com/paugalay/status/915546064551264256
24OrasGMA,2017-10-04 19:36,1,5,...sa aniya'y pagpasok ni Asec. Uson sa isang mosque sa Marawi City habang naka-boots at sa pagkuha niya ng umano'y selfie habang nasa loob.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,915541237536395264,https://twitter.com/24OrasGMA/status/915541237536395264
EmjieKing,2017-10-04 19:34,2,0,Marawi # SuperMaamPaghaharap,,,#,915540668604227584,https://twitter.com/EmjieKing/status/915540668604227584
RupertCruz28,2017-10-04 19:30,0,1,Ay pasensya na. Mainit kase sa marawi,,,,915539655818280966,https://twitter.com/RupertCruz28/status/915539655818280966
