xbelaxxi,2017-10-23 23:59,0,1,qaqu to ! patapon nakita sa marawi,,,,922492719305338880,https://twitter.com/xbelaxxi/status/922492719305338880,fil
trendinaliaSG,2017-10-23 23:59,0,0,⒈ ⒉ ⒊ ⒋ ⒌ 2017/10/23 23:53 +08 . ng-topics/singapore/singapore-today.html …,"(['Singapore'], Location((1.2904753, 103.8520359, 0.0)))",,#Trump #JapanElection #ADMM #Marawi #Asean #trndnl,922492677576208384,https://twitter.com/trendinaliaSG/status/922492677576208384,fil
bomboradyonaga,2017-10-23 23:50,0,0,Rehabilitasyon,"(['Naga City', ' Bicol Region'], Location((13.6232024, 123.1857873, 0.0)))",,,,,tr
PhoiBaySuThat,2017-10-23 23:49,0,0,Philippines tuyên bố kết thúc cuộc chiến tại thành phố Marawi https:// lippines-tuyen-bo-ket-thuc-cuoc-chien-tai-thanh-pho-marawi/ …,"(['California', ' USA'], Location((36.7014631, -118.7559974, 0.0)))",,,922490230082555904,https://twitter.com/PhoiBaySuThat/status/922490230082555904,vi
bomboradyonaga,2017-10-23 23:49,0,0,Higit 40 terorista,"(['Naga City', ' Bicol Region'], Location((13.6232024, 123.1857873, 0.0)))",,,,,fil
bandila,2017-10-23 23:48,0,0,Bakwit,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,ceb
DAUDFERNANDO123,2017-10-23 23:46,0,0,Filipina Umumkan Pertempuran Melawan ISIS di Marawi Telah Usai - http:// KOMPAS.com http://,"(['Medan'], Location((3.5896654, 98.6738261, 0.0)))",,,922489306530189312,https://twitter.com/DAUDFERNANDO123/status/922489306530189312,ms
AZ_Augsburg,2017-10-23 23:44,0,0,Philippinen: Philippinen beenden Kampf gegen IS-Miliz in Marawi http://,"(['Augsburg'], Location((48.3668041, 10.8986971, 0.0)))",,,922488950555660288,https://twitter.com/AZ_Augsburg/status/922488950555660288,de
DU30natics,2017-10-23 23:41,0,0,Panoorin: Tactics ng military commander ibinunyag para mabawi ang Marawi City: http:// via,"(['Davao Region'], Location((7.0645241, 125.6084143, 0.0)))",@YouTube,,922488078157180929,https://twitter.com/DU30natics/status/922488078157180929,fil
sputnik_polska,2017-10-23 23:40,0,0,ogłosiły wyzwolenie z rąk terrorystów związanych z . https:// d,"(['Moscow', ' Russia'], Location((46.7323875, -117.0001651, 0.0)))",,#Filipiny #Marawi #PI,922487780382449664,https://twitter.com/sputnik_polska/status/922487780382449664,pl
trendinaliaSG,2017-10-23 23:39,0,0,⒈ ⒉ ⒊ ⒋ ⒌ 2017/10/23 23:33 +08 . ng-topics/singapore/singapore-today.html …,"(['Singapore'], Location((1.2904753, 103.8520359, 0.0)))",,#Trump #JapanElection #ADMM #Marawi #Asean #trndnl,922487665018134528,https://twitter.com/trendinaliaSG/status/922487665018134528,fil
spicycorpse,2017-10-23 23:36,0,0,nasa marawi pa sila be,"(['Quezon City'], Location((14.6509905, 121.0486155, 0.0)))",,,922486853369868294,https://twitter.com/spicycorpse/status/922486853369868294,fil
i3ryok,2017-10-23 23:35,0,0,Mga pulis na lumaban sa Marawi may special treat mula kay Dela Rosa - . umaban-sa-marawi-may-special-treat-mula-kay-dela-rosa/ …,,,,922486750072705025,https://twitter.com/i3ryok/status/922486750072705025,fil
patrol_ph,2017-10-23 23:35,0,0,2 arestado sa pagkolekta ng perang kunwari'y para sa Marawi http://,,,,922486667352649728,https://twitter.com/patrol_ph/status/922486667352649728,fil
stateofdnation,2017-10-23 23:34,0,2,VIDEO: Watawat ng Pilipinas,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
stateofdnation,2017-10-23 23:34,0,0,VIDEO: Opensiba ng militar sa Marawi,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
Sdtbrm8Sedat,2017-10-23 23:33,0,0,Filipinler'de Marawi IŞİD’den tamamen temizlendi https:// ce=paylas&utm_campaign=twitter_ust&utm_medium=haber …,,,,922486120981651456,https://twitter.com/Sdtbrm8Sedat/status/922486120981651456,tr
erlindalou,2017-10-23 23:29,0,0,"CHR Marawi FundPiso Para sa Bulsa ni ROB Marawi FundPORK ni Abnoy Marawi FundSecret Jail ni…"" — Mang Kanor http:// u""",,,,922485214491889664,https://twitter.com/erlindalou/status/922485214491889664,fil
keulleooo,2017-10-23 23:21,0,1,I-Witness: 'Balik Marawi,"(['Phillipines'], Location((10.2447856, -61.4561398, 0.0)))",,,,,fil
trendinaliaSG,2017-10-23 23:19,0,0,⒈ ⒉ ⒊ ⒋ ⒌ 2017/10/23 23:13 +08 . ng-topics/singapore/singapore-today.html …,"(['Singapore'], Location((1.2904753, 103.8520359, 0.0)))",,#Trump #JapanElection #ADMM #Marawi #Asean #trndnl,922482626312597504,https://twitter.com/trendinaliaSG/status/922482626312597504,fil
duterte_ism,2017-10-23 23:18,0,0,MAHIGIT 5 BUWANG BAKBAKAN AT PATAYAN SA MARAWI,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
PTVph,2017-10-23 23:15,6,14,| Libreng pabahay para sa mga benepisyaryo ng mga nasawing pulis at sundalo sa Marawi City . mmo3U …,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PTVNEWS,922481498783088640,https://twitter.com/PTVph/status/922481498783088640,fil
