Mrql_mngbs_15,2017-09-20 23:50,1,8,Bakit kaya hindi na lang si Cardo ang ipadala sa Marawi no? Tutal kahit anong engkwentro di pa den naman sya namamatay.,,,,910531741701439489,https://twitter.com/Mrql_mngbs_15/status/910531741701439489
wwmonitor,2017-09-20 23:47,1,2,Philippines: Catholic priest free but over 40 hostages still held in Marawi,"(['UK and US'], Location((54.7023545, -3.2765753, 0.0)))",,# # # #,910530882989150208,https://twitter.com/wwmonitor/status/910530882989150208
TheUrbanNewz2,2017-09-20 23:46,0,0,"Filipino priest, released from captivity, will return to Marawi, work for concord (Fides)","(['world wide'], Location((22.2823025, 114.157860634, 0.0)))",,,910530543107715072,https://twitter.com/TheUrbanNewz2/status/910530543107715072
TheUrbanNewz2,2017-09-20 23:46,0,0,Filipino bishop asks Duterte to allow residents to return to Marawi (Rappler),"(['world wide'], Location((22.2823025, 114.157860634, 0.0)))",,,910530523214127104,https://twitter.com/TheUrbanNewz2/status/910530523214127104
gmanews,2017-09-20 23:46,0,11,Pantao Ragat mayor’s brother among Maute members killed in Marawi —military,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,910530492927217665,https://twitter.com/gmanews/status/910530492927217665
FormTheCulture,2017-09-20 23:40,2,0,"CWN: Filipino priest, released from captivity, will return to Marawi, work for concord (Fides)",,,,910529003957624834,https://twitter.com/FormTheCulture/status/910529003957624834
FormTheCulture,2017-09-20 23:40,1,0,CWN: Filipino bishop asks Duterte to allow residents to return to Marawi (Rappler) C,,,,910528999213850624,https://twitter.com/FormTheCulture/status/910528999213850624
shaineedxle,2017-09-20 23:38,0,0,He's back na fron Marawi!!!! Napaka gwapo mo Doc!!!!!,"(['Manila'], Location((14.5906216, 120.9799696, 0.0)))",,,910528692706623488,https://twitter.com/shaineedxle/status/910528692706623488
gcarinowlk,2017-09-20 23:37,0,0,"And let's not forget the city of Marawi, the people of Marawi. What is the govt and Congress doing? speakeralvarez CongressPH senatePHhttps://","(['Home'], Location((51.8255128, 9.018576, 0.0)))",@ @ @,,910528328699928576,https://twitter.com/gcarinowlk/status/910528328699928576
brynpogii,2017-09-20 23:33,0,0,SAME HERE BRAD PERO HIHINTAYIN KO MAGKAKAROON DIN NG PAG ASA PARANG MARAWI BA NASIRA PERO BUMABANGON ULIT,"(['never give up!'], Location((50.4244681, 30.6646444, 0.0)))",,,910527324260507650,https://twitter.com/brynpogii/status/910527324260507650
mishiiboy,2017-09-20 23:31,0,0,What can you say about the Marawi siege? — Nothing but pray for peace,"(['middle of nowhere'], Location((50.063242, -123.000116, 0.0)))",,,910526879060385794,https://twitter.com/mishiiboy/status/910526879060385794
zicrage76x,2017-09-20 23:31,0,0,Simpleng brutal sa marawi pero mga bata nla yan...,,,,910526869119762432,https://twitter.com/zicrage76x/status/910526869119762432
joeyblatagan,2017-09-20 23:29,0,0,"Gulo sa Marawi, nag-ugat umano sa pagkadismaya sa gobyerno","(['Dubai'], Location((2.9470179, 30.961206, 0.0)))",,,910526225239629824,https://twitter.com/joeyblatagan/status/910526225239629824
ZamYusa,2017-09-20 23:23,3,2,IslamicState emir-designate for SE Asia Isnilon Hapilon trapped in Marawi. My report. MarawiClash ISIS ISIL,"(['Kuala Lumpur', ' Malaysia'], Location((0.642715, 122.5909774, 0.0)))",,# # # # #,910524868591890432,https://twitter.com/ZamYusa/status/910524868591890432
JDRevolutionary,2017-09-20 23:20,0,0,At tama na yang bait-baitan mo. Gabriela member ka lang pag kelangan mo ng exposure. Pumunta ka lang Marawi kasi nagpapaawa ka lang sa tao,,,,910524130394480645,https://twitter.com/JDRevolutionary/status/910524130394480645
zicrage76x,2017-09-20 23:20,0,0,Matagal na yPos marawi atras na simula ng bombs lang.tang INA ka sinungaling,,,,910524087268663298,https://twitter.com/zicrage76x/status/910524087268663298
zicrage76x,2017-09-20 23:19,0,0,Sabihin mo Malang tapos na marawi pero dimo alam paano nangyare,,,,910523764491804672,https://twitter.com/zicrage76x/status/910523764491804672
zicrage76x,2017-09-20 23:15,0,0,Sakin lang marawi matagal na ok kaso ginagago tayo,,,,910522914167861248,https://twitter.com/zicrage76x/status/910522914167861248
hnbllns,2017-09-20 23:15,0,1,Yung pinaghahampas ko yung mga puppies sa panaginip ko kanina BAD KA YNNA WALA KA MAGAWANG MATINO PAPATAPON NA KITA SA MARAWI,,,,910522800351281153,https://twitter.com/hnbllns/status/910522800351281153
zicrage76x,2017-09-20 23:15,0,0,Tapos marawi destroy bakit ano pakana mo pagtapos,,,,910522771406340096,https://twitter.com/zicrage76x/status/910522771406340096
Joandulys,2017-09-20 23:11,0,0,"ASIA/PHILIPPINES - Fr. Chito, released in Marawi: the seizure was God's will""""","(['Tucson', ' Arizona'], Location((32.2218917, -110.9262353, 0.0)))",,,910521772532932608,https://twitter.com/Joandulys/status/910521772532932608
TheBaseLeg,2017-09-20 23:11,23,28,Nothing says your armed forces are under-equipped like your army rangers using an improvised slingshot to lob grenades Marawi,"(['Melbourne', ' Australia'], Location((-37.8142176, 144.9631608, 0.0)))",,# #,910521760679788544,https://twitter.com/TheBaseLeg/status/910521760679788544
_ktynn,2017-09-20 23:09,0,1,Ang pagsabak ng students bukas sa kanilang univ. ay parang pagpapadala sakanila sa marawi,"(['Mass Communication \xc2\xa0\xf0\x9f\x8e\xa6'], Location((-1.31071945, 36.8301943608, 0.0)))",,,910521207656607744,https://twitter.com/_ktynn/status/910521207656607744
fmtoday,2017-09-20 23:02,1,0,Report: Abu Sayyaf leader trapped in Marawi City,"(['\xc3\x9cT: 3.099457', '101.681025'], Location((47.8754752, -93.8189718, 0.0)))",,,910519462767374336,https://twitter.com/fmtoday/status/910519462767374336
katebasco,2017-09-20 23:01,0,0,"We continuously pray for the victims of ejk and other cruelty, also for peace for our country specially in Marawi","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,# #,910519256525062144,https://twitter.com/katebasco/status/910519256525062144
DavidAnanth,2017-09-20 23:01,0,0,- Report: Abu Sayyaf leader trapped in Marawi City,"(['Kuala Lumpur', ' Malaysia'], Location((0.642715, 122.5909774, 0.0)))",,,910519222509428737,https://twitter.com/DavidAnanth/status/910519222509428737
noclador,2017-09-20 23:00,3,1,I am old enough to remember when the Philippines' government said it would take mere days and would be easy to take back Marawi...,"(['Planet Mars'], Location((47.7478023, -3.3604732, 0.0)))",,# #,910519131413327874,https://twitter.com/noclador/status/910519131413327874
ArmyComplex,2017-09-20 22:55,0,3,Philippine Scout Rangers use giant slingshot to bombard enemy positions in Marawi - army,,,# #,910517775776526338,https://twitter.com/ArmyComplex/status/910517775776526338
inquirerdotnet,2017-09-20 22:50,1,2,ICYMI: New armed group after IS-inspired terrorists in Marawi,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,,910516497533083650,https://twitter.com/inquirerdotnet/status/910516497533083650
ImSaaaishy,2017-09-20 22:48,0,2,"So scary hahahaha so palavarn talaga ng beshy ko, dapat eto yung pinapadala sa marawi eh hahahahahahaha ncllzd_pic",,@,,910516117306720257,https://twitter.com/ImSaaaishy/status/910516117306720257
PHLNewsOnline,2017-09-20 22:40,0,0,[GMA News] Pantao Ragat mayor's brother among Maute members killed in Marawi --military 1,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,910514022209982464,https://twitter.com/PHLNewsOnline/status/910514022209982464
Sh_____d,2017-09-20 22:37,3,2,نورعيني هاشميه فديييييتك ياعمري غلاتك وحبك هنا ....,,,,910513354858549248,https://twitter.com/Sh_____d/status/910513354858549248
Marawi_44,2017-09-20 22:35,0,0,اللهم ارحمنا فإنك بنا راحم ولا تعذبنا فأنت علينا قادر,,,,910512844936028162,https://twitter.com/Marawi_44/status/910512844936028162
zeniasaur,2017-09-20 22:35,0,0,Grabe pala yung nangyayari sa Marawi,"(['Jupiter'], Location((26.9266939, -80.1220891181, 0.0)))",,,910512805043781632,https://twitter.com/zeniasaur/status/910512805043781632
phnews24x7,2017-09-20 22:34,0,0,Pantao Ragat mayors brother among Maute members killed in Marawi --military |,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,910512482774523906,https://twitter.com/phnews24x7/status/910512482774523906
0ryuge,2017-09-20 22:33,0,0,Priest rescued as Philippine troops retake Marawi mosque Rantburg WarOnTerror ryuge 20September2017,"(['Arizona'], Location((34.395342, -111.7632755, 0.0)))",,# # # #,910512323655172102,https://twitter.com/0ryuge/status/910512323655172102
PHINewsNet2,2017-09-20 22:30,0,1,New armed group after IS-inspired terrorists in Marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,910511375742509056,https://twitter.com/PHINewsNet2/status/910511375742509056
sydeneri,2017-09-20 22:28,0,1,"Hahaha bitaw, marawi jud sya e assign ako g read haha pero taas kau ilang qualification. Mag masteral sako haha","(['C.D.O.'], Location((-17.9352177, -67.1183453, 0.0)))",,,910510984090894338,https://twitter.com/sydeneri/status/910510984090894338
bandila,2017-09-20 22:26,3,3,"Pista ng 'pakanaog' ni San Miguel Arkanghel, mas makahulugan ngayon para sa mga taga-Iligan dahil sa bakbakan sa Marawi","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,910510398809374721,https://twitter.com/bandila/status/910510398809374721
hazelnsm,2017-09-20 22:24,1,1,"May remake ng DOTS??? So ano, dun sa Marawi yung Urk?",,,,910509951394603008,https://twitter.com/hazelnsm/status/910509951394603008
Legincute,2017-09-20 22:22,0,0,"kung s tingin mo si Tandang Tukayo mo ay walang magagawa sa Marawi, eh anong silbi ang pagsama nya sa Rally?png FB lng?",,,,910509520631218176,https://twitter.com/Legincute/status/910509520631218176
jimpanzee_,2017-09-20 22:12,0,1,Anong gagawin niya sa Marawi? Lalaban sa imaginary Maute? May aircon na pala sa Luneta???,,,,910507045958303745,https://twitter.com/jimpanzee_/status/910507045958303745
DSI666,2017-09-20 22:11,0,0,good.ninght important you.are safe.just.showing my dad your photos at Marawi,,,,910506598421823488,https://twitter.com/DSI666/status/910506598421823488
Herrreza,2017-09-20 22:03,6,4,Yg jelas ada itu Curut Khilafah dan Belatung ISIS. Ingat Waspada Purba Wisesa. Apa tunggu Kejadian kayak Marawi dulu,,,,910504656668786689,https://twitter.com/Herrreza/status/910504656668786689
fiestasaquiapo,2017-09-20 22:02,0,0,Marawi priest Chito Suganob rescued from Maute captors - Banat,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,910504538867716096,https://twitter.com/fiestasaquiapo/status/910504538867716096
JsonSants,2017-09-20 21:59,0,2,para akong nakipag bugbugan sa marawi hahahhaa sakit ng katawan ko,"([""i'm lost""], Location((42.6392363, -72.8878879, 0.0)))",,,910503640099561473,https://twitter.com/JsonSants/status/910503640099561473
jessicaxdagdag,2017-09-20 21:52,0,0,Grabe na sa Marawi. Wala nang pagkakaiba sa ibang bansa,,,,910501800209408001,https://twitter.com/jessicaxdagdag/status/910501800209408001
cymounefrancis,2017-09-20 21:47,0,0,PAPUPUNTAHIN KONG MARAWI YON HAHAHAHAHAHA SIMULAN MO NA KASIII HAHAHAHHAA,"(['sa court'], Location((51.8017186, -4.9896955, 0.0)))",,,910500685749219328,https://twitter.com/cymounefrancis/status/910500685749219328
bandila,2017-09-20 21:44,1,9,"Pista ng 'pakanaog' ni San Miguel Arkanghel, mas makahulugan ngayon para sa mga taga-Iligan dahil sa bakbakan sa Marawi","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,910499933593071616,https://twitter.com/bandila/status/910499933593071616
eliseinwndrlnd,2017-09-20 21:44,0,0,Marawi documentary,,,,910499803548704768,https://twitter.com/eliseinwndrlnd/status/910499803548704768
KEENabalyo,2017-09-20 21:42,0,2,Qiqil mo si acqouh PE dance for Marawi pero cha-cha? Okay kalang PE?,,,,910499532290400258,https://twitter.com/KEENabalyo/status/910499532290400258
jvejercito,2017-09-20 21:41,1,12,Basil Valdez performing at the San Juan para sa Marawi concert at the San Juan Flying V Arena. marawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,910499053061922816,https://twitter.com/jvejercito/status/910499053061922816
natashya_g,2017-09-20 21:37,33,71,"Goodnight, Philippines. As you sleep soundly tonight, please don't forget those fighting for your freedom and safety. Marawi","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,#,910498143132721158,https://twitter.com/natashya_g/status/910498143132721158
