K0RSAINDONEISA,2017-09-03 23:59,2,0,"ISIS jd kan Konflik rohingya cara Mentimur tengahkan Asia tenggara setelah berhasil di marawi, geografis Indonesia ada ditengah Wil konflik.",,,,904373211667640320,https://twitter.com/K0RSAINDONEISA/status/904373211667640320
CarlOligo,2017-09-03 23:42,0,0,Pwede ba daw iproxy nalang sila didto sa warzone sa marawi para mahappy pd ta sa ila miski kaisa lang,,,,904369124490436608,https://twitter.com/CarlOligo/status/904369124490436608
yudhapati88,2017-09-03 23:39,0,1,"Sempat kmaren setaon dese Ata Ullah di Marawi, Philippine..","(['Belongs to you..'], Location((12.9120498, 80.2287526329, 0.0)))",,,904368364893593602,https://twitter.com/yudhapati88/status/904368364893593602
renepatti,2017-09-03 23:33,2,2,"tidak ada jejak RI bisa dorong ASEAN proaktif, level diplomasi RI skrg masih di kelas bulu"" dlm persoalan Marawi jelas lepas kendali https://twitter.com/amnestyindo/status/904235238045360128 …""","(['\xc3\x9cT: -6.278847', '106.707518'], Location((52.226391, 31.382824, 0.0)))",,,904366712849440768,https://twitter.com/renepatti/status/904366712849440768
ReymariReyes,2017-09-03 23:31,0,0,tama na pagnanasa kay daniel oy pati marawi nadadamay,"([""\xc2\xa0\xf0\x9f\x93\x8dMacLaren's Pub""], Location((41.6904873, 44.808715, 0.0)))",,,904366327116087296,https://twitter.com/ReymariReyes/status/904366327116087296
mikkooooow,2017-09-03 23:20,0,2,"Ngayon sinasabi na ang lupa sa Marawi ay 70% military reservation. Paano? Bago pa dumating mga Español dinipensahan na namin ang Marawi""""",,,,904363603276439554,https://twitter.com/mikkooooow/status/904363603276439554
jaeirusdevera,2017-09-03 23:18,0,0,Ayon! Na nganak na nga pala 'yung kalabaw at isinunod ko sa pangalan mo. Dyan ba sa Marawi bhosxz? Kamusta ang bombahan? Hahaha,"(['philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,904363009002299394,https://twitter.com/jaeirusdevera/status/904363009002299394
TheArieAir,2017-09-03 23:14,0,3,"Kalau membantu Rohingya, maka apakah kita juga harus membantu pemberontak di Marawi yg juga terkait ISIS?","(['Denpasar Barat', ' Indonesia'], Location((-8.66253525, 115.198078012, 0.0)))",,,904361949009346562,https://twitter.com/TheArieAir/status/904361949009346562
mikaelaandreax,2017-09-03 22:41,0,0,ako pa hahaha pero ayaw ko. di ako naghahanap ng gulo. baka mapadala pako sa marawi ng di oras eh,,,,904353648662142976,https://twitter.com/mikaelaandreax/status/904353648662142976
mikkooooow,2017-09-03 22:40,0,4,"Ang pinakamasakit, kami na ang siniraan ng buhay at ng kinabukasan pero pinaratangan pa kaming may kasalanan na may ISIS sa marawi""""",,,,904353500020097024,https://twitter.com/mikkooooow/status/904353500020097024
