tambaysapayag,2017-09-05 23:49,0,0,Awit sa Marawi [Esang] Keziah version ... http://,"(['mahaplag', ' leyte', ' philippines'], Location((10.58255, 124.988459133, 0.0)))",,#Buwanngwika2017 #buwanngwika #wikangmapagbago #wikangpbansa #presentasyon,905095578203209728,https://twitter.com/tambaysapayag/status/905095578203209728,uz
Fullblastnow,2017-09-05 23:40,0,0,May nakulong ba? E baka sa marawi dilawan na naman.. dios ko,,,,905093320057143296,https://twitter.com/Fullblastnow/status/905093320057143296,fil
MglRzc,2017-09-05 23:31,0,5,Kadete pa lang ho ako di pa ako ipadala sa Marawi salamat sa concern niyo,"(['Baguio City', ' Cordillera Admin'], Location((14.6481727, 121.0315073, 0.0)))",,,905091029388234753,https://twitter.com/MglRzc/status/905091029388234753,fil
elmer0224,2017-09-05 23:27,0,0,Yung mga supporters ng China dyan,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
naialeyfernandz,2017-09-05 23:26,0,0,nilikezone moko kanina tas ngayon magpapaalam kang matutulog kana qaqo kaba sarap mo hagis sa marawi tanginamo,,,,905089878005653508,https://twitter.com/naialeyfernandz/status/905089878005653508,fil
kiefshi1056,2017-09-05 23:25,0,0,di ba dapat ipadala sa marawi para magising,,,,905089517677199360,https://twitter.com/kiefshi1056/status/905089517677199360,fil
regio_semper,2017-09-05 23:16,0,0,marawi sa ating dalawa~ lmao,"(['The Sinclairs', ' Route 61', ' Ashland', ' Pennsylvania'], Location((54.28350425, -0.404030972262, 0.0)))",,,905087343496794112,https://twitter.com/regio_semper/status/905087343496794112,fil
NewsRmn,2017-09-05 23:16,2,1,LOOK: 12 na eskwelahan sa Marawi City,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
tampororotttt,2017-09-05 23:16,0,0,Kaloka SA marawi talaga,,,,905087223871266816,https://twitter.com/tampororotttt/status/905087223871266816,fil
dzxl558_rea,2017-09-05 23:11,1,0,12 eskwelahan sa Marawi City binuksan na para sa klase ng mga estudyante-AFP,"(['National Capital Region'], Location((14.5736108, 121.0329706, 0.0)))",@NewsRmn @erelcabatbat,,905086054855622656,https://twitter.com/dzxl558_rea/status/905086054855622656,fil
elvenezolanohou,2017-09-05 23:07,0,0,Estados Unidos anuncia 14,"(['Houston', ' TX'], Location((29.7589382, -95.3676974, 0.0)))",,,,,es
KPop_EdMay,2017-09-05 22:59,0,0,RT Suna: Si Suna Nakahara ay Demanding at nasa marawi Ako ay isa paring robot hahahah,"(['Manila City'], Location((14.5906216, 120.9799696, 0.0)))",,#PushAwardsMayWards,905082867532881921,https://twitter.com/KPop_EdMay/status/905082867532881921,fil
dzxl558_rea,2017-09-05 22:58,1,0,27 bangkay nahukay sa main battle area sa marawi city-AFP,"(['National Capital Region'], Location((14.5736108, 121.0329706, 0.0)))",@NewsRmn @erelcabatbat,,905082729779281920,https://twitter.com/dzxl558_rea/status/905082729779281920,fil
spinsterAtashi,2017-09-05 22:52,67,2,Si Suna Nakahara ay Demanding at nasa marawi Ako ay isa paring robot hahahah,"(['All Blue'], Location((33.3319468, -86.7204435, 0.0)))",,#PushAwardsMayWards,905081171712860162,https://twitter.com/spinsterAtashi/status/905081171712860162,fil
Chintami07,2017-09-05 22:50,0,0,Perangi ISIS di Marawi,,,,,,ms
darebitch69,2017-09-05 22:45,0,0,Dalhin sa marawi to nasisiraanq na hahahahahahhhahahaha https:// /status/905079070710308864 …,,,,905079567689277440,https://twitter.com/darebitch69/status/905079567689277440,fil
rvntrpa,2017-09-05 22:45,0,1,Marawi sabay sabay nating ibabangon pawer,,,,905079406128914432,https://twitter.com/rvntrpa/status/905079406128914432,fil
