cebudailynews,2017-09-04 23:45,bringing the colors back to marawi,"([Cebu City, Cebu, Central Visayas, Philippines], Location((10.3090298,10.3090298)))",en,0.030159,0.286308,0.101022,0.062327,0.013947,"['joy', 0.286308]"
atonibaicebu,2017-09-04 23:42,we are on the ground providing lifesaving assistance and protection to families displaced by conflict in marawi,"([Cebu City, Cebu, Central Visayas, Philippines], Location((10.3090298,10.3090298)))",en,0.03037,0.153417,0.149362,0.010717,0.022491,"['joy', 0.153417]"
archieherrera,2017-09-04 23:25,i liked a youtube video marawi news latest update day 102th day september 2 2017,"([Manila, Fifth District, Manila, Metro Manila, Philippines], Location((14.5906216,14.5906216)))",en,0.117115,0.276821,0.414065,0.075369,0.032802,"['sadness', 0.414065]"
PhilippinesLN,2017-09-04 23:23,child soldiers marawi terrorists sending women and children into battle via,"([Central Luzon, Philippines], Location((15.39091185,15.39091185)))",en,0.173191,0.025174,0.372939,0.374976,0.380089,"['disgust', 0.380089]"
upcmandaue,2017-09-04 22:42,marawi battle casualties get mental health and psychosocial support services  ateneo de davao university  davao u,"([Mandaue, Cebu, Central Visayas, 6014, Philippines], Location((10.3437068,10.3437068)))",en,0.092085,0.11819,0.592993,0.142062,0.054141,"['sadness', 0.592993]"
inquirerdotnet,2017-09-04 22:35,dnd to study bid to distribute lots from afp reservation in marawi  fmangosinginq,"([Makati City., 122, Valero, Salcedo, Bel-Air, Makati, District I, Makati, Metro Manila, 1227, Philippines], Location((14.5591272,14.5591272)))",en,0.106223,0.27644,0.280134,0.047165,0.007684,"['sadness', 0.280134]"
inquirer_libre,2017-09-04 22:30,look robin padilla sells humvee rv bus to raise funds for marawi aid,"([Philippines], Location((12.7503486,12.7503486)))",en,0.101811,0.07461,0.111044,0.030502,0.524927,"['disgust', 0.524927]"
GaryDVHilario,2017-09-04 22:21,returning heroes on our way to marawi we chanced upon these gallant soldiers who were once,"([Quezon City, District IV, Quezon City, Metro Manila, 1100, Philippines], Location((14.6509905,14.6509905)))",en,0.044643,0.630185,0.129298,0.046938,0.071736,"['joy', 0.630185]"
pentagonph10,2017-09-04 22:03,1 universeforpeace mission 1 unicef marawi donation drive form and faq here  goal  p100 dday  sept,"([Philippines], Location((12.7503486,12.7503486)))",en,0.068378,0.303642,0.053163,0.038564,0.027227,"['joy', 0.303642]"
barnabychuck,2017-09-04 22:00,spent a few hours tonight with filipino soldiers in marawi they ate crackers for dinner and theyll sleep on concrete floor amid debris,"([Manila, Fifth District, Manila, Metro Manila, Philippines], Location((14.5906216,14.5906216)))",en,0.177758,0.195995,0.301263,0.309312,0.246486,"['fear', 0.309312]"
interaksyon,2017-09-04 21:37,army says soldiers taking fire from women children in marawi battle,"([Philippines], Location((12.7503486,12.7503486)))",en,0.327981,0.035735,0.403956,0.163231,0.378161,"['sadness', 0.403956]"
inquirerdotnet,2017-09-04 21:28,fully healed marawi soldiers returning to duty get free flights d,"([Makati City., 122, Valero, Salcedo, Bel-Air, Makati, District I, Makati, Metro Manila, 1227, Philippines], Location((14.5591272,14.5591272)))",en,0.153531,0.179306,0.394577,0.267687,0.022437,"['sadness', 0.394577]"
EdgeDavao,2017-09-04 21:19,bangon marawi funds inclusion in budget asked senate president protempore ralph recto on monday said that inste,"([Davao City, Davao, Philippines], Location((7.22650725,7.22650725)))",en,0.416051,0.044228,0.157248,0.069213,0.478919,"['disgust', 0.478919]"
PhilippineStar,2017-09-04 20:30,govt eyes supplemental budget for marawi 8,"([Philippines], Location((12.7503486,12.7503486)))",en,0.101989,0.014509,0.695677,0.145024,0.190728,"['sadness', 0.695677]"
SHEkin143,2017-09-04 20:13,to marawi or not,"([Davao City, Davao, Philippines], Location((7.22650725,7.22650725)))",en,0.08686,0.174219,0.151545,0.093654,0.072945,"['joy', 0.174219]"
kcmpnews,2017-09-04 20:12,cebu pacific air offers free flight to wounded in action wia military and police personnel in marawi stories d,"([Philippines], Location((12.7503486,12.7503486)))",en,0.164831,0.064003,0.214331,0.216267,0.545011,"['disgust', 0.545011]"
DailyStarPH,2017-09-04 19:52,marawi a truly filipino city  manila bulletin news ,"([Philippines], Location((12.7503486,12.7503486)))",en,0.011672,0.213154,0.356649,0.009446,0.123531,"['sadness', 0.356649]"
gmanews,2017-09-04 19:41,look tornado appears to form near marawi city lake lanao,"([Philippines], Location((12.7503486,12.7503486)))",en,0.023053,0.157296,0.16306,0.139894,0.063086,"['sadness', 0.16306]"
NiklimLim,2017-09-04 19:35,first the mosque then the hostages  now the women and child warriorslooks like the war in marawi will never end,"([Philippines], Location((12.7503486,12.7503486)))",en,0.268924,0.101937,0.260726,0.254584,0.423843,"['disgust', 0.423843]"
UNHCRPh,2017-09-04 19:30,apipa opened her home to relatives who fled marawi now more than 25 people stay there where there is electricity but no running water,"([Philippines], Location((12.7503486,12.7503486)))",en,0.067112,0.039449,0.20912,0.514579,0.37422,"['fear', 0.514579]"
marit_cabugon,2017-09-04 19:13,uniformed women assist marawi on eidl adha philstarnewshttpsud,"([Cebu City, Cebu, Central Visayas, Philippines], Location((10.3090298,10.3090298)))",en,0.00518,0.048909,0.011677,0.002138,0.017005,"['joy', 0.048909]"
