mgapinoyhugot,2017-06-22 18:11,43,56,"Masyado kang maraming pinaglalaban, try mo jumoin sa Marawi.",,,,877831407673810944,https://twitter.com/mgapinoyhugot/status/877831407673810944
ofathurahman,2017-07-08 07:53,13,11,"Repost: artikel ini mengharap agar kt belajar dr Marawi, mewaspadai paham radikal yg tdk sj mngancam kemanusiaan, tp jg kbdyaan n peradaban. pic.twitter.com/wK7r1hkfnk",,,,883474141508116480,https://twitter.com/ofathurahman/status/883474141508116480
jrenderez,2017-07-08 07:47,0,0,Women in the frontlines in Marawi City http://fb.me/3J84xIRWM,,,,883472531323092993,https://twitter.com/jrenderez/status/883472531323092993
i3ryok,2017-07-08 07:47,0,0,WATCH | Weather foils Duterte’s attempted visit to Marawi | News5 - http://www.newsportal.ph/watch-weather-foils-dutertes-attempted-visit-to-marawi-news5/ …pic.twitter.com/RV13XqMkJE,,,,883472457994088449,https://twitter.com/i3ryok/status/883472457994088449
PHLNewsOnline,2017-07-08 07:45,0,0,[News5] WATCH | Weather foils Duterte’s attempted visit to Marawi https://goo.gl/fb/bECdvx,,,,883472132499529728,https://twitter.com/PHLNewsOnline/status/883472132499529728
AksyonTV,2017-07-08 07:45,0,0,WATCH | Weather foils Duterte’s attempted visit to Marawi: ... https://goo.gl/fb/tJxdij # breakingnews,,,#,883472131752939520,https://twitter.com/AksyonTV/status/883472131752939520
charlottejen24,2017-07-08 07:45,0,1,Wearing # supportourtroops shirt to show the support to all the soldiers who is battling in Marawi City.Their batlle is also our battle. pic.twitter.com/veoeqRnvkr,,,#,883472127080374272,https://twitter.com/charlottejen24/status/883472127080374272
allenonline247,2017-07-08 07:43,0,0,'Buhay pa kami': Dispatches from Marawi | ABS-CBN News http://news.abs-cbn.com/specials/dispatches-from-marawi#.WWAcoxyodBA.twitter …,,,#,883471605510291456,https://twitter.com/allenonline247/status/883471605510291456
TerrorEvents,2017-07-08 07:42,15,2,# Philippines # Marawi - Notice he still claims the attack in # Manila was carried out by # IS.,,,# # # #,883471352434446336,https://twitter.com/TerrorEvents/status/883471352434446336
TerrorEvents,2017-07-08 07:41,25,6,# Philippines # Marawi - Mew statement by the # IS soldier who has been reporting since the beginning of the Marawi City siege. pic.twitter.com/wutwFiduBA,,,# # #,883471133240049668,https://twitter.com/TerrorEvents/status/883471133240049668
jpnncom,2017-07-08 07:41,0,0,Presiden Ogah Terima Ajakan Berdamai # Marawi http://jpnn.com/news/presiden-ogah-terima-ajakan-berdamai …,,,#,883470943212912640,https://twitter.com/jpnncom/status/883470943212912640
JbnnChua,2017-07-08 07:36,0,0,Sino ba yang malandi na yan ? padala naten yan sa marawi . haha,,,,883469910113832961,https://twitter.com/JbnnChua/status/883469910113832961
Philtizen,2017-07-08 07:35,0,0,"WATCH: Pres. Duterte, clad in military attire, comments on his inability to visit Marawi due to bad weather.... http://fb.me/8IURWg4lC",,,,883469506911367168,https://twitter.com/Philtizen/status/883469506911367168
Nicochan33,2017-07-08 07:33,0,0,Philippines' President Rodrigo Duterte 'not aware' of US forces joining battle in besieged city of Marawi http://crwd.fr/2s2OUhm pic.twitter.com/nSQOxKQfYa,,,,883468933273178116,https://twitter.com/Nicochan33/status/883468933273178116
beatlesjad,2017-07-08 07:32,0,0,@ inquirerdotnet Female soldiers show bravery in Marawi combat zone http://newsinfo.inquirer.net/911711/female-soldiers-show-bravery-in-marawi-combat-zone …,,@,,883468907813761024,https://twitter.com/beatlesjad/status/883468907813761024
Vikthorski,2017-07-08 07:32,0,0,Bad weather foils another Duterte visit to Marawi http://fb.me/wm8QoGlE,,,,883468884040269825,https://twitter.com/Vikthorski/status/883468884040269825
jleadventures,2017-07-08 07:29,1,2,Celebrate my birthday tonight at concrete cowboy! please help raise money for the families and children of Marawi https://www.gofundme.com/164s7s,,,,883468166470529028,https://twitter.com/jleadventures/status/883468166470529028
politikomanila,2017-07-08 07:29,0,0,Kit Belmonte paves way for blanket donations to Marawi http://metromanila.politics.com.ph/2017/07/07/kit-belmonte-paves-way-blanket-donations-marawi/ …,,,,883467919035944961,https://twitter.com/politikomanila/status/883467919035944961
BalAnjongPong,2017-07-08 07:25,0,0,"War freak talaga , porma lang yan , hindi nya mahal maranaw, pinadurog nya marawi https://twitter.com/gmanews/status/883285215354933248 …",,,,883466933651165184,https://twitter.com/BalAnjongPong/status/883466933651165184
disasters_ph,2017-07-08 07:24,0,0,'Suicide Squad' braves bullets to rescue trapped civilians in Marawi City - Manila Bulletin http://bit.ly/2tSCWds,,,,883466701714673664,https://twitter.com/disasters_ph/status/883466701714673664
teddyboylocsin,2017-07-08 07:23,3,23,I tell them here about Marawi and give your insights. They don't know anything here.,,,,883466565513084929,https://twitter.com/teddyboylocsin/status/883466565513084929
teddyboylocsin,2017-07-08 07:21,0,12,No reason to start in Marawi. It is cleaned up. Start in Metro Mila where drug trade rife & Jihadis will soon strike.No MetroMla ID no entry,,,,883465991140847616,https://twitter.com/teddyboylocsin/status/883465991140847616
VictorKvert2008,2017-07-08 07:18,0,1,Philippine President Duterte visits military camp near Marawi http://u.afp.com/48Qd pic.twitter.com/Kg460r44xc,,,,883465302062845954,https://twitter.com/VictorKvert2008/status/883465302062845954
Ain0218,2017-07-08 07:17,0,0,"*QURBAN KASIH MARAWI* Tahukah anda, masih ramai lagi saudara kita di Nusantara yang sedang… https://www.instagram.com/p/BWQ3Ni5FHa7/",,,,883464968838017029,https://twitter.com/Ain0218/status/883464968838017029
Catholic_Radio,2017-07-08 07:13,0,0,Cardinal Tagle urges Muslim-Christian unity amid Marawi conflict - Vatican Radio http://ift.tt/2tSB9oK # NewEvangelization,,,#,883463928038260737,https://twitter.com/Catholic_Radio/status/883463928038260737
JegoRagragio,2017-07-08 07:10,18,50,Seems that the weather in Marawi was fine the day Duts claimed he couldn't enter it. Is Duterte averse to sunlight?,,,,883463201064493056,https://twitter.com/JegoRagragio/status/883463201064493056
JJSorianoPH,2017-07-08 07:03,0,0,'Buhay pa kami': Dispatches from Marawi | ABS-CBN News http://fb.me/4jRVnIU5x,,,,883461606474166275,https://twitter.com/JJSorianoPH/status/883461606474166275
nicgoesonline,2017-07-08 07:02,0,0,Panoorin ang pangalawang attempt ni President @ Rody Duterte na magpunta sa Marawi base sa salaysay ng @ Mocha... http://fb.me/3m6Aqoaqk,,@ @,,883461275505885184,https://twitter.com/nicgoesonline/status/883461275505885184
AnlaboTsong,2017-07-08 07:02,0,1,Pangalawang beses na po na sinubukan ni Tatay Digong na pumunta ng Marawi ngunit hindi ito pinahihintulutan ng... http://fb.me/7DLYipEnB,,,,883461160955072513,https://twitter.com/AnlaboTsong/status/883461160955072513
Philtizen,2017-07-08 07:01,0,0,"President Rody Duterte on Friday made another attempt to visit Marawi City, this time wearing military fatigues. http://fb.me/8jU5PBHEV",,,,883460915667939328,https://twitter.com/Philtizen/status/883460915667939328
Balitaph,2017-07-08 07:00,0,0,"Paunang 3,000 tent sa ibabangong Marawi http://balita.net.ph/2017/07/08/paunang-3000-tent-sa-ibabangong-marawi/ …",,,,883460708079370240,https://twitter.com/Balitaph/status/883460708079370240
jpnncom,2017-07-08 07:00,2,3,"Semua Gedung Hancur Karena Perang, Kecuali Masjid Ini # Marawi http://jpnn.com/news/semua-gedung-hancur-karena-perang-kecuali-masjid-ini …",,,#,883460629171806208,https://twitter.com/jpnncom/status/883460629171806208
ZrzyiDJxxA1XdAU,2017-07-08 06:58,1,0,اي عيد تقصدين,,,,883460286023421952,https://twitter.com/ZrzyiDJxxA1XdAU/status/883460286023421952
Karlculations,2017-07-08 06:57,0,0,"Uhmmm... T ano na ni? Free Marawi, Free Education and Free 20 grams sa Bonakid 3 plus.",,,,883460005583699968,https://twitter.com/Karlculations/status/883460005583699968
ivykrabye,2017-07-08 06:55,1,2,takot si pdut pumunta ng marawi. Duwag!,,,,883459571364311041,https://twitter.com/ivykrabye/status/883459571364311041
ConceptGrp,2017-07-08 06:54,0,0,Marawi hostages forced to fight alongside terrorists: AFP http://bit.ly/2tVyqKT,,,,883459354548084737,https://twitter.com/ConceptGrp/status/883459354548084737
ANCALERTS,2017-07-08 06:54,0,3,Marawi hostages forced to fight alongside terrorists: AFP http://bit.ly/2tVyqKT,,,,883459213644541952,https://twitter.com/ANCALERTS/status/883459213644541952
newslineph,2017-07-08 06:52,0,1,"president Du30 enjoys me time"" aboard the presidential plane en route to Marawi Friday. # soundstrippic.twitter.com/BzOjQAelfA""",,,#,883458679554490368,https://twitter.com/newslineph/status/883458679554490368
iNOiPi,2017-07-08 06:46,0,1,'Buhay pa kami': Dispatches from Marawi | ABS-CBN News http://news.abs-cbn.com/specials/dispatches-from-marawi#.WWAPQ5bQNCM.twitter …,,,#,883457243630387200,https://twitter.com/iNOiPi/status/883457243630387200
disasters_ph,2017-07-08 06:44,0,0,'Suicide Squad' braves bullets to rescue trapped civilians in Marawi City - Manila Bulletin http://bit.ly/2uTL4HE,,,,883456752284569600,https://twitter.com/disasters_ph/status/883456752284569600
ruseysey,2017-07-08 06:41,2,1,# PrayForLeyte # PrayForMarawi # PrayForOrmoc # PrayForVisayas # PrayForMindanao # PrayForLuzon # PrayForPhilippines,,,# # # # # # #,883456057816698880,https://twitter.com/ruseysey/status/883456057816698880
rickrick888,2017-07-08 06:39,0,1,PH satisfaction with Duterte hits record high amid Marawi crisis – SWS http://cnn.ph/2twMybg  pic.twitter.com/TpdbfnRR6y — CNN Philippines…,,,,883455530794176515,https://twitter.com/rickrick888/status/883455530794176515
philgriper,2017-07-08 06:37,0,0,Porma ng porma - sumama lang panahon di ka na makapunta # Marawi tumigil ka nga Dugong! https://twitter.com/mochauson/status/883352004931665920 …,,,#,883454924402679813,https://twitter.com/philgriper/status/883454924402679813
CJ_Chanco,2017-07-08 06:36,0,0,"There are other voices worth hearing, buried in the ruins of Marawi & the slums of Manila, not beholden to this govt or the last one. https://twitter.com/DanSantos8/status/883264581321150464 …",,,,883454655317061632,https://twitter.com/CJ_Chanco/status/883454655317061632
cnnphilippines,2017-07-08 06:30,14,36,PH satisfaction with Duterte hits record high amid Marawi crisis – SWS http://cnn.ph/2twMybg pic.twitter.com/tlgXur13p6,,,,883453075163426819,https://twitter.com/cnnphilippines/status/883453075163426819
CerseiQ,2017-07-08 06:27,6,5,"Sabihin mo din sa mga taga Marawi na di naprotektahan kahit alam na lulusubin. Btw, yang zambo siege natapos in 20 days ng walang ML.",,,,883452508923756544,https://twitter.com/CerseiQ/status/883452508923756544
Pan16Bit,2017-07-08 06:25,0,1,she just came from marawi then esamar this wk w/ my father. would be joining them today at ormoc & kananga if not for our classes. :---(,,,,883451916843233280,https://twitter.com/Pan16Bit/status/883451916843233280
MaCarmela12,2017-07-08 06:25,0,4,May bago ba? Puede ba mag request si trillanes naman itapon nu sa marawi,,,,883451838183333889,https://twitter.com/MaCarmela12/status/883451838183333889
BebieShan,2017-07-08 06:24,0,1,PNoy was in Zamboanga during the seige. Si Duterte never pa nkapunta ng Marawi.,,,,883451571052216320,https://twitter.com/BebieShan/status/883451571052216320
NarrendraM,2017-07-08 06:23,0,0,"Philippine President Duterte visits military camp near Marawi, where IS militants are battling government forces… https://twitter.com/i/web/status/883449055128440833 …",,,,883451345038180353,https://twitter.com/NarrendraM/status/883451345038180353
Absum8,2017-07-08 06:20,1,1,اللهم امين يارب و يعطيج اضعاف اضعافها يارب,,,,883450635974094848,https://twitter.com/Absum8/status/883450635974094848
