TeletipoEconomi,2017-06-07 15:48,0,0,Las autoridades filipinas cuestionan la autenticidad del dinero encontrado en Marawi http://ift.tt/2r4EDPN,"(['Bilbo'], Location((43.2629489, -2.9349459, 0.0)))",,,872359480473903105,https://twitter.com/TeletipoEconomi/status/872359480473903105
roro1199551,2017-06-07 15:47,0,0,تجنن,"(['Iraq'], Location((33.0955793, 44.1749775, 0.0)))",,,872359423901093888,https://twitter.com/roro1199551/status/872359423901093888
cebudailynews,2017-06-07 15:46,0,0,SM Foundation holds relief operations for Marawi victims http://ebx.sh/2qVFe6Q pic.twitter.com/zHdSLjWuS7,"(['NRA', ' Cebu City', ' Philippines'], Location((39.369933, -120.233522, 0.0)))",,,872359121647009792,https://twitter.com/cebudailynews/status/872359121647009792
newsline,2017-06-07 15:46,0,0,Philippine military says it regained most of Marawi from militants https://newsline.com/philippine-military-says-it-regained-most-of-marawi-from-militants/ …,"(['U.S.A.'], Location((19.5584043, -99.0277414, 0.0)))",,,872358969993572352,https://twitter.com/newsline/status/872358969993572352
icafernandez,2017-06-07 15:45,0,0,"Department of Injustice amp. Hindi nga sila manalo-nalo sa eleksyon, mag organize ng siege pa kaya. Galawang GMA kaya yon # Marawi","(['Pilipinas'], Location((12.7503486, 122.7312101, 0.0)))",,#,872358771363913730,https://twitter.com/icafernandez/status/872358771363913730
allforjuannews,2017-06-07 15:45,0,0,"LOOK: Mga Muslim Sa Marawi, Tinulungan Ang Mga Kristyano Para Makaligtas! Panoorin kabayan, patunay lamang na... http://fb.me/1JRB5ciLQ","(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,872358740170854401,https://twitter.com/allforjuannews/status/872358740170854401
mhedzoo,2017-06-07 15:43,0,1,"Aside sa marawi crisis, dami ding posts about sa kalandian and betrayals ngayon. Tsk tsk muntik na ako magbigay ng entry ko before","(['Cotabato City'], Location((7.1970344, 124.2351714, 0.0)))",,,872358451304943616,https://twitter.com/mhedzoo/status/872358451304943616
LOR210491,2017-06-07 15:43,0,0,"WHAT THE F!!! I think they just rooming around Marawi City, then trip nilang pumatay if gusto lang nila. Hahaha... http://fb.me/27Lw0doHY","(['Makati City', ' National Capital'], Location((14.5591272, 121.0202094, 0.0)))",,,872358354940813312,https://twitter.com/LOR210491/status/872358354940813312
ENOMINAHR,2017-06-07 15:43,0,0,Las autoridades filipinas cuestionan la autenticidad del dinero encontrado en Marawi http://ift.tt/2r4EDPN,"(['Espa\xc3\xb1a'], Location((40.0028028, -4.003104, 0.0)))",,,872358244114735105,https://twitter.com/ENOMINAHR/status/872358244114735105
Mhertzky,2017-06-07 15:42,0,0,He might have put them back. A week after the marawi incident he deleted them. Ill find the cache. You cant hide anything from google,"(['HAWAII'], Location((21.2160437, -157.975203, 0.0)))",,,872358105589444609,https://twitter.com/Mhertzky/status/872358105589444609
milkyrigonan,2017-06-07 15:42,1,1,Statement of Sen @ TrillanesSonny on DOJ Sec Aguirre's accusations linking him in the Marawi siege @ dzrhnewspic.twitter.com/3znNHQD7Bj,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@ @,,872357995744829441,https://twitter.com/milkyrigonan/status/872357995744829441
ashleyperdiem,2017-06-07 15:40,0,6,"June 7 pa lang, pero wag natin palampasin ang oportunidad na ito para mag... JUNE 8 para sa Marawi! Takits mamaya! https://twitter.com/imblkd/status/871650275316162560 …","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,872357678823215106,https://twitter.com/ashleyperdiem/status/872357678823215106
emctsprime,2017-06-07 15:40,1,0,‘Destroy EVERYTHING’ President Duterte orders troops to ‘CRUSH’ ISIS militants in Marawi http://shr.gs/8In6EjC,"(['Error 451'], Location((-26.1984543, 28.0562031, 0.0)))",,,872357603048910850,https://twitter.com/emctsprime/status/872357603048910850
