alameeryan,5/22/2017 23:56,0,0,Sana dumating din yung araw na maging safe na ang Marawi . Di akn kirila.,,,,8.66684E+17,https://twitter.com/alameeryan/status/866684223431856128
marawi_q8,5/22/2017 23:55,1,2,تسلمي لي كلامي عبره لبعض الناس,,,,8.66684E+17,https://twitter.com/marawi_q8/status/866683956137254912
marawi_q8,5/22/2017 23:43,9,16,أنا أمراة نصف وزني كبرياء والنصف الآخر شموخ لم أكن لعبة تتحكم بها الأهواء.فأنا من عرفني زاد شرفاً pic.twitter.com/ABBNNrXYcL,,,,8.66681E+17,https://twitter.com/marawi_q8/status/866680849361772545
marawi_q8,5/22/2017 22:35,5,6,لا تجرح قلب أنثى رأت الحياة معك أجمل ؛ أحياناً ما يكون ذنبها إلا أنها تملك قلب بريء لا يعرف الخبث . ! https://twitter.com/93A7saaas/status/866535168886046721/photo/1 pic.twitter.com/gwb4WbU0iM,,,,8.66664E+17,https://twitter.com/marawi_q8/status/866663857024106496
marawi_q8,5/22/2017 22:15,6,7,لا يذبح الموضوع قل إهتمامگ طعني وشوفلك شيخ يفتيلك اليوم . ماظنتي يازين يقبل صيامك ريقك عسل علمني شلون بتصووم pic.twitter.com/248kBvdnTo,,,,8.66659E+17,https://twitter.com/marawi_q8/status/866658709312765953
marawi_q8,5/22/2017 22:04,7,7,•°إرخي رسنها واتركها على أطباع أصلها إن كانت أصيلة تخون الدنيا وتصونك •° https://twitter.com/syrona7/status/865664667074650112/photo/1 pic.twitter.com/CVHI9XXK4F,,,,8.66656E+17,https://twitter.com/marawi_q8/status/866656129803223040
marawi_q8,5/22/2017 22:01,2,1,حبيبي سأحلق في سماء مدينتك لأشتم عبق روحك النديه سأرسل مع النسمات همسات قلبي العاشقه #سأقبل_طيفك وارتمي بأحضانك حتى عندالغياب,,,#,8.66655E+17,https://twitter.com/marawi_q8/status/866655136357240832
marawi_q8,5/22/2017 21:49,5,2,أخ يا قلبي كم أنت موجوع من #جرح عميق بات لي أن لايداوى على مر العصور #جرح أضاع مني الابتسامة والسرور فمتى ستأتي نهاية لأرتاح من ذرف الدموع؟ pic.twitter.com/mXaqKOMN6W,,,# #,8.66652E+17,https://twitter.com/marawi_q8/status/866652235685662720
Ahmalpinguiaman,5/22/2017 21:45,0,4,Kailangan ko ng magpa marawi bukas. Please lang,,,,8.66651E+17,https://twitter.com/Ahmalpinguiaman/status/866651296115195904
marawi_q8,5/22/2017 21:30,9,5,وكم من عاشقةٍ متكبّرةٍ علي من تهواهُ.. تصدُّهُ وتُباعدُهُ.. وهي في خلوتها ساجدةٌ علي أقدامِ خياله!! pic.twitter.com/WKXtpYajh0,,,,8.66648E+17,https://twitter.com/marawi_q8/status/866647529600974848
marawi_q8,5/22/2017 21:23,7,4,أنت اخترت الرحيل..؟ اعلم أنني لن أبكي ولن البس الاسود أعدك أن لا تبقى بِذاكرتي أيضاً... pic.twitter.com/MyFllmhcxo,,,,8.66646E+17,https://twitter.com/marawi_q8/status/866645575663595520
