cnnphilippines,2017-08-14 7:40,3,2,Defense Chief: Military expense for Marawi Crisis reaches ₱3 billion http:// cnn.ph/2wVk8s5 pic.twitter.com/39eqgSTMJ9,,,,896879241320472576,https://twitter.com/cnnphilippines/status/896879241320472576
iamvirgo_88,2017-08-14 7:50,0,0,10 Maute terrorists reinforce comrades in Marawi – sources: http:// news.abs-cbn.com/news/08/12/17/ 10-maute-terrorists-reinforce-comrades-in-marawi-sources … via @ABSCBNNews,,@ABSCBNNews,,896881793613344768,https://twitter.com/iamvirgo_88/status/896881793613344768
radyopilipinas1,2017-08-14 7:45,0,0,BALITA: Father Chito Suganob na Bihag ng Maute Terror Group sa Marawi,,,,,
jopoguerrero,2017-08-14 7:43,0,1,ILOCOS NORTE EXTENDS SUPPORT TO 150 FAMILIES OF MARAWI VICTIMS The Provincial Government of Ilocos Norte (PGIN)... http:// fb.me/V98VwxA3,,,,896879952267665409,https://twitter.com/jopoguerrero/status/896879952267665409
marawi_q8,2017-08-14 7:42,0,0,صباح النور,,,,896879631428599811,https://twitter.com/marawi_q8/status/896879631428599811
cnnphilippines,2017-08-14 7:40,3,2,Defense Chief: Military expense for Marawi Crisis reaches ₱3 billion http:// cnn.ph/2wVk8s5 pic.twitter.com/39eqgSTMJ9,,,,896879241320472576,https://twitter.com/cnnphilippines/status/896879241320472576
dzbb,2017-08-14 7:37,0,0,Mga babaeng sundalo,,,,,
marawi_q8,2017-08-14 7:34,5,8,لست أميره ولاصاحبه السمو .............ولا بنت سلطان ولكن منذ أن خلقت أشعر باني #ملكه_من_عرفتك_سهومتي https://twitter.com/amera693/status/896864345757409280/photo/1 pic.twitter.com/07dE8l8JlN,,,#,896877755886784512,https://twitter.com/marawi_q8/status/896877755886784512
BongMontesa,2017-08-14 7:34,1,0,"Its Early Bombs Breakfast Again For Marawi . Fighter Jets Is Like A Flying Dragon Blowing A Fire on the City. Pray for us""- Text sent to me.""",,,,896877705714581505,https://twitter.com/BongMontesa/status/896877705714581505
AndrewBudsock,2017-08-14 7:19,0,0,What is really going on with #ISIS in the #Philippines https:// buff.ly/2vSKA8F #Marawi #Daesh pic.twitter.com/rev6EwfjtP,,,#ISIS #Philippines #Marawi #Daesh,896873913090625537,https://twitter.com/AndrewBudsock/status/896873913090625537
ICRC_au,2017-08-14 7:18,9,11,Together with @philredcross we have distributed aid to 7,,,,,
Impakterdotcom,2017-08-14 7:17,4,2,What is really going on with #ISIS in the #Philippines https:// buff.ly/2vSKA8F #Marawi #Daesh pic.twitter.com/6HGovQT1f5,,,#ISIS #Philippines #Marawi #Daesh,896873254442356739,https://twitter.com/Impakterdotcom/status/896873254442356739
marawi_q8,2017-08-14 7:15,4,9,لا تنحنــي مهما تردت سنينــك اشمخ شموخ العز واصبر بدنياك والله على هم الليالــي يعينــك ويكفيك رب الكــون لا صار ويــاك #شعري pic.twitter.com/pC4JOvILO3,,,#,896872838178643968,https://twitter.com/marawi_q8/status/896872838178643968
