equalizer_post,2017-09-11 7:56,1,3,#Duterte - remember your movable deadlines to end #Marawi war? 112 days of war today!,,,#Duterte #Marawi,907030059852034048,https://twitter.com/equalizer_post/status/907030059852034048
RebPadreDamaso,2017-09-11 7:53,0,1,Yup. That too was suspicious. After the father said Du30 asked the Mautes to help clean Marawi . They even rode in a Davao bank armored car.,,,,907029306819321856,https://twitter.com/RebPadreDamaso/status/907029306819321856
chinitony07,2017-09-11 7:50,0,1,Du30 killed the father of Maute brothers coz he says his sons and murderer Du30 just talked before the Marawi seige.,,,,907028487185293312,https://twitter.com/chinitony07/status/907028487185293312
AngelaKorras,2017-09-11 7:50,0,0,Terror Fight,,,,,
chamonforte,2017-09-11 7:33,0,0,Bits of notes on the Battle of Marawi : GMA TV war reporter Benjie Liwanag reported early this A.M. that the... http:// fb.me/9gcKQX2ob,,,,907024289957912576,https://twitter.com/chamonforte/status/907024289957912576
bayanisandiego,2017-09-11 7:32,0,0,@inquirerdotnet Robin on Marawi and Shawie http:// entertainment.inquirer.net/241702/robin-m arawi-shawie …,,@inquirerdotnet,,907024117194407936,https://twitter.com/bayanisandiego/status/907024117194407936
kapamilya_lang,2017-09-11 7:32,0,1,And Duterte does? If he truly understands war and how to win one,,,,,
InqEnt,2017-09-11 7:31,0,1,@inquirerdotnet Robin on Marawi and Shawie http:// entertainment.inquirer.net/241702/robin-m arawi-shawie …,,@inquirerdotnet,,907023797361950720,https://twitter.com/InqEnt/status/907023797361950720
Jvcmarcn,2017-09-11 7:27,0,0,هلا بيك,,,,907022689352773636,https://twitter.com/Jvcmarcn/status/907022689352773636
ecllane,2017-09-11 7:21,0,1,They have so much fund for this. If they want change,,,,,
DZAR1026,2017-09-11 7:21,0,0,Marawi crisis,,,,,
DZAR1026,2017-09-11 7:15,0,0,Heavy equipment para sa Marawi rehabilitation,,,,,
Marawi_44,2017-09-11 7:05,0,0,اللهم صل وسلم على سيدنا محمد وعلى آله وصحبه أجمعين http:// du3a.org /,,,,907017208890617856,https://twitter.com/Marawi_44/status/907017208890617856
FEU_CSO,2017-09-11 7:00,8,49,NEWS | FEU Athletes participate in “FEU for Marawi ” Project http://www. feucso.org/news/feu-athle tes-participate-in-feu-for-marawi-project … pic.twitter.com/a8C581YMkZ,,,,907015839978708992,https://twitter.com/FEU_CSO/status/907015839978708992
marawi_q8,2017-09-11 6:54,1,3,لا تلتفت لـ نآس و لآ .. تعقد حجآج ارتآح .. نفسيآ و روق مزآجك ً هذي البشر دآيم تبي تسوي ازعآج تمرضك ... لكن م تدور علآجك pic.twitter.com/69JjGIZdKW,,,,907014509373652992,https://twitter.com/marawi_q8/status/907014509373652992
chUrlz__,2017-09-11 6:52,0,0,Spinster: #PushAwardsMayWards nabusog na si Sunako Nakahara na napaka Outspoken pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,907013863752785920,https://twitter.com/chUrlz__/status/907013863752785920
dudus2017,2017-09-11 6:51,0,0,Suna : #PushAwardsMayWards nabusog na si Sunako Nakahara na napaka Outspoken pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,907013764586885121,https://twitter.com/dudus2017/status/907013764586885121
Maria86439147,2017-09-11 6:51,0,0,qt spin: #PushAwardsMayWards nabusog na si Sunako Nakahara na napaka Outspoken pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,907013659213299712,https://twitter.com/Maria86439147/status/907013659213299712
Destilass,2017-09-11 6:50,0,0,Suna : #PushAwardsMayWards nabusog na si Sunako Nakahara na napaka Outspoken pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,907013512014200833,https://twitter.com/Destilass/status/907013512014200833
tessnakis,2017-09-11 6:50,0,0,Atashi : #PushAwardsMayWards nabusog na si Sunako Nakahara na napaka Outspoken pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,907013392367579137,https://twitter.com/tessnakis/status/907013392367579137
JesDave123,2017-09-11 6:49,0,0,Suna : #PushAwardsMayWards nabusog na si Sunako Nakahara na napaka Outspoken pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,907013144173846529,https://twitter.com/JesDave123/status/907013144173846529
skyblue_143,2017-09-11 6:48,0,0,skyblue: #PushAwardsMayWards nabusog na si Sunako Nakahara na napaka Outspoken pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,907012946135474176,https://twitter.com/skyblue_143/status/907012946135474176
Jhodee05,2017-09-11 6:48,0,0,Jhodee05: #PushAwardsMayWards nabusog na si Sunako Nakahara na napaka Outspoken pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,907012859598659585,https://twitter.com/Jhodee05/status/907012859598659585
spinsterAtashi,2017-09-11 6:47,23,0,#PushAwardsMayWards nabusog na si Sunako Nakahara na napaka Outspoken pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,907012647736016896,https://twitter.com/spinsterAtashi/status/907012647736016896
cbd9hR6votbB7I3,2017-09-11 6:42,0,0,زين لا تتعبني,,,,907011362748071936,https://twitter.com/cbd9hR6votbB7I3/status/907011362748071936
dzbb,2017-09-11 6:36,1,2,Mga pampasabog na itinatatim ng Maute Group sa lungsod ng Marawi,,,,,
Haneen19ksa,2017-09-11 6:15,0,1,,,,,907004532823150592,https://twitter.com/Haneen19ksa/status/907004532823150592
RebPadreDamaso,2017-09-11 6:10,2,2,Desperate times call for desperate measures. Next issue will be @TrillanesSonny financier of war in Marawi with fake pics of him with Mautes https:// twitter.com/rapplerdotcom/ status/907002512032636928 …,,@TrillanesSonny,,907003461576810496,https://twitter.com/RebPadreDamaso/status/907003461576810496
trendinaliaPI,2017-09-11 6:08,0,0,➍ Air Asia ➎ Air Asia Promo ➏ AirAsia ➐ the boy ➑ Marawi ➒ Lotto Result September 9 2017 ➓ Inferno 2017/9/11 06:08 +08,,,,907002867331903488,https://twitter.com/trendinaliaPI/status/907002867331903488
StrategicNews1,2017-09-11 6:02,1,0,#Duterte confirmed that he had authorized former Mayor #Marawi,,,,,
StrategicNews1,2017-09-11 6:01,1,0,#Duterte a confirmé qu'il avait autorisé l'ancien maire de #Marawi,,,,,
StrategicNews1,2017-09-11 5:59,1,0,There remain about 70 IS activists who would detain 30 hostages in an area of 0.21km² in #Marawi . #Philippines,,,#Marawi #Philippines,907000704765714433,https://twitter.com/StrategicNews1/status/907000704765714433
StrategicNews1,2017-09-11 5:59,2,0,Il reste environ 70 militants de l'EI qui détiendraient 30 otages dans une zone de 0.21km² à #Marawi . #Philippines,,,#Marawi #Philippines,907000660096438272,https://twitter.com/StrategicNews1/status/907000660096438272
3hdook,2017-09-11 5:58,0,0,اييييوااا,,,,907000260500836352,https://twitter.com/3hdook/status/907000260500836352
Danzelleyco,2017-09-11 5:56,0,0,Be still Marawi . For tomorrow will be your day to have joy in your heart. #MarawiForChrist,,,#MarawiForChrist,906999824637202434,https://twitter.com/Danzelleyco/status/906999824637202434
violetagloria,2017-09-11 5:55,0,1,[Thumbs up,,,,,
marawi_q8,2017-09-11 5:54,2,2,خذيته قلبك وكلش,,,,906999430284443659,https://twitter.com/marawi_q8/status/906999430284443659
Haneen19ksa,2017-09-11 5:54,1,2,قلبي معك,,,,906999285740433410,https://twitter.com/Haneen19ksa/status/906999285740433410
marawi_q8,2017-09-11 5:53,0,0,شو أخذت انه,,,,906999187220451334,https://twitter.com/marawi_q8/status/906999187220451334
Haneen19ksa,2017-09-11 5:52,1,0,تستااهلي كل اللي نفسك فيه انتي اخذت اغلا من الهدايا بعد,,,,906998906403344391,https://twitter.com/Haneen19ksa/status/906998906403344391
Haneen19ksa,2017-09-11 5:52,0,0,ويااااك ياااارب,,,,906998723879763969,https://twitter.com/Haneen19ksa/status/906998723879763969
Marawi_44,2017-09-11 5:50,0,0,سبحان الله وبحمده سبحان الله العظيم http:// du3a.org /,,,,906998433579446273,https://twitter.com/Marawi_44/status/906998433579446273
disasters_ph,2017-09-11 5:50,0,0,USAID allots $15 M for Marawi rehabilitation - Manila Bulletin http:// bit.ly/2wTcwr2,,,,906998414231076864,https://twitter.com/disasters_ph/status/906998414231076864
salehALsaadi12,2017-09-11 5:50,0,0,حلووه وتستاهلين أكثر يا امورات,,,,906998226737405952,https://twitter.com/salehALsaadi12/status/906998226737405952
marawi_q8,2017-09-11 5:48,1,4,انه راح تجيني هديه احلا,,,,906997848973217794,https://twitter.com/marawi_q8/status/906997848973217794
Haneen19ksa,2017-09-11 5:47,1,1,تستاهلي كل خير نهاد حمدلله على سلامتك قلبببو,,,,906997540213714945,https://twitter.com/Haneen19ksa/status/906997540213714945
dwiz882,2017-09-11 5:44,0,0,AFP's Padilla: Mahigpit ang ating pagbabantay sa mga lagusan diyan sa Marawi para hindi na mabigyan ng ayuda ang mga terorista.,,,,906996791366737921,https://twitter.com/dwiz882/status/906996791366737921
elliotbrennan,2017-09-11 5:41,0,0,...at least to coop on flows of Marawi fighters to ensure Rakhine isn't next theatre,,,,906996152104493057,https://twitter.com/elliotbrennan/status/906996152104493057
dwiz882,2017-09-11 5:35,0,0,AFP's Padilla on Marawi situation: May isa pang mosque ang nabawi ng ating mga sundalo.,,,,906994498168807424,https://twitter.com/dwiz882/status/906994498168807424
disasters_ph,2017-09-11 5:34,0,0,US to give P730-M relief,,,,,
SunStarBacolod,2017-09-11 5:31,0,0,SOME of the heavy equipment to be used for the rehabilitation in Marawi has already been pre-positioned in Lanao... http:// fb.me/M6ASa57R,,,,906993471663226880,https://twitter.com/SunStarBacolod/status/906993471663226880
TempoPHL,2017-09-11 5:30,0,1,Marawi will rise again – Duterte http:// tempo.com.ph/2017/09/11/mar awi-will-rise-again-duterte/ … pic.twitter.com/h0TGbMxx5B,,,,906993235469402112,https://twitter.com/TempoPHL/status/906993235469402112
PhilippineStar,2017-09-11 5:30,0,2,DPWH warns vs groups soliciting funds for Marawi http:// bit.ly/2eNWl6n pic.twitter.com/2P45PbY2fn,,,,906993182855983104,https://twitter.com/PhilippineStar/status/906993182855983104
annakareninaTM,2017-09-11 5:29,0,0,Coming from you talaga yang mga salita na yan? Sumabak ka na ba sa giyera sa marawi ? Kung magsalita,,,,,
Layontayger,2017-09-11 5:27,0,0,war in Philippines( marawi ),,,,,
marawi_q8,2017-09-11 5:24,8,10,ت ع خ @Haneen19ksa @0hanin0 @Sahoma_q8 @nhoda_q8 pic.twitter.com/rJZwol2JMq,,@Haneen19ksa @0hanin0 @Sahoma_q8 @nhoda_q8,,906991849872805888,https://twitter.com/marawi_q8/status/906991849872805888
PoppenReport,2017-09-11 5:09,0,0,Duterte Allows Bombing of Mosques for Final Battle Against Islamic State in Marawi | @scoopit http:// sco.lt/6ecpyT 9/10/17,,@scoopit,,906987984855191552,https://twitter.com/PoppenReport/status/906987984855191552
Athbi_q89,2017-09-11 5:05,0,0,مخاويه انتي مروه,,,,906987117456379904,https://twitter.com/Athbi_q89/status/906987117456379904
marawi_q8,2017-09-11 5:05,0,0,اختفي هع,,,,906987027849248771,https://twitter.com/marawi_q8/status/906987027849248771
Athbi_q89,2017-09-11 5:05,0,0,طل القمر وينج غايبه,,,,906986918000328705,https://twitter.com/Athbi_q89/status/906986918000328705
marawi_q8,2017-09-11 5:04,1,0,,,,,906986757794746369,https://twitter.com/marawi_q8/status/906986757794746369
phildaily,2017-09-11 5:03,0,0,Duterte fetes soldiers injured in Marawi - The Manila Times https:// goo.gl/fb/4LY7P7,,,,906986390856105984,https://twitter.com/phildaily/status/906986390856105984
Imsherwinzuniga,2017-09-11 5:01,0,0,HIMIG NG PAGKAKAISA PARA SA MGA BAKWIT SA MARAWI CITY http:// fb.me/ARpHWENB,,,,906986011414036480,https://twitter.com/Imsherwinzuniga/status/906986011414036480
egdsgn,2017-09-11 5:00,0,0,Pangulong Duterte,,,,,
egdsgn,2017-09-11 5:00,0,0,Mga kagamitan para sa rehabilitasyon ng Marawi City,,,,,
muzi_kha,2017-09-11 5:00,0,0,Pangulong Duterte,,,,,
muzi_kha,2017-09-11 5:00,0,0,Mga kagamitan para sa rehabilitasyon ng Marawi City,,,,,
chris19thws,2017-09-11 5:00,0,0,Mga kagamitan para sa rehabilitasyon ng Marawi City,,,,,
chris19thws,2017-09-11 5:00,0,0,Pangulong Duterte,,,,,
PoGo_Port,2017-09-11 5:00,0,0,Mga kagamitan para sa rehabilitasyon ng Marawi City,,,,,
PoGo_Port,2017-09-11 5:00,0,0,Pangulong Duterte,,,,,
orga_ogop,2017-09-11 5:00,0,0,Mga kagamitan para sa rehabilitasyon ng Marawi City,,,,,
RTheKrak3n,2017-09-11 5:00,0,0,Mga kagamitan para sa rehabilitasyon ng Marawi City,,,,,
orga_ogop,2017-09-11 5:00,0,0,Pangulong Duterte,,,,,
RTheKrak3n,2017-09-11 5:00,0,0,Pangulong Duterte,,,,,
Imsherwinzuniga,2017-09-11 5:00,0,0,HIMIG NG PAGKAKAISA PARA SA MGA BAKWIT SA MARAWI CITY http:// fb.me/NDWVGUiS,,,,906985791800303616,https://twitter.com/Imsherwinzuniga/status/906985791800303616
