username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FutureNotPast;2017-09-09 07:58;0;0;"@MarisePayne sensible move in Aus interests. Did @JulieBishopMP cuts at #DFAT stop Aus getting #Marawi early warnings?";;@MarisePayne @JulieBishopMP;#DFAT #Marawi;"906305835826950145";https://twitter.com/FutureNotPast/status/906305835826950145
AziziOthmanMY;2017-09-09 07:58;0;0;"RM200mil sunk into Marawi conflict - andgovt needs more http://www. thestar.com.my/news/regional/ 2017/09/09/rm200mil-sunk-into-marawi-conflict-andgovt-needs-more/ … pic.twitter.com/n2HMvuMnDm";;;;"906305697377374211";https://twitter.com/AziziOthmanMY/status/906305697377374211
staronline;2017-09-09 07:53;0;0;"RM200mil sunk into Marawi conflict - andgovt needs more http://www. thestar.com.my/news/regional/ 2017/09/09/rm200mil-sunk-into-marawi-conflict-andgovt-needs-more/ … pic.twitter.com/mgOv1hukgf";;;;"906304580492738560";https://twitter.com/staronline/status/906304580492738560
starmobileteam;2017-09-09 07:52;0;0;"RM200mil sunk into Marawi conflict - andgovt needs more http://www. thestar.com.my/news/regional/ 2017/09/09/rm200mil-sunk-into-marawi-conflict-andgovt-needs-more/ … pic.twitter.com/RVFPCuWTWJ";;;;"906304302188134400";https://twitter.com/starmobileteam/status/906304302188134400
dzrhnews;2017-09-09 07:52;0;0;"Gutoc: Tuluy-tuloy ang inter-agency, inter-civilian meetings dahil kailangang i-contain ang galit ng mga kababayan, partikular na sa Marawi .";;;;"906304202455916544";https://twitter.com/dzrhnews/status/906304202455916544
manilabulletin;2017-09-09 07:47;5;10;"LOOK: Soldiers & policemen attend their first Salahtul Jummah (Friday prayer) at the Islamic Center in Marawi City. ( : JTF Marawi ) pic.twitter.com/7i3i6b53ox";;;;"906303075127672834";https://twitter.com/manilabulletin/status/906303075127672834
GmailHb;2017-09-09 07:41;0;0;"Tentara Berjilbab Filipina Bantu Warga Korban Kekejaman ISIS di Marawi http:// fb.me/1fTqmvLcO";;;;"906301618190254081";https://twitter.com/GmailHb/status/906301618190254081
mrlbrndth;2017-09-09 07:35;0;2;"PAGDARO SA KALINAW: Dureza’s Betrayal and Duterte’s Hypocrisy in Marawi http://www. mindanews.com/mindaviews/201 7/09/pagdaro-sa-kalinaw-durezas-betrayal-and-dutertes-hypocrisy-in-marawi/ … via @mindanews2010";;@mindanews2010;;"906299999956254721";https://twitter.com/mrlbrndth/status/906299999956254721
Marawi_44;2017-09-09 07:35;0;0;"أذكار الأذان:يدعو لنفسه بين الأذان والإقامة فإن الدعاء http:// du3a.org /";;;;"906299900580769792";https://twitter.com/Marawi_44/status/906299900580769792
FutureNotPast;2017-09-09 07:31;0;0;". @MarisePayne sensible move in Aus interests. Did @JulieBishopMP cuts at #DFAT stop #Marawi early warnings? @abcnews #auspol @SkyNewsAust";;@MarisePayne @JulieBishopMP @abcnews @SkyNewsAust;#DFAT #Marawi #auspol;"906298884128874496";https://twitter.com/FutureNotPast/status/906298884128874496
