username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
reangracex;2017-10-01 07:48;0;0;"Morning-convo wt my cousin in Marawi Me: kuya october na Him: uwi na kami sa ___ Omg! Thank you Lord for keeeping my kuya safe";;;;"914275816128765953";https://twitter.com/reangracex/status/914275816128765953
dzrhnews;2017-10-01 07:36;0;2;"13 miyembro ng teroristang Maute, patay sa patuloy na bakbakan sa Marawi City! #MIP";;;#MIP;"914272858204860416";https://twitter.com/dzrhnews/status/914272858204860416
lowcostdruggist;2017-10-01 07:32;0;1;"5k ang isa tong 1wk sa Lanao ug Mis Occ. Among deployment sa Iligan para Marawi siege kay 6k. Gikapoy nako. Ka-3 nakog balik";;;;"914271801206759424";https://twitter.com/lowcostdruggist/status/914271801206759424
PHHotTrends;2017-10-01 07:25;0;0;"2 more soldiers killed in Marawi #MarawiUpdates https:// shar.es/1Vkffv";;;#MarawiUpdates;"914269924985589760";https://twitter.com/PHHotTrends/status/914269924985589760
PhilstarNews;2017-10-01 07:13;0;3;"2 more soldiers killed in Marawi #MarawiUpdates https:// shar.es/1Vkffv";;;#MarawiUpdates;"914266924707495938";https://twitter.com/PhilstarNews/status/914266924707495938
Dagr_2013;2017-10-01 07:09;0;1;"@TeamAFP Our guys need something similar given our asymmetric warfare experience with Marawi . https:// twitter.com/IDFSpokesperso n/status/914196422450454528 …";;@TeamAFP;;"914266094944231424";https://twitter.com/Dagr_2013/status/914266094944231424
nerowattz;2017-10-01 07:07;0;0;"Marawi fighting seen to end Oct. 15 http:// inq.ph/inqmobileapp InquirerMobile http:// ift.tt/2wpmZcL";;;;"914265482986971136";https://twitter.com/nerowattz/status/914265482986971136
jaebambummie_;2017-10-01 07:04;0;1;"@KinoKage27 @arciiideveraaa haha naalala ko yung step ni kian chang sa interp. marawi ~ sabay sabay nating ibabangon~ https:// twitter.com/holdinontojiae r/status/914078588785319936 …";;@KinoKage27 @arciiideveraaa;;"914264724388274176";https://twitter.com/jaebambummie_/status/914264724388274176
totocyven;2017-10-01 07:03;0;0;"Mga taga- Marawi , nakita ang mga ari-ariang nawasak sa bakbakan http:// news.abs-cbn.com/video/news/09/ 30/17/mga-taga-marawi-nakita-ang-mga-ari-ariang-nawasak-sa-bakbakan … via @ABSCBNNews";;@ABSCBNNews;;"914264428857630720";https://twitter.com/totocyven/status/914264428857630720
Rheeezaaaa;2017-10-01 07:01;0;1;"Balik napud tag marawi";;;;"914264011473960960";https://twitter.com/Rheeezaaaa/status/914264011473960960
UltrascanMENA;2017-10-01 06:49;0;0;"2 soldiers, 13 Maute killed as Marawi siege nears end: ... and police personnel tried to… http:// dlvr.it/PrYMWN #Terrorism #Security";;;#Terrorism #Security;"914260853267898368";https://twitter.com/UltrascanMENA/status/914260853267898368
ultrascanhumint;2017-10-01 06:49;0;0;"2 soldiers, 13 Maute killed as Marawi siege nears end: ... and police personnel tried to… http:// dlvr.it/PrYMT9 #Terrorism #Security";;;#Terrorism #Security;"914260850398998528";https://twitter.com/ultrascanhumint/status/914260850398998528
palojournal;2017-10-01 06:31;0;0;"Part of typhoon relief fund to be used for Marawi rehabilitation - Gulf Times http:// ift.tt/2hF05LT";;;;"914256333838446592";https://twitter.com/palojournal/status/914256333838446592
arabnews;2017-10-01 06:30;1;0;"#Philippine Army drone footage shows #Daesh plundering #Marawi http:// j.mp/2fAtrXS";;;#Philippine #Daesh #Marawi;"914256066883538945";https://twitter.com/arabnews/status/914256066883538945
dm_reads;2017-10-01 06:19;3;1;"Heavy firefight and huge explosions. This, right now, is the worst it's been since we came back first week of September. :-( #MSU #Marawi";;;#MSU #Marawi;"914253349280608256";https://twitter.com/dm_reads/status/914253349280608256
PaPaShArMFbI;2017-10-01 06:16;0;0;"One week to cross a street: how IS pinned down Filipino soldiers in Marawi http:// a.msn.com/01/en-us/AAsqk 8m?ocid=st …";;;;"914252628258734080";https://twitter.com/PaPaShArMFbI/status/914252628258734080
sunstaronline;2017-10-01 06:13;0;1;"Mindanao bikers unite for soldiers in Marawi . http:// snstr.co/2zi pic.twitter.com/nZzhRT5AQj";;;;"914251930339119104";https://twitter.com/sunstaronline/status/914251930339119104
Bhong29;2017-10-01 05:26;0;1;"Tau Gamma Phi / Sigma Triskelion Grand Fraternity / Sorrority Alumni Night for Marawi Brothers & Sisters http:// fb.me/1CBJMVObk";;;;"914240113101672454";https://twitter.com/Bhong29/status/914240113101672454
Ronnie_Rusli;2017-10-01 04:48;0;0;"Senjata yg di impor bukan meriam, tetapi anti personel liat saja di Marawi mrk bersembunyi di tembok2 rumah butuh RPG7 utk hantam mrk.";;;;"914230462247141376";https://twitter.com/Ronnie_Rusli/status/914230462247141376
Qatar_Update;2017-10-01 04:25;0;0;"Marawi siege toll tops 1,000 as troops push to end conflict http:// ift.tt/2fYng0a #news";;;#news;"914224627169325056";https://twitter.com/Qatar_Update/status/914224627169325056
